Dialog_ID,Type,Actor,Text,Label
hit:7219_conv:14439,situation,none,In a couple weeks my wife and I will be finding out the gender of our second child,anticipating
hit:7219_conv:14439,utterance,speaker,In just two weeks my wife and I will get to find out the gender of our second kid!,anticipating
hit:7219_conv:14439,utterance,listener,"oh thats nice, it's a happy thing to expect a child",acknowledging
hit:7219_conv:14439,utterance,speaker,"Yeah we're pretty pumped, can't wait.",acknowledging
hit:7219_conv:14439,utterance,listener,Congratulations buddy,wishing
hit:8186_conv:16373,situation,none,waiting on a package to come,anticipating
hit:8186_conv:16373,utterance,speaker,Im so ready waiting for my package to arrive today.,anticipating
hit:8186_conv:16373,utterance,listener,I love package delivery days!  I've got a couple coming as well.  What are you waiting for?,anticipating
hit:8186_conv:16373,utterance,speaker,I am waiting on a fitness machine to come.,anticipating
hit:8186_conv:16373,utterance,listener,"Oh wow, a big package!  Hope you enjoy it!",encouraging
hit:5077_conv:10155,situation,none,I can't wait for school to start. I love to learn!,anticipating
hit:5077_conv:10155,utterance,speaker,I really like to learn and I'm so ready to go back to school. I can't wait for classes to start!,prepared
hit:5077_conv:10155,utterance,listener,Congratulations! What are you studying?,wishing
hit:5077_conv:10155,utterance,speaker,Physics. I'm in my senior year so I can really explore the complicated subjects now.,prepared
hit:5077_conv:10155,utterance,listener,"Wow, that subject was always tough for me in school. Good for you!",acknowledging
hit:4368_conv:8737,situation,none,"My girlfriend is mad at me, and I feel like when we try to have another discussion tomorrow about why we're fighting, she's just going to get even more angry with me. We're not the best at communicating.",anticipating
hit:4368_conv:8737,utterance,speaker,"My girlfriend is mad at me, and I feel like when we try to have another discussion tomorrow about why we're fighting, she's just going to get even more angry with me. We're not the best at communicating.",anticipating
hit:4368_conv:8737,utterance,listener,Do you guys fight often?? How do they usually turn out?,questioning
hit:4368_conv:8737,utterance,speaker,"In the early days of our relationship, we did. But then we matured in life and in our relationship, and our communication did improve a little. But I feel like she's so rash and overreactionary and sensitive at times.I want to put off arguments until we cool off, and she wants to have them immediately. We clash sometimes when it comes to perspectives.",annoyed
hit:4368_conv:8737,utterance,listener,Are your political views the same? and do you think this next fight will end well?,questioning
hit:4368_conv:8737,utterance,speaker,We have relatively the same political views. It's never about that kind of stuff. It's more personal stuff. The next fight will probably be better if she isn't as tired. We'll see.,apprehensive
hit:6866_conv:13733,situation,none,I really like the Marvel Universe. I can't wait for the next movie to come out!,anticipating
hit:6866_conv:13733,utterance,speaker,I'm a big fan of superhero movies. I can't wait for the next Marvel Universe movie to come out!,anticipating
hit:6866_conv:13733,utterance,listener,Those movies are amazing.  I loved the last one with Thanos.  He was a cool character.,impressed
hit:6866_conv:13733,utterance,speaker,He really is! I love a good villian!,encouraging
hit:6866_conv:13733,utterance,listener,I actually started to understand where he was coming from...in a sick kind of way.,disgusted
hit:8101_conv:16202,situation,none,I've been exercising consistently for 3 months now. Been feeling so much better.,prepared
hit:8101_conv:16202,utterance,speaker,I've been exercising consistently for 3 months now. Been feeling so much better,prepared
hit:8101_conv:16202,utterance,listener,For what purpose you do this,questioning
hit:8101_conv:16202,utterance,speaker,"I want to be healthier! And look better, too.",hopeful
hit:8101_conv:16202,utterance,listener,How his your health now,questioning
hit:11038_conv:22077,situation,none,"i am waiting for my sister to come into town, havent seen her in 6 months.",anticipating
hit:11038_conv:22077,utterance,speaker,i am waiting for my sister to arrive into town.,anticipating
hit:11038_conv:22077,utterance,listener,"Ooh, sounds nice, Always good to see the siblings.",acknowledging
hit:11038_conv:22077,utterance,speaker,"yes, we are going to have so much fun, i feel like a kid again when shes in town",agreeing
hit:11038_conv:22077,utterance,listener,"Hah, i hope you two have some fun. My sisters visited me a few weeks ago and we had some fun.",encouraging
hit:11038_conv:22077,utterance,speaker,"yep and we can eat all day, and not count calories. lol",neutral
hit:4629_conv:9258,situation,none,"I am having some issues with my manager. I have the feeling that I getting fired by the end of this week,",anticipating
hit:4629_conv:9258,utterance,speaker,"I am having some issues with my manager. I have the feeling that I getting fired by the end of this week,",anticipating
hit:4629_conv:9258,utterance,listener,Oh no! That's not good! What's going on?,questioning
hit:4629_conv:9258,utterance,speaker,I have the feeling that he doesn't like me. So he is trying his best to create problem with me and to point finger to me when there is a problem.,angry
hit:4629_conv:9258,utterance,listener,That's not a good environment to be in. Maybe you can find something else quickly.,suggesting
hit:3843_conv:7687,situation,none,It was three days before my 21st birthday.,anticipating
hit:3843_conv:7687,utterance,speaker,"My 21st birthday was in three day,  I could hardly sit still.",anticipating
hit:3843_conv:7687,utterance,listener,Happy Early Birthday! What are your plans?,wishing
hit:3843_conv:7687,utterance,speaker,"DRINK DRINK DRINK,  hopefully not too much.  I like to be in control.",encouraging
hit:3843_conv:7687,utterance,listener,"Oh man, I've seen many a newly 21 year old get drunk.",neutral
hit:4883_conv:9767,situation,none,my new purse purchase!,excited
hit:4883_conv:9767,utterance,speaker,I cant wait to go shopping. I really need a new purse.,anxious
hit:4883_conv:9767,utterance,listener,Where do you like to get your purses?,questioning
hit:4883_conv:9767,utterance,speaker,"Wherever they are the cheapest, but still of nice quality! I like a good deal.",neutral
hit:4883_conv:9767,utterance,listener,You sound like a smart and informed shopper.,acknowledging
hit:4883_conv:9767,utterance,speaker,Best way to be!,acknowledging
hit:4883_conv:9767,utterance,listener,You can use the left over money on so many other things!,joyful
hit:4333_conv:8667,situation,none,I can't wait to see the new James Bond movie.,anticipating
hit:4333_conv:8667,utterance,speaker,I can't wait to see the new James Bond movie.,anticipating
hit:4333_conv:8667,utterance,listener,it looks like it's going to be good!,anticipating
hit:4333_conv:8667,utterance,speaker,"Yes, I have really enjoyed the last few ones.",impressed
hit:4333_conv:8667,utterance,listener,Me too... those are my favorite type of movies,agreeing
hit:975_conv:1951,situation,none,"When playing video games, I always worry and think about if i can win or not.",anticipating
hit:975_conv:1951,utterance,speaker,"I play video games, and I always expect to win.",anticipating
hit:975_conv:1951,utterance,listener,"I expect that too, but it is not always the case.",neutral
hit:975_conv:1951,utterance,speaker,I just have to think ahead and make sure it's something that I achieve.,hopeful
hit:975_conv:1951,utterance,listener,"Yes, you do. You can do it!",agreeing
hit:975_conv:1951,utterance,speaker,That is what I tell my self every time I try.,confident
hit:11624_conv:23248,situation,none,Waiting for my test back from my math teacher. I think I scored well.,anticipating
hit:11624_conv:23248,utterance,speaker,I'm nervous about this test I did.,anxious
hit:11624_conv:23248,utterance,listener,Don't be nervous. I am sure you did alright. It is normal to think that but most of the time it is all in the head.,confident
hit:11624_conv:23248,utterance,speaker,I studied pretty hard so I'm hoping for a great mark.,hopeful
hit:11624_conv:23248,utterance,listener,"Oh good, then there is nothing you should be worried about then. :) Go relax and distract your mind on something else. All will work out my friend.",consoling
hit:11896_conv:23793,situation,none,When tax season came I was in a hurry to get mine done. I was looking forward to a big refund.,anticipating
hit:11896_conv:23793,utterance,speaker,When tax season came I was in a hurry to get mine done. I was looking forward to a big refund.,anticipating
hit:11896_conv:23793,utterance,listener,really? why is that?,questioning
hit:11896_conv:23793,utterance,speaker,I tricked myself into saving by over paying on purpose.,guilty
hit:11896_conv:23793,utterance,listener,wow! that is next level smartness and thinking! good job,acknowledging
hit:11716_conv:23433,situation,none,I can't wait til Red Dead Redemption 2 comes out!  The first one was my favorite video game of all time!,anticipating
hit:11716_conv:23433,utterance,speaker,I can't wait til Red Dead Redemption 2 comes out! The first one was my favorite video game of all time!,excited
hit:11716_conv:23433,utterance,listener,"that's right, it is supposed to come out  soon, I bet you will enjoy it very much",encouraging
hit:11716_conv:23433,utterance,speaker,"Yeah, from the trailers it looks awesome, I'll be playing it a ton.",acknowledging
hit:11716_conv:23433,utterance,listener,"sound like it must be killing you on waiting for the release, before you know it. you'll be playing it a ton",acknowledging
hit:1423_conv:2846,situation,none,Got a call that I won the weekend trip to New York. I've never been!,surprised
hit:1423_conv:2846,utterance,speaker,Got a call that I won the weekend trip to New York. I've never been!,surprised
hit:1423_conv:2846,utterance,listener,"Great, are you taking anyone with you?",questioning
hit:1423_conv:2846,utterance,speaker,"Yea, I'm taking my mom.",trusting
hit:1423_conv:2846,utterance,listener,That should be a very fun trip for you.,acknowledging
hit:7196_conv:14392,situation,none,I am hoping to have  anew job by the end of next week,hopeful
hit:7196_conv:14392,utterance,speaker,I am hoping to get a new job next week,hopeful
hit:7196_conv:14392,utterance,listener,"You must have felt hopeful, where did you apply?",questioning
hit:7196_conv:14392,utterance,speaker,Last week,content
hit:7196_conv:14392,utterance,listener,"I see, I think you will get the job",confident
hit:3370_conv:6741,situation,none,I cant wait to go on my end of summer trip,excited
hit:3370_conv:6741,utterance,speaker,I cant wait to go on my end of summer trip in texas.,excited
hit:3370_conv:6741,utterance,listener,Sounds like fun. What you got planned ?,questioning
hit:3370_conv:6741,utterance,speaker,not really sure but im excited to just be invited,apprehensive
hit:3370_conv:6741,utterance,listener,Got any family out there? Cousins perhaps,suggesting
hit:7339_conv:14678,situation,none,Looking forward to getting my cats a new cat tree tomorrow! It is a warehouse deal so I am hoping it is in good shape! It was one I have been watching for awhile and the price finally dropped to my ideal.,anticipating
hit:7339_conv:14678,utterance,speaker,Looking forward to getting my cats a new cat tree tomorrow! It is a warehouse deal so I am hoping it is in good shape!,anticipating
hit:7339_conv:14678,utterance,listener,I hope the cat likes it,encouraging
hit:7339_conv:14678,utterance,speaker,Oh they are happy with anything. Animals are usually grateful beings :) It was one I have been watching for awhile and the price finally dropped to my ideal,joyful
hit:7339_conv:14678,utterance,listener,"That is great, I am glad you got it",acknowledging
hit:10717_conv:21435,situation,none,I just finished my final exams and have been constantly checking my phone to see if the marks have been uploaded.,anticipating
hit:10717_conv:21435,utterance,speaker,I just finished my final exams and have been constantly checking my phone to see if the marks have been uploaded.,anticipating
hit:10717_conv:21435,utterance,listener,"Oh, Do you think you did well?",questioning
hit:10717_conv:21435,utterance,speaker,"I hope so, I am very eager to get my marks back.",hopeful
hit:10717_conv:21435,utterance,listener,Wishing you all the best!!,wishing
hit:10717_conv:21435,utterance,speaker,Thanks a lot!,acknowledging
hit:357_conv:714,situation,none,My vacation is coming up in a month. I've worked nonstop for 9 months.,anticipating
hit:357_conv:714,utterance,speaker,My vacation is coming up in a month. I've worked nonstop for 9 months.,anticipating
hit:357_conv:714,utterance,listener,"Wow, I'll bet you're ready for a vacation. Are you going anywhere special?",questioning
hit:357_conv:714,utterance,speaker,Just going up north to Canada. Trying a new change of scene.,hopeful
hit:357_conv:714,utterance,listener,That should be awesome. Do you know anyone in Canada?,questioning
hit:10242_conv:20485,situation,none,I was on the edge of my seat watching the local election results. I was hoping my candidate would win.,anticipating
hit:10242_conv:20485,utterance,speaker,I was on the edge of my seat watching the local election results. I was hoping my candidate would win.,anticipating
hit:10242_conv:20485,utterance,listener,where you disappointed?,questioning
hit:10242_conv:20485,utterance,speaker,No I was quite happy with the results. But the waiting for the results was so nerve wracking.,apprehensive
hit:10242_conv:20485,utterance,listener,I remember the same thing. And the joy that followed for the next moth was pure bliss,neutral
hit:11322_conv:22645,situation,none,I have a big presentation at work,anticipating
hit:11322_conv:22645,utterance,speaker,I have this huge presentation at work tomorrow and if the investors like my idea I can land 3 big accounts for my company.,confident
hit:11322_conv:22645,utterance,listener,"That is very exciting, I bet you are nervous for your presentation. A lot is riding on it.",acknowledging
hit:11322_conv:22645,utterance,speaker,"Yes, I am so nervous. I have no idea what to wear and I'm scared I won't sleep tonight at all.",anxious
