Dialog_ID,Type,Actor,Text,Label
hit:10325_conv:20651,situation,none,I got a call from my sisters boyfriend saying she had been in a wreck and was life flighted to a hospital. I had to drive 2 hours to get to where she was without knowing any details about her condition.,apprehensive
hit:10325_conv:20651,utterance,speaker,I got a call from my sister's boyfriend that she was in a car wreck and was being life-flighted to the hospital with no information on her condition. Just that I need to get there quick.,anxious
hit:10325_conv:20651,utterance,listener,Oh my goodness! Is she going to be alright?,hopeful
hit:10325_conv:20651,utterance,speaker,"It was a nightmare because I had a two hour drive to get to where she was with no update on her at all. The unknown during that time was horrific. But, yes, she will be ok.",terrified
hit:10325_conv:20651,utterance,listener,"The unknown is always so scary, but especially in your case! I'm so happy that she's going to be ok. Hopefully that puts you more at ease now.",consoling
hit:10348_conv:20697,situation,none,I got tensed when my reslt didnt come out with others,apprehensive
hit:10348_conv:20697,utterance,speaker,"I felt i wouldnt succeed,",afraid
hit:10348_conv:20697,utterance,listener,What were you trying to do?,questioning
hit:10348_conv:20697,utterance,speaker,I took exams and got tensed when the result did not show up,apprehensive
hit:10348_conv:20697,utterance,listener,Did they ever come?,questioning
hit:10076_conv:20153,situation,none,"With all the fires and thing happening in the world,  I don't know what will happen in the near future if Global Warming is not stopped.",apprehensive
hit:10076_conv:20153,utterance,speaker,I don't know what will happen in the future if Global Warming is not stopped.,terrified
hit:10076_conv:20153,utterance,listener,Well from what i have read we will all be drowning which isn't good.,terrified
hit:10076_conv:20153,utterance,speaker,"And the fires too, there have been a lot of those lately, seems that worse than ever.",agreeing
hit:10076_conv:20153,utterance,listener,Yeah forest fires are getting really bad.,acknowledging
hit:2950_conv:5900,situation,none,I've been reluctant to confront my mother on her stealing my money. I know what she's doing is wrong but she is mother after all.,apprehensive
hit:2950_conv:5900,utterance,speaker,I've been reluctant to confront my mother on her stealing my money. I know what she's doing is wrong but she is mother after all.,apprehensive
hit:2950_conv:5900,utterance,listener,Oh wow. I have no advice there.,sympathizing
hit:2950_conv:5900,utterance,speaker,I've been stuck between a rock and hard place. I've been very apprehensive and don't know what to do.,apprehensive
hit:2950_conv:5900,utterance,listener,Maybe you should calming ask about it.,suggesting
hit:2053_conv:4107,situation,none,My first pregnancy did not go to plan.  I developed Hellp syndrome and it was very touch and go there for awhile.  both of us came close to not surviving.,apprehensive
hit:2053_conv:4107,utterance,speaker,"My first pregnancy did not go as planned at all - in fact, it will probably go down as the most scary time in my life.",afraid
hit:2053_conv:4107,utterance,listener,Oh no! What happened? I can't imagine having to go through something that scary.,terrified
hit:2053_conv:4107,utterance,speaker,"Things were fine until 36 weeks.  Then all you know what happened.  I developed HELLP syndrome, my organs started shutting down, blood pressure was super high.  Had an emergency c-section and in the hospital for over a week after - came close to losing both of us.",terrified
hit:2053_conv:4107,utterance,listener,Holy moly! I am so glad you are okay. I'm sure that gave you quite a fright.,sympathizing
hit:11750_conv:23501,situation,none,ordering something from a sketchy website,apprehensive
hit:11750_conv:23501,utterance,speaker,"i was going to order some tshirts online,but the website is from the ukrane and seems pretty sketchy",neutral
hit:11750_conv:23501,utterance,listener,"i agree with you there, I do not trust those eastern bloc countries.",agreeing
hit:11750_conv:23501,utterance,speaker,"it just did not seem like a safe pay site. so even though i cannot find these items anywhere else, i decided not to buy",neutral
hit:11750_conv:23501,utterance,listener,"you made a wise choice, not only will you not get your t-shirt most likely they will steal your credit card information and use it",agreeing
hit:10851_conv:21703,situation,none,I'm waiting to hear back on whether or not I got the loan approved. I'm running in circles all bent out of shape about it.,apprehensive
hit:10851_conv:21703,utterance,speaker,I applied for a home loan and I'm waiting to hear back on it. The waiting is driving me up a wall.,anxious
hit:10851_conv:21703,utterance,listener,can't you place a call to them?,questioning
hit:10851_conv:21703,utterance,speaker,I have. It's taking them extra long for some reason. All the scrutiny is making me run circles.,annoyed
hit:10851_conv:21703,utterance,listener,I just think you should just be optimistic and patient,suggesting
hit:10851_conv:21703,utterance,speaker,"I will try, thank you.",wishing
hit:5873_conv:11747,situation,none,I found out the my girlfriend's mom had diead. I had to tell her the news myself since she didn't have any other family to tell her. I've been dreading having to actually say it.,apprehensive
hit:5873_conv:11747,utterance,speaker,I got the news that my girlfriend's mom passed away. I have to tell her the news myself since she has no other close family. I'm dreading having to actually say it to her.,apprehensive
hit:5873_conv:11747,utterance,listener,"first of all my condolences for your friend, and i know how hard this is for you both",sympathizing
hit:5873_conv:11747,utterance,speaker,Thank you very much. It is very upsetting.,sympathizing
hit:5873_conv:11747,utterance,listener,"ya it feels so weak to be in that place , but you should only give the strength required for your friend to overcome this situation",neutral
hit:5873_conv:11747,utterance,speaker,I hope I'm able to. I've never really been a pillar of strength myself.,hopeful
hit:5873_conv:11747,utterance,listener,"you can do it , i pray that you both overcome this situation with peace.",consoling
hit:5865_conv:11731,situation,none,I don't want to go on this date.,apprehensive
hit:5865_conv:11731,utterance,speaker,I don't want to go on this Tinder date. Nothing good will come of it.,apprehensive
hit:5865_conv:11731,utterance,listener,Don't be so negative about it. Maybe you'll really like the person.,hopeful
hit:5865_conv:11731,utterance,speaker,"I doubt it, I'd rather not waste my time.",apprehensive
hit:5865_conv:11731,utterance,listener,So then just let the person know you can't make it. There's no reason to waste that person's time.,questioning
hit:1170_conv:2340,situation,none,I am on the fence about pursuing a promotion opportunity at my work.  I am nervous that I may not interview well.,apprehensive
hit:1170_conv:2340,utterance,speaker,I am on the fence about pursuing a promotion opportunity at my work. I am nervous that I may not interview well.,apprehensive
hit:1170_conv:2340,utterance,listener,Don't be.I am sure you are ready.,questioning
hit:1170_conv:2340,utterance,speaker,I hope so.  I guess I am just fearful of rejection.,apprehensive
hit:1170_conv:2340,utterance,listener,We all are.,agreeing
hit:6505_conv:13011,situation,none,ordering something onliine,apprehensive
hit:6505_conv:13011,utterance,speaker,i wanted to order this miracle cure online but dont know if i should,apprehensive
hit:6505_conv:13011,utterance,listener,I don't think you should. Those are often scams.,afraid
hit:6505_conv:13011,utterance,speaker,it does look too good to be true,acknowledging
hit:6505_conv:13011,utterance,listener,Usually if you feel that way it is. Try to research alternate cures that actually will work better.,consoling
hit:2162_conv:4324,situation,none,When I first started my current job I was very scared. I had to psyche myself up in order to just walk through the front door. I had never worked in that field before and was terrified I would do a bad job. I read self help books with positive outcomes in order to get through the first few weeks.,apprehensive
hit:2162_conv:4324,utterance,speaker,I was so scared when I started my most current job that I had to trick myself into being less shy.,apprehensive
hit:2162_conv:4324,utterance,listener,New people make me so nervous.,anxious
hit:2162_conv:4324,utterance,speaker,Me too! I sat in the parking lot for an hour reading a self help book just to be able to 'fake it' by seeming outgoing.,agreeing
hit:2162_conv:4324,utterance,listener,I have never tried one of those. Did it help?,questioning
hit:2162_conv:4324,utterance,speaker,"Surprisingly, yes! It had quick little stories of people overcoming difficult social situations. It must have been good for me because I am still there 10 years later. haha",surprised
hit:2162_conv:4324,utterance,listener,Well that's pretty cool. You should own the joint by now.,acknowledging
hit:8249_conv:16498,situation,none,I homeschool and am used to schooling one child but now I started 2 kids in school this year and I'm not sure if I'll be able to juggle it well.,apprehensive
hit:8249_conv:16498,utterance,speaker,I homeschool and am used to schooling one child but now I started 2 kids in school this year and I'm not sure if I'll be able to juggle it well.,apprehensive
hit:8249_conv:16498,utterance,listener,"That would be hard, can one work independently?",questioning
hit:8249_conv:16498,utterance,speaker,For some things they both can work independently so I'm trying to pair those subjects up and then do some subjects together with both of them.  I hope I'm doing well enough!,hopeful
hit:8249_conv:16498,utterance,listener,"I'm sure you are doing an amazing job, you seem to care which makes you a great parent.",confident
hit:11987_conv:23975,situation,none,When I was at the pool and some guy came in wearing all dark clothing and a bookbag.,apprehensive
hit:11987_conv:23975,utterance,speaker,"The other day I was swimming with my daughter in the gated community pool, and some guy asked to get in and that he had "" forgot his access card "" to unlock the gate.",annoyed
hit:11987_conv:23975,utterance,listener,"That would make me nervous! you never know what kind of person it could be, a predator perhaps.",suggesting
hit:11987_conv:23975,utterance,speaker,"Exactly what I was thinking since he didnt have his card, but also was wearing jeans and a bookbag! Nothing that one would wear or bring to a pool.",embarrassed
hit:11987_conv:23975,utterance,listener,True!,agreeing
hit:10394_conv:20788,situation,none,"I was invited to go to Turkey recently by a friend, but I still haven't gotten back to him because I've heard such bad things about the political situation there right now.",apprehensive
hit:10394_conv:20788,utterance,speaker,"My friend invited me to visit him in the new country he moved to, but I've heard such bad things about it that I'm afraid to go, and I keep putting it off.",apprehensive
hit:10394_conv:20788,utterance,listener,I would be careful. There is a lot of unrest in the world right now.,apprehensive
hit:10394_conv:20788,utterance,speaker,That's what I'm thinking. But how do I say that to him without coming off ignorant and offensive?,ashamed
hit:10394_conv:20788,utterance,listener,"I would just have a heart to heart with him. I guess I would be honest. You want to please him but you have to take care of yourself, too.",trusting
hit:6032_conv:12064,situation,none,"I really dont know what to expect after all, i've done my best, ill leave the rest to fate",apprehensive
hit:6032_conv:12064,utterance,speaker,"I work with a commercial bank,the place was burgled my criminals ,i was the one on duty that fateful day",faithful
hit:6032_conv:12064,utterance,listener,im glad you were not harmed,neutral
hit:6032_conv:12064,utterance,speaker,but i really dont know what could happen next as i was being accused since i was the one on duty .Im the  security officer in charge,apprehensive
hit:6032_conv:12064,utterance,listener,"im sorry, im sure it wasnt your fault",sympathizing
hit:12144_conv:24289,situation,none,I used to be nervous if someone tried to confront me or start a fight...but since I've taken up boxing mma and wrestling I really don't fear anybody,apprehensive
hit:12144_conv:24289,utterance,speaker,"I used to get nervous and anxious whenever someone would try to start a fight or argument with me...now I don't ever back down, and it helps I've been boxing and wrestling for 5 years",prepared
hit:12144_conv:24289,utterance,listener,I am glad to hear that. It can take a lot for some people to be confident like that. I am glad you got over your issues with it.,proud
hit:12144_conv:24289,utterance,speaker,Yes too many people talk a big game but can't back it up.  Sometimes I just want someone to blatantly talk crap so I don't have to do any talking hahaha,annoyed
hit:12144_conv:24289,utterance,listener,"Yeah, I know exactly what you mean.",agreeing
hit:11052_conv:22104,situation,none,School starts back in 2 weeks.  I'm a bit nervous about the new students/class that I will have.,anxious
hit:11052_conv:22104,utterance,speaker,I'm a teacher and school starts back in two weeks.,hopeful
hit:11052_conv:22104,utterance,listener,are you excited to get back to work?,questioning
hit:11052_conv:22104,utterance,speaker,"Yes, but i'm also getting nervous about meeting my new class.",neutral
hit:11052_conv:22104,utterance,listener,I'm sure the students are nervous about meeting their new teacher as well.,apprehensive
hit:10844_conv:21689,situation,none,I am a little bit uncomfortable with knowing that my Ex has HIV,apprehensive
hit:10844_conv:21689,utterance,speaker,I am a little bit uncomfortable with knowing that my Ex has HIV,apprehensive
hit:10844_conv:21689,utterance,listener,Oh my goodness thats terrible. How did you find out?,questioning
hit:10844_conv:21689,utterance,speaker,the sister told me. I think I will go and check my status as well,suggesting
hit:10844_conv:21689,utterance,listener,I believe that's for the best. You should get regularly tested after this. I hope the best for you.,consoling
hit:4703_conv:9407,situation,none,to let my daughter go in the pool without her swimmies.,apprehensive
hit:4703_conv:9407,utterance,speaker,My daughter begged me to let her go in the pool with her swimmies. ( inflatable safety gear ),apprehensive
hit:4703_conv:9407,utterance,listener,Did you let her?,questioning
hit:4703_conv:9407,utterance,speaker,Yes but I was scared but I trusted her!,neutral
hit:4703_conv:9407,utterance,listener,"I get that, swimming can be dangerous for kids",agreeing
hit:1535_conv:3070,situation,none,I am a little nervous.  I am starting a new job on Friday.,apprehensive
hit:1535_conv:3070,utterance,speaker,I am a little nervous. I am starting a new job on Friday,apprehensive
hit:1535_conv:3070,utterance,listener,"Oh man, I know the nerves can be rough, but I'm sure you're excited as well. But yea, throwing yourself into a group of new people can be rough.",agreeing
hit:1535_conv:3070,utterance,speaker,I know.  I was at the last place 5 years.  So its been awhile since I was the new person.,agreeing
hit:1535_conv:3070,utterance,listener,"Oh wow. Well, I really hope you enjoy the new job! I have a feeling you'll do just fine.",encouraging
hit:4726_conv:9452,situation,none,"I got asked to go on a cruise but, I'm not sure if I should.",apprehensive
hit:4726_conv:9452,utterance,speaker,"I got asked to go on a cruise but, I'm not sure if I should.",apprehensive
hit:4726_conv:9452,utterance,listener,Cruises are fun. What is the problem?,questioning
hit:4726_conv:9452,utterance,speaker,Do I really want to spend two weeks in a room with someone I don't know really really well?,apprehensive
hit:4726_conv:9452,utterance,listener,Two weeks is a long time.,neutral
hit:4726_conv:9452,utterance,speaker,Indeed it is,agreeing
hit:4726_conv:9452,utterance,listener,I wouldnt risk it,afraid
