Dialog_ID,Type,Actor,Text,Label
hit:335_conv:670,situation,none,I am embarrassed to be a Cleveland Browns fan.,ashamed
hit:335_conv:670,utterance,speaker,I am embarrassed to be a fan of the Cleveland Browns.,ashamed
hit:335_conv:670,utterance,listener,I would be as well if I were you. Are you from the area?,questioning
hit:335_conv:670,utterance,speaker,Yes. I grew up in the city.,lonely
hit:335_conv:670,utterance,listener,wasn't Johnny Manziel susposed to save that team?,questioning
hit:11202_conv:22405,situation,none,"This morning when I met my friend, I had indigestion. I passed gas and it smelled terrible.",ashamed
hit:11202_conv:22405,utterance,speaker,"When I met my friend for coffee this morning, I had indigestion. I passed gas and it smelled terrible.",embarrassed
hit:11202_conv:22405,utterance,listener,Why didn't you walk away lol,questioning
hit:11202_conv:22405,utterance,speaker,"Oh, believe me, I would've walked away if I could've. I was so embarrassed.",ashamed
hit:11202_conv:22405,utterance,listener,You should of try to let it out slowly.,suggesting
hit:7872_conv:15744,situation,none,mom got sick and i blamed myself,ashamed
hit:7872_conv:15744,utterance,speaker,Earlier this year my mom got really sick and ended up in the hospital. I feel like I should have been more vigilant about her health.,caring
hit:7872_conv:15744,utterance,listener,"So sorry to hear about your Mom - I do hope she's better now. In my personal experience, you can watch and advise all you like, but they often won't listen - my Mom was like that.",sympathizing
hit:7872_conv:15744,utterance,speaker,"Yes, that's true, they won't always listen. Still I can't help but beat myself up about it, and feel like I could have done more. I'm trying to get past the feeling of guilt, but it's hard.",ashamed
hit:7872_conv:15744,utterance,listener,"Please don't be so hard on yourself. It's sometimes hard to remind ourselves that our parents are people in their own right and, while we care very much about them, at the end of the day they'll do what they think is right.",neutral
hit:7872_conv:15744,utterance,speaker,Thank you so much for your comforting words. At least she is doing a bit better now. I guess I have to accept that there is only so much I can do.,grateful
hit:7872_conv:15744,utterance,listener,"Exactly! You have to do your thing and she has to do hers. Just by being there if she needs help, you're doing so much for her!",agreeing
hit:7872_conv:15744,utterance,speaker,That is a really good point. Thanks again so much.,acknowledging
hit:7872_conv:15744,utterance,listener,You are very welcome. I've been there :),sympathizing
hit:1298_conv:2596,situation,none,I can't believe I lied to my mother.,ashamed
hit:1298_conv:2596,utterance,speaker,I can not believe I lied to my mother.,ashamed
hit:1298_conv:2596,utterance,listener,What was it about?,questioning
hit:1298_conv:2596,utterance,speaker,About why I needed to borrow money.,prepared
hit:1298_conv:2596,utterance,listener,What did you spend it on?,questioning
hit:1556_conv:3113,situation,none,I feel so guilty.  I cheated on my husband.,ashamed
hit:1556_conv:3113,utterance,speaker,I feel so guilty.  I cheated on my husband.,ashamed
hit:1556_conv:3113,utterance,listener,"Oh no, what happened to cause the cheating?",questioning
hit:1556_conv:3113,utterance,speaker,I just lost control.  I feel horrible for doing it.  But it just had to be done.,ashamed
hit:1556_conv:3113,utterance,listener,Have you guys talked about it? Or is he still upset?,questioning
hit:10110_conv:20221,situation,none,My son got in big trouble at his school.  I felt so embarrassed when it happened.,ashamed
hit:10110_conv:20221,utterance,speaker,"My son got in big trouble at school.  He was very mean to his best friend, and I had to call his mom and explain what had happened.",ashamed
hit:10110_conv:20221,utterance,listener,That's terrible when friends fight. What was it over?,questioning
hit:10110_conv:20221,utterance,speaker,"He wasn't even upset with his friend, he was upset with someone else.  I felt so bad having to explain it to his friends mom.",guilty
hit:10110_conv:20221,utterance,listener,That's got to be a tough phone call to make. Did you two make amends or is she very upset?,questioning
hit:10110_conv:20221,utterance,speaker,She was fine with it.  She knew he was in big trouble at home.,trusting
