Dialog_ID,Type,Actor,Text,Label
hit:6246_conv:12493,situation,none,"I couldn't afford my textbook, and my roomie made copies of the pages for me.",caring
hit:6246_conv:12493,utterance,speaker,"I couldn't afford my textbook, and my roomie made copies of the pages for me.",caring
hit:6246_conv:12493,utterance,listener,That is SO nice!That's a great roomate!,acknowledging
hit:6246_conv:12493,utterance,speaker,Yea. She's pretty amazing!,acknowledging
hit:6246_conv:12493,utterance,listener,That is a great friend as well. I hope you all have a long lasting relationship,encouraging
hit:7024_conv:14048,situation,none,My mom has been lonely with my dad gone. I go and stay the weekend with her at least once a month now to make her feel better.,caring
hit:7024_conv:14048,utterance,speaker,My mom has been so lonely since my dad died.,lonely
hit:7024_conv:14048,utterance,listener,I,guilty
hit:7024_conv:14048,utterance,speaker,what?,questioning
hit:7024_conv:14048,utterance,listener,I'm so sorry to hear that do you try andspend a lot of time with her so she doesn't feel that way?,sympathizing
hit:7024_conv:14048,utterance,speaker,I do spend more time with her now and I have made it a point to stay the weekend with her at least once a month.,caring
hit:7024_conv:14048,utterance,listener,That is great to hear now she has to build even more memories with you and your family so the loosing of your dad can get better for her.,acknowledging
hit:4300_conv:8600,situation,none,I just adopted this rescue dog.  He's a sweet and timid little dachshund missing one leg. He's precious.,caring
hit:4300_conv:8600,utterance,speaker,I just adopted this rescue dog. He's a sweet and timid little dachshund missing one leg. He's precious.,caring
hit:4300_conv:8600,utterance,listener,That is so sweet.  How did he lose his leg?,questioning
hit:4300_conv:8600,utterance,speaker,He was found with a wire in it because he got caught in it.  It was too infected to save.  It doesn't seem to bother him not having it.,disgusted
hit:4300_conv:8600,utterance,listener,I've heard that it doesn't bother them to lose one limb.  I watch Dr. Jeff on Animal Planet a lot and that is what he says.,trusting
hit:8956_conv:17913,situation,none,"My boss has cancer, so I'm trying very hard to work extra to make things easier for her.",caring
hit:8956_conv:17913,utterance,speaker,My boss was diagnosed with cancer earlier this summer. I've been trying very hard to work extra to make things easier for her.,caring
