Dialog_ID,Type,Actor,Text,Label
hit:1152_conv:2305,situation,none,Over the years I've figured out the best way to love and myself is to work at some new skill everyday and become the best at it until haters become fans,confident
hit:1152_conv:2305,utterance,speaker,I've learned that to be the best version of myself means working at a skill striving to be the the best at it until haters become fans,confident
hit:1152_conv:2305,utterance,listener,I absolutely agree with that mind set! Pick something you're passionate about and do it with passion!,agreeing
hit:1152_conv:2305,utterance,speaker,I'm glad you agree,agreeing
hit:1152_conv:2305,utterance,listener,"I'm a fitness enthusiast myself, and you'd be surprised how people even find reason to be negative about THAT.",proud
hit:1152_conv:2305,utterance,speaker,I'm glad you agre,grateful
hit:8787_conv:17575,situation,none,"I asked my friend to get some stuff for a party, I knew he would come through though.",confident
hit:8787_conv:17575,utterance,speaker,"I asked my friend to get some stuff for a party, I knew he would come through though.",confident
hit:8787_conv:17575,utterance,listener,What kind of stuff?,questioning
hit:8787_conv:17575,utterance,speaker,Like food and decorations and things like that.,acknowledging
hit:8787_conv:17575,utterance,listener,"Oh nice, what kind of party?",questioning
hit:8344_conv:16689,situation,none,"I think the Eagles can win the superbowl again this year, they are looking really good",confident
hit:8344_conv:16689,utterance,speaker,"I think the Eagles can win the superbowl again this year, they are looking really good",confident
hit:8344_conv:16689,utterance,listener,"I'm not too familiar with football, who is their star player?",questioning
hit:8344_conv:16689,utterance,speaker,"Carson Wentz, but they are great all around",neutral
hit:8344_conv:16689,utterance,listener,"Interesting, maybe I'll check them out this season",suggesting
hit:10481_conv:20963,situation,none,School starts back in 2 weeks.  I'm feeling good about having taught the same grade for 3 years now.,confident
hit:10481_conv:20963,utterance,speaker,I'm a teacher. and school starts back up in just 2 weeks.,anxious
hit:10481_conv:20963,utterance,listener,"COunting down the days, eh? How was your summer?",questioning
hit:10481_conv:20963,utterance,speaker,I had a great summer.  I'm feeling really good about this coming year.  Teaching the same grade for the third time.,hopeful
hit:10481_conv:20963,utterance,listener,That's awesome that you get that continuity. More teachers would succeed if that was available to them. Good for you!,acknowledging
hit:6058_conv:12117,situation,none,I will be starting my first year as a teacher next week!  I have never felt more ready for a job than I do right now!,confident
hit:6058_conv:12117,utterance,speaker,I will be starting my first year as a teacher next week! I have never felt more ready for a job than I do right now!,confident
hit:6058_conv:12117,utterance,listener,my cousin and my aunt are both teachers and they love it,jealous
hit:6058_conv:12117,utterance,speaker,"I do as well, or at least I think I will!  Regardless, I will teach the mess out of those kids!",confident
hit:6058_conv:12117,utterance,listener,haha. it's alot of work but it's rewarding,neutral
hit:6982_conv:13964,situation,none,i think the chargers are going to be really good this year. we have a great roster,confident
hit:6982_conv:13964,utterance,speaker,i think the chargers will be very good this year.,confident
hit:6982_conv:13964,utterance,listener,"Is that a football team?  I'm sorry, I'm not a sports fan.  Are they your favorite team?",questioning
hit:6982_conv:13964,utterance,speaker,"yep it is, and yes they are!",agreeing
hit:6982_conv:13964,utterance,listener,I hope they perform well this year then!  It's always nice to have a winning team.,hopeful
hit:3572_conv:7144,situation,none,I am feeling positive about the economy these days,hopeful
hit:3572_conv:7144,utterance,speaker,I am feeling positive about the economy these days,hopeful
hit:3572_conv:7144,utterance,listener,That's terrific! Is there anything in particular that makes you feel good about it?,questioning
hit:3572_conv:7144,utterance,speaker,All the indicators are positive.The economy is triving.,content
hit:3572_conv:7144,utterance,listener,"But on a personal level, how do you experience that?",questioning
hit:6776_conv:13553,situation,none,I was teaching a cake decorating class that I've taught many times before.  I knew I could teach my students with ease.,confident
hit:6776_conv:13553,utterance,speaker,Next month I teach a beginning cake decorating class.,confident
hit:6776_conv:13553,utterance,listener,Do you have a lot of experience baking cakes?,questioning
hit:6776_conv:13553,utterance,speaker,"Yes, about 5 years.  I've also taught this class before.",confident
hit:6776_conv:13553,utterance,listener,Sounds like fun. Are you excited?,questioning
hit:6776_conv:13553,utterance,speaker,"Kinda.  I'm excited to see who takes the class and help them learn to decorate cakes, but teaching the class is the easy part.",hopeful
hit:294_conv:589,situation,none,I used to be scared of talking to girls.  Now for some reason I've been able to strike up conversations and get phone numbers from really attractive women.,confident
hit:294_conv:589,utterance,speaker,Before I sucked at talking to girls...now I'm getting numbers left and right,confident
hit:294_conv:589,utterance,listener,Yeah when you break that fear from asking life gets A LOT better.,acknowledging
hit:294_conv:589,utterance,speaker,For sure. Are you female or male,questioning
hit:294_conv:589,utterance,listener,I am a male so it was hard at first to do that since most girls do want some assertive guys.,apprehensive
hit:11440_conv:22880,situation,none,"Yesterday, I had an important meeting. But, I prepared very well for that, and I was very much assertive. And I did a good job!",confident
hit:11440_conv:22880,utterance,speaker,"Yesterday, I had an important meeting, with my client",apprehensive
hit:11440_conv:22880,utterance,listener,i hope it went well for you.,encouraging
hit:11440_conv:22880,utterance,speaker,"Yes! I prepared very well for that, and I was very much assertive",confident
hit:11440_conv:22880,utterance,listener,That's great to hear. Did you accomplish everything that you wanted to in the meeting?,questioning
hit:11440_conv:22880,utterance,speaker,Yes I did! My client offered me a new contract!,excited
hit:11440_conv:22880,utterance,listener,Congratulations! I wish you well with your new contract.,wishing
hit:7479_conv:14959,situation,none,I'm gonna do great in the meeting Monday. I already have my presentation ready.,confident
hit:7479_conv:14959,utterance,speaker,I have a meeting Monday and I'm gonna do great I think.,confident
hit:7479_conv:14959,utterance,listener,"That's great, that means you're prepared",acknowledging
hit:7479_conv:14959,utterance,speaker,Very! I've had my presentation ready for days now!,prepared
hit:7479_conv:14959,utterance,listener,Good luck! not like you'll need it :),wishing
hit:174_conv:348,situation,none,I felt confident when I won the honor society election in high school. I beat someone way more popular,confident
hit:174_conv:348,utterance,speaker,When I won the honor society president election I was so confident in myself!,confident
hit:174_conv:348,utterance,listener,I bet so. I've never done anything like that before.,confident
hit:174_conv:348,utterance,speaker,"I beat someone way more popular, that is what made it surprising to me",surprised
hit:174_conv:348,utterance,listener,That is surprising. Usually these things are a popularity contest.,surprised
hit:2610_conv:5221,situation,none,I recently went to the eye doctor. And I had to take an eye exam. It went very well.,confident
hit:2610_conv:5221,utterance,speaker,"I had my recent eye exam, and it went very well.",confident
hit:2610_conv:5221,utterance,listener,What's wrong with your sight?,questioning
hit:2610_conv:5221,utterance,speaker,"I thought that maybe I needed new eyeglasses, but it turns out that everything was fine and I can see well.",surprised
hit:2610_conv:5221,utterance,listener,"That's good ,a speed recovery I must say.I commend the opticians",impressed
hit:2610_conv:5221,utterance,speaker,"Yes, I felt good about my eye doctor's abilities to find anything that could be wrong.",trusting
hit:10369_conv:20739,situation,none,"Went to a water park that had on of those water coasters.  I was sure I could do it.  I did, it was a blast.",confident
hit:10369_conv:20739,utterance,speaker,I did one of those water coasters the other day.,terrified
hit:10369_conv:20739,utterance,listener,did you have fun?,questioning
hit:10369_conv:20739,utterance,speaker,It was a blast.  Like a roller coaster on water.,excited
hit:10369_conv:20739,utterance,listener,"wow , that sounds so cool!",acknowledging
hit:5653_conv:11306,situation,none,I have a big tennis match coming up tomorrow. I trained hard though so I'm sure I'll win.,confident
hit:5653_conv:11306,utterance,speaker,I have a big tennis match tomorrow against my rival.,anxious
hit:5653_conv:11306,utterance,listener,Tennis? I am terrible at that game,ashamed
hit:5653_conv:11306,utterance,speaker,I've been playing for years so I'm pretty good. Definitely good enough to beat her!,confident
hit:5653_conv:11306,utterance,listener,Well if you were playing me you would definitely win,agreeing
hit:8231_conv:16463,situation,none,When I walk into a room full of people I can usually feel all eyes on me but it doesn't faze me...especially if I just got a clean fade,confident
hit:8231_conv:16463,utterance,speaker,When I feel a bunch of eyes on me in a room full of people it never really fazes me.  Especially if they're mostly cute girls and I just got a clean fade,confident
hit:8231_conv:16463,utterance,listener,What is a clean fade,questioning
hit:8231_conv:16463,utterance,speaker,A haircut.,confident
hit:8231_conv:16463,utterance,listener,Oh it sounds kind of cool,acknowledging
hit:9224_conv:18448,situation,none,I have been studying for my math final all week. I am going to crush it!,confident
hit:9224_conv:18448,utterance,speaker,I've been hard at work studying for my math final all this week.,prepared
hit:9224_conv:18448,utterance,listener,have you taken the test yet,questioning
hit:9224_conv:18448,utterance,speaker,I haven't; it's tomorrow! But I am sure I am going to knock it out of the park.,confident
hit:9224_conv:18448,utterance,listener,if you studied really hard then you should,neutral
hit:6860_conv:13720,situation,none,I just started a business.,confident
hit:6860_conv:13720,utterance,speaker,I just started a business.,confident
hit:6860_conv:13720,utterance,listener,Cool! What kind of business?,questioning
hit:6860_conv:13720,utterance,speaker,It is an online retail business.  I have been studying about it for years and finally pulled the trigger.  I know it will end up being a great business.,confident
hit:6860_conv:13720,utterance,listener,Wow that's pretty ballsy nice job!,acknowledging
hit:7095_conv:14190,situation,none,I studied all week for my test and im so ready to take it,confident
hit:7095_conv:14190,utterance,speaker,I studied all week for my test and im so ready to take it,confident
hit:7095_conv:14190,utterance,listener,When is the test?,questioning
hit:7095_conv:14190,utterance,speaker,"next week, feeling like it should be easy",hopeful
hit:7095_conv:14190,utterance,listener,"That is good, you must of studied a long time.",acknowledging
hit:7762_conv:15524,situation,none,I'm so ready for my presentation at work tomorrow. I'm sure I'll do great!,confident
hit:7762_conv:15524,utterance,speaker,I'm so ready for my presentation at work tomorrow. I'm sure I'll do great!,confident
hit:7762_conv:15524,utterance,listener,You must have prepared yourself for this! You will do great!,confident
hit:7762_conv:15524,utterance,speaker,Yes I've spent all week going over it,prepared
hit:7762_conv:15524,utterance,listener,Great preparation indeed!,acknowledging
hit:6715_conv:13431,situation,none,I have a big interview coming up. I feel really good about. I feel well prepared.,confident
hit:6715_conv:13431,utterance,speaker,I feel really good about this job interview I have coming up.,confident
hit:6715_conv:13431,utterance,listener,"Oh, good luck on it! What are you applying for?",wishing
hit:6715_conv:13431,utterance,speaker,Its an accounting job. I feel well qualified.,confident
hit:6715_conv:13431,utterance,listener,That's a great attitude to have going in. They really pick up on confidence at interviews.,confident
hit:3743_conv:7486,situation,none,I went out on a date the other night.  We had a great time and I am very sure that we will go out again sometime soon.,confident
hit:3743_conv:7486,utterance,speaker,I had the most amazing time the other night and I am so happy and I feel like I'm on cloud 9.,joyful
hit:3743_conv:7486,utterance,listener,Please tell me what happened! I wish I did too!!,jealous
hit:3743_conv:7486,utterance,speaker,I’ve been talking to this girl I met online and we went out on a great date.  We had so much fun.  Im 100% sure we’re going to go out again soon.,confident
hit:3743_conv:7486,utterance,listener,"Well I hope that you two have a bunch of fun. I have been together with my partner for a very long time, and I feel very lucky.",encouraging
hit:10508_conv:21016,situation,none,I was challenged to a 2 on 2 pool game with my partner being my friend Joe.,confident
hit:10508_conv:21016,utterance,speaker,I was challenged to a 2 on 2 pool game with my partner being my friend Joe.,confident
hit:10508_conv:21016,utterance,listener,Did you and Joe do well?,questioning
hit:10508_conv:21016,utterance,speaker,"I did alright, but Joe carried the team and I expected him to due to his pool skills.",impressed
hit:10508_conv:21016,utterance,listener,"Being on a team with someone more skilled than you has it advantages, it's good that he lived up to those expectations.",impressed
hit:5763_conv:11526,situation,none,I am sure that I will be able to get a raise from my job.,confident
hit:5763_conv:11526,utterance,speaker,I am sure that I will be able to get a raise from my job.,confident
hit:5763_conv:11526,utterance,listener,Wow! I hope so. Are you going to ask them today?,hopeful
hit:5763_conv:11526,utterance,speaker,No. I will ask them at the end of the week.,apprehensive
hit:5763_conv:11526,utterance,listener,Good plan. Why are you so confident?,questioning
hit:11407_conv:22814,situation,none,was going in for a test and was very excited because i knew i would pass! it was not hard since i was so peppy!,confident
hit:11407_conv:22814,utterance,speaker,I was so happy today. I woke up early and ate a good breakfast then went in for my test and I know i passed it !,confident
hit:11407_conv:22814,utterance,listener,Great news! You must be feeling pretty good today.,acknowledging
hit:11407_conv:22814,utterance,speaker,I am! it is like im on top of the world!,confident
hit:11407_conv:22814,utterance,listener,You should celebrate with a drink or a nice dinner out maybe,suggesting
hit:11407_conv:22814,utterance,speaker,I think I will tonite!,hopeful
hit:11407_conv:22814,utterance,listener,Where do you think you might go?,questioning
hit:8573_conv:17147,situation,none,I have an interview tomorrow for a job. I have prepared for all the questions and I am assured I will do fine,confident
hit:8573_conv:17147,utterance,speaker,I have an interview tomorrow for a job i had applied. I feel fully prepared for all the questions and I am confident I will do fine,confident
hit:8573_conv:17147,utterance,listener,You will. Being prepared always helps,prepared
hit:8573_conv:17147,utterance,speaker,Indeed. Display confidence during interviews is very attractive and leave a good impression on people interviewing you,confident
hit:8573_conv:17147,utterance,listener,Thats right. I think you got it already. You know exactly what to do,agreeing
hit:11547_conv:23095,situation,none,Just practiced a new song I wrote. I am ready to share it on stage.,confident
hit:11547_conv:23095,utterance,speaker,Have you ever gone to an open mic night?,questioning
hit:11547_conv:23095,utterance,listener,Yeah I've gone a few times actually. Do you like them?,questioning
hit:11547_conv:23095,utterance,speaker,I love them. I just practiced my new song and I am ready to share it on stage.,confident
hit:11547_conv:23095,utterance,listener,"That's awesome! I wish you all the luck, but I bet you won't even need it.",wishing
hit:11547_conv:23095,utterance,speaker,Thanks! I think it's one of my best work.,acknowledging
hit:11547_conv:23095,utterance,listener,It's going to knock everyone dead! I'll be rooting for you,hopeful
hit:9059_conv:18119,situation,none,I have to build a kitchen island from IKEA.  I am sure I can get it done.,confident
hit:9059_conv:18119,utterance,speaker,I have to build a kitchen island from IKEA.,annoyed
hit:9059_conv:18119,utterance,listener,"I love IKEA, they have good meatballs.",joyful
hit:9059_conv:18119,utterance,speaker,They certain do.  I am sure I can get it done.,confident
hit:9059_conv:18119,utterance,listener,Hopefully you can understand the instructions.,consoling
hit:8975_conv:17950,situation,none,I felt great when I went to do my job interview. I am pretty sure I got the job. I will get a call any minute now.,confident
hit:8975_conv:17950,utterance,speaker,I had a job interview recently and I think I did great. I am pretty sure I will get the job.,confident
