Dialog_ID,Type,Actor,Text,Label
hit:12031_conv:24062,situation,none,"I was at the grocery store the other day, waiting in line to check out. The person in front of me was very old and having trouble working their card. The cashier was very rude and condescending.",disgusted
hit:12031_conv:24062,utterance,speaker,"While I was at the grocery store I was in line behind a nice, but very confused older person who had trouble getting their credit card to work.",annoyed
hit:12031_conv:24062,utterance,listener,That can be frustrating. Did you do anything to help?,questioning
hit:12031_conv:24062,utterance,speaker,"No, I thought the cashier was going to help her, but instead, she started getting very frustrated and began saying some very mean and ugly things to the customer.",disappointed
hit:12031_conv:24062,utterance,listener,"Oh that is terrible, cashiers should have more patience.",acknowledging
hit:767_conv:1534,situation,none,"I was talking a walk in my neighborhood, and accidentally stepped in some dog poop, yuck!",disgusted
hit:767_conv:1534,utterance,speaker,"Hey, I was talking a walk the other day and I accidentally stepped in some dog poop, talk about gross.",disgusted
hit:767_conv:1534,utterance,listener,Ewww. I haven't done that in a while. Thankfully.,grateful
hit:767_conv:1534,utterance,speaker,"I'm glad for you, people need to clean up after their animals!",acknowledging
hit:767_conv:1534,utterance,listener,They sure do. Isn't it the law?,questioning
hit:3961_conv:7923,situation,none,A kid I went to school with is in jail for harming a puppy!,disgusted
hit:3961_conv:7923,utterance,speaker,"A kid I went to school with is in jail for harming a puppy, what a vile human!",disgusted
hit:3961_conv:7923,utterance,listener,That is terrible.,acknowledging
hit:3961_conv:7923,utterance,speaker,"It really is, what possesses someone to do that?",questioning
hit:3961_conv:7923,utterance,listener,I don't know. They should be locked up though. Hurting a person is next.,apprehensive
hit:5735_conv:11470,situation,none,getting raw food,disgusted
hit:5735_conv:11470,utterance,speaker,i had the worst meal at a new restaurant today,disgusted
hit:5735_conv:11470,utterance,listener,What did you order?,questioning
hit:5735_conv:11470,utterance,speaker,"it was a chicken dish, was still pink on the inside.i took one bit out of it",disgusted
hit:5735_conv:11470,utterance,listener,Did you get them to recook it?,questioning
hit:356_conv:712,situation,none,I try not to judge people. And I've never been a saint. But having a naive 15-year-old female cousin gives me some kind of protective inclination to bust up any kind of pedophile or rapist if I get the chance,disgusted
hit:356_conv:712,utterance,speaker,I try not to judge often...but if there's one thing I can't stand it's pedophiles..they just make my blood boil,disgusted
hit:356_conv:712,utterance,listener,I watched a movie based off a true story on that once. It was truely a sad story for the little girl and her parents.,sentimental
hit:356_conv:712,utterance,speaker,What movie was it,nostalgic
hit:356_conv:712,utterance,listener,It was a korean movie. Don't recall the name.,neutral
hit:1772_conv:3544,situation,none,I am disgusted with many people in my country. They voted to leave the EU.,disgusted
hit:1772_conv:3544,utterance,speaker,I am disgusted that so many people voted in favour of Brexit in the UK.,disgusted
hit:1772_conv:3544,utterance,listener,Why is that?,questioning
hit:1772_conv:3544,utterance,speaker,I can't see why tey would want to sever ties with Europe and become separate,sad
hit:1772_conv:3544,utterance,listener,I can understand that viewpoint. It's a very complicated issue though!,agreeing
hit:7234_conv:14469,situation,none,I saw a man eat a handful of roaches.  It was so gross.,disgusted
hit:7234_conv:14469,utterance,speaker,I saw a man eat a handful of roaches.,disgusted
hit:7234_conv:14469,utterance,listener,"Yuck thats disgusting, did you throw up?",disgusted
hit:7234_conv:14469,utterance,speaker,"Almost, it was so gross!",disgusted
hit:7234_conv:14469,utterance,listener,Was he insane or was it a part of he's culture?,questioning
hit:8950_conv:17900,situation,none,I baked a cake for my kid's birthday party. Someone the dog got up on the table and got into it. I was so upset with him.,disgusted
hit:8950_conv:17900,utterance,speaker,Last week I baked a cake for my kid's birthday party. Somehow the dog jumped on the table and started scarfing it down. I was furious with him.,furious
hit:8950_conv:17900,utterance,listener,Oh no! Did you scold the dog?,questioning
hit:8950_conv:17900,utterance,speaker,Yeah I made him go outside and didn't give him any dog treats for a while. Luckily I had enough ingredients to make another cake.,prepared
hit:8950_conv:17900,utterance,listener,I hope he doesn't get that one!,consoling
hit:112_conv:225,situation,none,I am disgusted that the criminal got away.,disgusted
hit:112_conv:225,utterance,speaker,I tried to catch a criminal but he got away.,disappointed
hit:112_conv:225,utterance,listener,Did he have a weapon?,questioning
hit:112_conv:225,utterance,speaker,Yes but only a small knife.,neutral
hit:112_conv:225,utterance,listener,What were you gonna do if you caught him?,questioning
hit:1423_conv:2847,situation,none,I found a snake in the yard two days ago.,terrified
hit:1423_conv:2847,utterance,speaker,I ran into a snake in the yard the other day.,terrified
hit:1423_conv:2847,utterance,listener,Oh god. How big was it?,questioning
hit:1423_conv:2847,utterance,speaker,"Only about three feet long, but it did startle me.",terrified
hit:1423_conv:2847,utterance,listener,"Man, that's scary. Is it out now?",acknowledging
hit:8362_conv:16725,situation,none,"I had cereal for breakfast this morning. It was a brand new box, but when I poured it into my bowl, there were several little live bugs in it.",disgusted
hit:8362_conv:16725,utterance,speaker,I had cereal for breakfast this morning.,content
hit:8362_conv:16725,utterance,listener,What kind of cereal was it,neutral
hit:8362_conv:16725,utterance,speaker,"It was a brand new box of Rice crispies. When I opened it and poured it in my bowl, there were several live bugs.",disgusted
hit:8362_conv:16725,utterance,listener,Well that sounds disgusting,acknowledging
hit:10668_conv:21336,situation,none,"Bleh, I just had the worst food ever. I almost puked after I ate the rotten cheese burger I was given at McDonalds.",disgusted
hit:10668_conv:21336,utterance,speaker,"Bleh, I just had the worst food ever.",disgusted
hit:10668_conv:21336,utterance,listener,What did you eat?,questioning
hit:10668_conv:21336,utterance,speaker,I was at cMdonalds and was given a rotten cheese burger. I almost puked after I ate it.,disgusted
hit:10668_conv:21336,utterance,listener,"Oh gross, makes me never want McDonalds again.",disgusted
hit:3029_conv:6059,situation,none,I was totally grossed out by a guy who threw his nasty cup of something out the window on the EXPRESSWAY. It hit out windshield and yes he threw it out on purpose.,disgusted
hit:3029_conv:6059,utterance,speaker,I was totally grossed out by a guy who threw his nasty cup of something out the window on the EXPRESSWAY.,disgusted
hit:3029_conv:6059,utterance,listener,"Oh my god, I HATE when people do that! That stuff can land on someone's windshield!",furious
hit:3029_conv:6059,utterance,speaker,"Oh, lol. IT DID! On mine. It hit our windshield and almost made us get in an accident.",neutral
hit:3029_conv:6059,utterance,listener,"Wow, that's horrible! I would have been so pissed.",acknowledging
hit:5172_conv:10345,situation,none,"I was eating at a restaurant today, and some lady started cutting her toe nails. What was she thinking? Everyone could see what she was doing.",disgusted
