Dialog_ID,Type,Actor,Text,Label
hit:1140_conv:2281,situation,none,I was feeling rather hungry and then my friend gave me some food!,grateful
hit:1140_conv:2281,utterance,speaker,I was getting home from work one day and was feeling hungry. I wasn't able to eat at lunch break at work. When I got to my house a friend of mine was there and had pizza!,surprised
hit:1140_conv:2281,utterance,listener,Nice did your friend give you a piece?,questioning
hit:1140_conv:2281,utterance,speaker,Yes we ate the whole pizza together!,neutral
hit:1140_conv:2281,utterance,listener,Cool what kind of pizza was it,acknowledging
hit:1140_conv:2281,utterance,speaker,"It was the kind with all the meats and also all the veggies, there must have been like 8-10 different toppings on that thing!",acknowledging
hit:4357_conv:8715,situation,none,My husband was in a car wreck 2 years ago and broke his back. After he came home from the hospital the church brought us dinner every night for 2 weeks. It was so great.,grateful
hit:4357_conv:8715,utterance,speaker,My husband broke his back in a car wreck a couple of years ago. For 2 week after we came home the church brought us dinner every night.,grateful
hit:4357_conv:8715,utterance,listener,That's so nice. Is he doing better now?,questioning
hit:4357_conv:8715,utterance,speaker,He is doing amazing. We didn't want them to quit bringing food. It was so good.,grateful
hit:4357_conv:8715,utterance,listener,I'm sure it was a great comfort to you. Food is a great way to tell someone you care.,neutral
hit:8462_conv:16924,situation,none,I have an wonderful husband and two precious kids.  They are everything to me.,grateful
hit:8462_conv:16924,utterance,speaker,I have an wonderful husband and two precious kids. They are everything to me.,grateful
hit:8462_conv:16924,utterance,listener,You are so lucky. They must bring you great joy.,grateful
hit:8462_conv:16924,utterance,speaker,They really do.  I couldn't have gotten to hard times without them.,grateful
hit:8462_conv:16924,utterance,listener,That is amazing. I am sure they appreciate you too.,acknowledging
hit:1887_conv:3775,situation,none,I was driving on the freeway the other day and there was a car ahead of me that was swerving bad. This really bugs me but I had no where to go on the road other then to slow down and fall back to get away from that car. Luckily after several minutes of this person swerving in and out of their lane a state trooper pulled them over.,grateful
hit:1887_conv:3775,utterance,speaker,I was driving on the freeway the other day and there was a car ahead of me that was swerving bad. This really bugs me but I had no where to go on the road other then to slow down and fall back to get away from that car.,annoyed
hit:1887_conv:3775,utterance,listener,"According to my knowledge and understanding, I believe that you did something really prudent",trusting
