Dialog_ID,Type,Actor,Text,Label
hit:3115_conv:6230,situation,none,I swore off fast food this month and today I had McDonalds. I have no will power.,guilty
hit:3115_conv:6230,utterance,speaker,I swore off fast food this month.,guilty
hit:3115_conv:6230,utterance,listener,Good job!  How are you doing so far?,questioning
hit:3115_conv:6230,utterance,speaker,I had McDonalds today. I am doing terrible,ashamed
hit:3115_conv:6230,utterance,listener,It is tough.  Don't be too hard on yourself.  Just do better moving forward,consoling
hit:3115_conv:6230,utterance,speaker,I am gonna try,hopeful
hit:2788_conv:5576,situation,none,Sometimes I'll forget to feed my dog. I can't help but feel bad about it...,guilty
hit:2788_conv:5576,utterance,speaker,Sometimes I'll forget to feed my dog. I can't help but feel bad about it...,guilty
hit:2788_conv:5576,utterance,listener,That's not good at all,acknowledging
hit:2788_conv:5576,utterance,speaker,Yeah I feel super guilty,guilty
hit:2788_conv:5576,utterance,listener,Can't you just leave food out? Or set an alarm on your phone?,questioning
hit:5202_conv:10404,situation,none,I feel guilty for smoking in the house today when it was raining outside.  It hurts my family.,guilty
hit:5202_conv:10404,utterance,speaker,I feel guilty for smoking in the house today when it was raining outside.,guilty
hit:5202_conv:10404,utterance,listener,"Almost all my family members have smoked at one point in time. I feel bad for the people that get caught in the addiction, and I wish I could help them quit. Sorry to hear it's such a hassle enough that you had to do it inside.",caring
hit:5202_conv:10404,utterance,speaker,It's a horrible addiction that I always keep putting off correcting.  I plan to make an effort to quit tomorrow.,hopeful
hit:5202_conv:10404,utterance,listener,"Hey, I really hope you do. It was partly why my dad had a stroke and then had health problems the rest of his life. But I'm sure you get that all the time. You have to do it for you, not because of horror stories and all that. I hope you get through it, though.",encouraging
hit:4726_conv:9453,situation,none,I ate McDonalds in the car the other day because I didn't buy my kids any,guilty
hit:4726_conv:9453,utterance,speaker,I at someMcDonalds in my car the other day,joyful
hit:4726_conv:9453,utterance,listener,How was it?,questioning
hit:4726_conv:9453,utterance,speaker,It was great. I was hiding from my kids I didnt get them any lol,guilty
hit:4726_conv:9453,utterance,listener,That's pretty mean... jeez,acknowledging
hit:4726_conv:9453,utterance,speaker,I know. Im terrible,agreeing
hit:4726_conv:9453,utterance,listener,I'm gonna tell on you.,trusting
hit:4726_conv:9453,utterance,speaker,There is no evidence,agreeing
hit:492_conv:984,situation,none,"One time I saw a 64gb flash drive plugged into a computer. I really needed one so I just took it since it didn't have any information on it, but I couldn't help but feel bad about it.",guilty
hit:492_conv:984,utterance,speaker,"As bad as it is to say, one time I took a flash drive that I saw in a computer that I used at school because I needed one and it had nothing on it.",ashamed
hit:492_conv:984,utterance,listener,That's interesting. At least you got some new storage space!,acknowledging
hit:492_conv:984,utterance,speaker,"I know man, thanks for being so supportive of my otherwise questionable decision!",agreeing
hit:492_conv:984,utterance,listener,Well stealing electronics can usually be harmful to the original user because information is so personally valuable so don't do it again!,consoling
hit:9123_conv:18247,situation,none,I stole a gift card from my friends house.  I feel so ashamed for doing such a thing.,guilty
hit:9123_conv:18247,utterance,speaker,I stole a gift card from my friends house.,guilty
hit:9123_conv:18247,utterance,listener,Yikes. Why did you take it may I ask?,questioning
hit:9123_conv:18247,utterance,speaker,I wanted to sell it.  I feel so ashamed for doing such a thing.,ashamed
hit:9123_conv:18247,utterance,listener,"Ah, well if you haven't sold it yet, there's still time to return it!",neutral
hit:1406_conv:2812,situation,none,"Borrowed my friend's car, and someone rammed her the door in the parking lot.",guilty
hit:1406_conv:2812,utterance,speaker,"Borrowed my friend's car, and someone rammed her the door in the parking lot.",guilty
hit:1406_conv:2812,utterance,listener,Oh no... yikes have you told your friend yet?,questioning
hit:1406_conv:2812,utterance,speaker,Oh yea. I'm paying her deductible for it.,agreeing
hit:1406_conv:2812,utterance,listener,well thats good of you! too bad it happened :/ but glad shes not upset,neutral
hit:7487_conv:14975,situation,none,I accidentally popped my little brother in the nose. It started bleeding and I felt terrible.,guilty
hit:7487_conv:14975,utterance,speaker,My brother and I were play fighting today and I accidentally hit him in the nose.,guilty
hit:7487_conv:14975,utterance,listener,Did he bust his nose?,questioning
hit:7487_conv:14975,utterance,speaker,Yep and it bled everywhere and he cried for like forever. I felt so bad about it.,ashamed
hit:7487_conv:14975,utterance,listener,"That's no good, sorry to hear that, you didn't mean too though!",sympathizing
