Dialog_ID,Type,Actor,Text,Label
hit:7387_conv:14774,situation,none,This summer heat is almost over!,hopeful
hit:7387_conv:14774,utterance,speaker,This summer heat is almost over!,hopeful
hit:7387_conv:14774,utterance,listener,yes i cant wait for it to be over!,excited
hit:7387_conv:14774,utterance,speaker,Fall and spring are my favorite seasons. Can't deal with these extreme weathers lol.,annoyed
hit:7387_conv:14774,utterance,listener,yea we have the AC on way too much in the summers,annoyed
hit:12243_conv:24487,situation,none,I am feeling this way while applying to graduate school. I really need to get in.,hopeful
hit:12243_conv:24487,utterance,speaker,I am really hoping I get accepted into the school counseling program for grad school.,hopeful
hit:12243_conv:24487,utterance,listener,Do you think you have a good shot?,questioning
hit:12243_conv:24487,utterance,speaker,I think so! I just have to be prepared for the interview.,confident
hit:12243_conv:24487,utterance,listener,Is the interview soon? Good luck.,wishing
hit:11422_conv:22844,situation,none,We are having lay offs at my job. I dont want to be let go but it happens,hopeful
hit:11422_conv:22844,utterance,speaker,My boss told us all today that there might be lay offs coming.,apprehensive
hit:11422_conv:22844,utterance,listener,"ohh, that's bad. But, you will be fine. Don't worry!",neutral
hit:11422_conv:22844,utterance,speaker,I dont know he said a lot of stuff and it has everyone on edge,acknowledging
hit:11422_conv:22844,utterance,listener,They just talk these things to scare us. Don't be scared. I am sure you will be fine! I will pray for you!,faithful
hit:2942_conv:5884,situation,none,"I'm not in the best financial situation right now. Hear me out, these ramen noodles will turn into filet mignon steaks one day!",hopeful
hit:2942_conv:5884,utterance,speaker,"I'm not in the best financial situation right now. Hear me out, these ramen noodles will turn into filet mignon steaks one day!",hopeful
hit:2942_conv:5884,utterance,listener,Hey. It happened to me. It could happen to you too!,agreeing
hit:2942_conv:5884,utterance,speaker,"Yeah, it's not so tasty but I'm very hopeful that hard work will pay off!",neutral
hit:2942_conv:5884,utterance,listener,Have you ever put butter in your noodles. It elevates them lol,acknowledging
hit:2942_conv:5884,utterance,speaker,"Butter? I need to try that, I'm just using cheese and chopped vegetables.",disgusted
hit:2942_conv:5884,utterance,listener,I've never used cheese. Learn something new every day.,faithful
hit:969_conv:1938,situation,none,I thought just maybe I would of got the promotion.,hopeful
hit:969_conv:1938,utterance,speaker,"I thought I may of got the promotion, but I didn't.",disappointed
hit:969_conv:1938,utterance,listener,Why did you think that?,questioning
hit:969_conv:1938,utterance,speaker,I was the most qualified for the job.,confident
hit:969_conv:1938,utterance,listener,What makes you qualified?,questioning
hit:7744_conv:15488,situation,none,I'm meeting a girl for a date at the zoo this afternoon.,hopeful
hit:7744_conv:15488,utterance,speaker,I'm meeting a girl for a date at the zoo this afternoon.,hopeful
