Dialog_ID,Type,Actor,Text,Label
hit:7678_conv:15356,situation,none,I watched a television program with people who were competing to be on Broadway. I couldn't believe how well they sang and danced!,impressed
hit:7678_conv:15356,utterance,speaker,I watched a competition show on television in which people were competing to be on Broadway. They were amazing! They could sing and dance so beautifully!,impressed
hit:7678_conv:15356,utterance,listener,You must have been so impressed. They must have been quite talented.,acknowledging
hit:7678_conv:15356,utterance,speaker,They were unbelievable. They were also so attractive - just really stunning.,impressed
hit:7678_conv:15356,utterance,listener,I wish I could dance like that! Too bad I am only good with computers!,jealous
hit:9840_conv:19680,situation,none,My nephew starts on the football team,proud
hit:9840_conv:19680,utterance,speaker,My nephew starts 10th grade this year,sentimental
hit:9840_conv:19680,utterance,listener,Ohhhh sophomore year can be tough. How do you feel about that?,questioning
hit:9840_conv:19680,utterance,speaker,Pretty proud of him!  He's starting the football team too!,proud
hit:9840_conv:19680,utterance,listener,"Wow. He's taking on quite a lot, but it'll be good for building his character as he gets older!",neutral
hit:9840_conv:19680,utterance,speaker,Yeah.  he's pretty good at football too!,agreeing
hit:12162_conv:24324,situation,none,I went to a magic show last weekend. The magician's tricks were really amazing. It takes a lot of talent to do that.,impressed
hit:12162_conv:24324,utterance,speaker,I went to a magic show last week. The magician was really talented.,impressed
hit:12162_conv:24324,utterance,listener,That's cool.  Was he better than Cris Angel,acknowledging
hit:12162_conv:24324,utterance,speaker,"Oh yeah, definitely. It takes a lot of skill to be able to perform like that.",agreeing
hit:12162_conv:24324,utterance,listener,What kind of tricks did he do,neutral
hit:3153_conv:6307,situation,none,My daughter spoke her first words yesterday. I was so proud.,impressed
hit:3153_conv:6307,utterance,speaker,My daughter said her first word yesterday. I was so proud!,impressed
hit:3153_conv:6307,utterance,listener,"Oh wow, I bet that made you smile",acknowledging
hit:3153_conv:6307,utterance,speaker,"It did! She said ""daddy"". Chills went down my spine.",impressed
hit:3153_conv:6307,utterance,listener,That is very awesome,acknowledging
hit:5833_conv:11666,situation,none,I couldnt believe my friend bought a Porsche.,impressed
hit:5833_conv:11666,utterance,speaker,I couldnt believe that my friend got himself a brand new Porsche last week.,impressed
hit:5833_conv:11666,utterance,listener,"That is so cool, how does that make you feel?",questioning
hit:5833_conv:11666,utterance,speaker,I am just impressed that he can afford something that expensive!,impressed
hit:5833_conv:11666,utterance,listener,"Yeah, those cars are really pricey.",agreeing
hit:1432_conv:2865,situation,none,I am impressed with my friend who rescues animls down south no matter what she is up against constantly.,impressed
hit:1432_conv:2865,utterance,speaker,I have a friend down south who rescues so many animals everywhere she goes without any help. She uses all her own money and the police and AC aren't even nice to her. She goes through so much adversity and sees so much abuse- yet she keeps going with a good attitude,caring
hit:1432_conv:2865,utterance,listener,She sounds like a wonderful person. People who try to help defenseless animals are really special.,acknowledging
