Dialog_ID,Type,Actor,Text,Label
hit:7940_conv:15881,situation,none,"That first morning after a break up, and i realized that my my now ex wasnt there was one of the most lonliest times.",lonely
hit:7940_conv:15881,utterance,speaker,i broke up with Tracie last night,sad
hit:7940_conv:15881,utterance,listener,"Ok ,why would you do that?",questioning
hit:7940_conv:15881,utterance,speaker,"something didnt feel right but man, waking up this morning i felt so alone",lonely
hit:7940_conv:15881,utterance,listener,Call her back then since you miss her like crazy,questioning
hit:7940_conv:15881,utterance,speaker,im thinking about it,acknowledging
hit:8806_conv:17612,situation,none,I felt like I didn't have many friends when I didn't get invited to someone's cookout.,lonely
hit:8806_conv:17612,utterance,speaker,I felt pretty sad when I when I didn't get invited to the person's event. Mostly because we knew a lot of the same people.,disappointed
hit:8806_conv:17612,utterance,listener,did you say something or show up anyway?,questioning
hit:8806_conv:17612,utterance,speaker,"Well I thought about saying something, but I feel like you can't force a friendship.",neutral
hit:8806_conv:17612,utterance,listener,i guess thats true,agreeing
hit:379_conv:759,situation,none,"I can recall when my mother passed away I was very alone, literally. At 20 years old and an only child, you still need your mother. My father wasn't in the picture after she passed either. So I was completely by myself with a 2 year old toddler.  Very sad time.",lonely
hit:379_conv:759,utterance,speaker,"When I was a young girl, and mother of a two year old, my own mom passed away. This was a very sad time for me as I'm an only child and my father wasn't around either.",lonely
hit:379_conv:759,utterance,listener,"Uhmmnnn,that could have been really emotional for you",acknowledging
hit:379_conv:759,utterance,speaker,Oh yea it was.  It still bothers me. Nobody should go through that by themselves.,neutral
hit:379_conv:759,utterance,listener,"I understand, I've been there too,hope your getting through?",agreeing
hit:9433_conv:18867,situation,none,"Once, I got stuck in a traffic jam. Even though I left early, I was 30 minutes late to an appointment",embarrassed
hit:9433_conv:18867,utterance,speaker,feeling happy,joyful
hit:9433_conv:18867,utterance,listener,About what/,apprehensive
hit:9433_conv:18867,utterance,speaker,my favort team won the foot ball macth,impressed
hit:9433_conv:18867,utterance,listener,I am not really a football fan but it is fun to be a part of something!,excited
hit:1401_conv:2802,situation,none,I am lonely when my bf is away at therapy but its for the best,lonely
hit:1401_conv:2802,utterance,speaker,My partner is away at therapy and getting help staying somewhere else so it's hard but its' for the best,lonely
hit:1401_conv:2802,utterance,listener,It must be hard being apart. Just know he will return a better person most likely.,hopeful
hit:1401_conv:2802,utterance,speaker,It is very hard. I live alone now so it makes it hard especially at night. I keep hoping so! As he has so many deep rooted issues.,afraid
hit:1401_conv:2802,utterance,listener,He will need your support when he gets back. Just stay strong and know its for the best.,faithful
hit:11506_conv:23012,situation,none,I used to live alone in my twenties and I hated it. there was no one to come home to.,lonely
hit:11506_conv:23012,utterance,speaker,I lived by myself during my twenties but didn't like it at all. The house was always empty.,lonely
hit:11506_conv:23012,utterance,listener,"My friend and I were out at the bars one night, doing the usual young people thing. They had been acting off a little all night, and when I asked if they were okay, they told me everything was fine. I knew this wasn't true since I had known this person for years, but the night came to a close and we got a cab home.",trusting
hit:11506_conv:23012,utterance,speaker,"Well, I'm glad it worked out well in the end. I on the other hand didn't have friends waiting for me home and felt kind of empty.",lonely
hit:11506_conv:23012,utterance,listener,I'm sorry you felt that way. Is it any better now?,sympathizing
hit:9266_conv:18533,situation,none,I never thought I would say this but its a little too quiet since my kids went back to school,lonely
hit:9266_conv:18533,utterance,speaker,its too quiet now the kids are back in school,lonely
hit:9266_conv:18533,utterance,listener,yeah may be kids changed nowadays!!,acknowledging
hit:9266_conv:18533,utterance,speaker,I get kind of bored,lonely
hit:9266_conv:18533,utterance,listener,then you should instigate something in school!!,suggesting
hit:4392_conv:8785,situation,none,I'm going to China to a meeting for work. I've never been without my coworkers for these kinds of things.,lonely
hit:4392_conv:8785,utterance,speaker,I'm going to China to a meeting for work. I've never been without my coworkers for these kinds of things.,lonely
hit:4392_conv:8785,utterance,listener,That sounds exciting! When are you going?,questioning
hit:4392_conv:8785,utterance,speaker,In 2 weeks. I'm excited to see China but gotta focus on work.,anxious
hit:4392_conv:8785,utterance,listener,"It's good to focus, but surely you can take a few hours to take in the culture.  China has a long and interesting history.",neutral
hit:3238_conv:6476,situation,none,It can be hard to wake up sometimes when you live alone. It's like..Oh...yeah. You know?,lonely
hit:3238_conv:6476,utterance,speaker,It can be hard to wake up sometimes when you live alone.,lonely
hit:3238_conv:6476,utterance,listener,I can imagine that. I've never lived alone before.,lonely
hit:3238_conv:6476,utterance,speaker,"Wow really? I have before and now I am again. It's hard! You wake up and think..what is going on, where am I..Oh yeah!",surprised
hit:3238_conv:6476,utterance,listener,When did you start living by yourself?,questioning
hit:3238_conv:6476,utterance,speaker,The past 2 weeks. It's a change. better then abuse though,neutral
