Dialog_ID,Type,Actor,Text,Label
hit:115_conv:231,situation,none,I was going through old photos of my family and when I was younger.,nostalgic
hit:115_conv:231,utterance,speaker,Last time I was at my parent's house I went through some old photo albums and started reminiscing.,sentimental
hit:115_conv:231,utterance,listener,What did you think about?,questioning
hit:115_conv:231,utterance,speaker,I just thought about how easy and carefree life was when I was a child. I was never alone and always had something to do.,nostalgic
hit:115_conv:231,utterance,listener,glad to hear you had such a carefree childhood. do you have siblings?,questioning
hit:115_conv:231,utterance,speaker,I have younger brothers that are 7 years younger than I am so I was an only child for awhile.,lonely
hit:11037_conv:22075,situation,none,My best friend from highschool and I pulled out our old year books the other day.  We had so much fun telling stories about all of the stupid things we did back then.,nostalgic
hit:11037_conv:22075,utterance,speaker,My best friend from high school and I pulled out our old year books the other day.,nostalgic
hit:11037_conv:22075,utterance,listener,Thats awesome! I was actually looking for mine the other day.  Were you looking up anyone in particular or just for fun?,questioning
hit:11037_conv:22075,utterance,speaker,Just for fun.  We had a blast telling stories about our high school days.,nostalgic
hit:11037_conv:22075,utterance,listener,I still see my high school buddies on a somewhat regular basis but it is a great time telling those stories over and over.,nostalgic
hit:7190_conv:14381,situation,none,I saw these kids walking aruond in their football uniforms and it reminded me of my high school days.,nostalgic
hit:7190_conv:14381,utterance,speaker,I saw a couple of kids walking around in their high school football uniforms after practice the other day.,surprised
hit:7190_conv:14381,utterance,listener,oh really?,questioning
hit:7190_conv:14381,utterance,speaker,Yeah it really took me back to when I was doing the same thing.,acknowledging
hit:7190_conv:14381,utterance,listener,yea nostalgia is a real kicker,nostalgic
hit:8620_conv:17240,situation,none,I remember when I first found my cat... she was so tiny,joyful
hit:8620_conv:17240,utterance,speaker,I remember when I first found my cat... she was so tiny,joyful
hit:8620_conv:17240,utterance,listener,Did you nurse her back to health and get some weight on her?,questioning
hit:8620_conv:17240,utterance,speaker,"Yes, she was probably just 3 to 4 weeks old",agreeing
hit:8620_conv:17240,utterance,listener,I bet she was so tiny!  I'm glad you found her and were able to take care of her.,acknowledging
hit:1376_conv:2752,situation,none,"I get nostalgic thinking about Pokemon when I was younger, I had so much fun with that gamer",nostalgic
hit:1376_conv:2752,utterance,speaker,"I get nostalgic thinking about Pokemon when I was younger, I had so much fun with that game",nostalgic
hit:1376_conv:2752,utterance,listener,"that is pretty normal, so do i",acknowledging
hit:1376_conv:2752,utterance,speaker,"It was so fun, I wish I could go back to those days",nostalgic
hit:1376_conv:2752,utterance,listener,"those days will not ever come again, we have to live with it",sad
hit:6112_conv:12225,situation,none,I have a senior and a sophomore this year.  Seeing all the little girls taking their first ballet class this week was a bit hard.  The years go by so very fast.,nostalgic
hit:6112_conv:12225,utterance,speaker,I have a senior and a sophmore in high school this year.,nostalgic
hit:6112_conv:12225,utterance,listener,Are they doing well in school?,questioning
hit:6112_conv:12225,utterance,speaker,"They are both amazing students, but after seeing some new little girls going to their first ballet class this week, well the years just go by so fast.",impressed
hit:6112_conv:12225,utterance,listener,"They do, just make sure to cherish it",neutral
hit:9253_conv:18507,situation,none,I really like the new SNES Classic system. It reminds me of when I used to play the classic video games as a kid.,nostalgic
hit:9253_conv:18507,utterance,speaker,I love the new SNES Classic system. It reminds me of when I first played SNES as a kid.,nostalgic
hit:9253_conv:18507,utterance,listener,How fun! I remember the good old days with those games you didn't need a monthly subscription to,nostalgic
hit:9253_conv:18507,utterance,speaker,"Yes, a lot of newer games you need to buy a lot of extra things don't you? I prefer to good old day.",nostalgic
hit:9253_conv:18507,utterance,listener,"Yeah they're all pay to play, I think you should be able to play the whole game the first time you buy it...",suggesting
hit:5569_conv:11138,situation,none,"I was looking through my old snapchats at videos of my son.  It's fun, but at the same time it is tough to watch.",nostalgic
hit:5569_conv:11138,utterance,speaker,I like the feature on snapchat that shows you videos you took a year or two ago.,nostalgic
hit:5569_conv:11138,utterance,listener,"Yeah, that feature is pretty nifty. Makes it so you don't have to keep hardcopy photo albums anymore!",acknowledging
hit:5569_conv:11138,utterance,speaker,Oh for sure.  Sometimes it gets me though when it shows me videos of my son when he was just a baby.  Really gives me the feels.,sentimental
hit:5569_conv:11138,utterance,listener,I feel you man. Seeing pictures of my baby son tears me right up.,sentimental
hit:4703_conv:9406,situation,none,I used to love playing pokemon with my friends what a great game that was as a kid,nostalgic
hit:4703_conv:9406,utterance,speaker,I used to love playing pokemon with my friends what a great game that was as a kid,nostalgic
hit:4703_conv:9406,utterance,listener,Yes it was! I loved collecting the cards. They have pokemon go now,nostalgic
hit:4703_conv:9406,utterance,speaker,"I have played that, I love it, I cannot wait for the new pokemon game for the switch",anticipating
hit:4703_conv:9406,utterance,listener,I liked it too it was fun to get out and get walking.,acknowledging
hit:7066_conv:14133,situation,none,I recently watched a full series of an old cartoon I use to watch as a kid. I felt like I was 10 years old again.,nostalgic
hit:7066_conv:14133,utterance,speaker,I watched the first season of one of my favorite childhood shows in only two days just recently.,nostalgic
hit:7066_conv:14133,utterance,listener,"oh well, whats the show. i know for sure you would have enjoyed it again",agreeing
hit:7066_conv:14133,utterance,speaker,Dragonball season 1. It made me feel like I was 10 years old again! I can remember being really young and getting excited every time it came on.,nostalgic
hit:7066_conv:14133,utterance,listener,nostalgic isnt it?,questioning
hit:7638_conv:15277,situation,none,I remember when money used to be worth something.  Those times are missed.,nostalgic
hit:7638_conv:15277,utterance,speaker,I remember when money used to be worth something.,nostalgic
hit:7638_conv:15277,utterance,listener,That is true,agreeing
hit:7638_conv:15277,utterance,speaker,Those times are certainly missed.,agreeing
hit:7638_conv:15277,utterance,listener,I missed those days too,nostalgic
hit:10522_conv:21044,situation,none,I get so bent out of shape sometimes going through old family photo albums. So many people that used to be alive and so many memories that I spent with them. I wish I could go back.,nostalgic
hit:10522_conv:21044,utterance,speaker,I've been flipping through some old photo albums and it chokes me up thinking about simpler times.,sentimental
hit:10522_conv:21044,utterance,listener,"I understand that, going through those albums can really make you think about how peaceful things used to be.",agreeing
hit:10522_conv:21044,utterance,speaker,"Yeah, I pay so much attention to these photos, and they evoke all these memories. It brings me down but I guess I just have to keep paying as much attention as possible to those good times.",sentimental
hit:10522_conv:21044,utterance,listener,"That's the real trick to it, you have to try to move passed all the bad stuff and remember all the good times.",neutral
hit:10522_conv:21044,utterance,speaker,"That's true. It takes so much time waiting around for those times to come back, but they won't but they do live on.",neutral
hit:460_conv:920,situation,none,I anticipate a summer holiday in Dubai.that last experience was cool,nostalgic
hit:460_conv:920,utterance,speaker,Can't wait for summer time to come,anticipating
hit:460_conv:920,utterance,listener,It's summer now for me.,joyful
hit:460_conv:920,utterance,speaker,"Well  that's cool,talking from the past ...Lol!",acknowledging
hit:460_conv:920,utterance,listener,"Oh, I see. I felt that way when I was waiting for school to end.",acknowledging
hit:5422_conv:10845,situation,none,"I heard that song ""Somewhere Out There"" and it took me back to my childhood watching ""Fivel Goes West"" with my mom and dad.",nostalgic
hit:5422_conv:10845,utterance,speaker,"I remembered myself as a kid watching ""Fivel Goes West"" with my mom and dad when I heard the song ""Somewhere Out There"" on TV today.",nostalgic
hit:5422_conv:10845,utterance,listener,i have never seen it,neutral
hit:5422_conv:10845,utterance,speaker,Too bad.  It's a great movie,disappointed
hit:5422_conv:10845,utterance,listener,i will check it out then!,encouraging
hit:3263_conv:6526,situation,none,"I haven't played my flute in years. Picked it up the other day, and I was still able to play my favorite songs.",nostalgic
hit:3263_conv:6526,utterance,speaker,"I haven't played my flute in years. Picked it up the other day, and I was still able to play my favorite songs.",nostalgic
hit:3263_conv:6526,utterance,listener,That is cool.  When did you learn?,questioning
hit:3263_conv:6526,utterance,speaker,When I was around 8 years old.,nostalgic
hit:3263_conv:6526,utterance,listener,That is awesome,acknowledging
hit:1371_conv:2743,situation,none,My childhood holiday to disneyworld,nostalgic
hit:1371_conv:2743,utterance,speaker,I had a wonderful holiday to Disney World when I was about 12.,joyful
hit:1371_conv:2743,utterance,listener,"that is a perfect time to go, that is when I went as well",agreeing
hit:1371_conv:2743,utterance,speaker,Yeah - it felt really magical.,acknowledging
hit:1371_conv:2743,utterance,listener,"It sure did, it was the best vacation I have ever been on",impressed
hit:11308_conv:22616,situation,none,i lost my sisters dog,guilty
hit:11308_conv:22616,utterance,speaker,i lost my sisters dog,guilty
hit:11308_conv:22616,utterance,listener,Oh no. I hope that's not the end of the story. Did you find it?,consoling
hit:11308_conv:22616,utterance,speaker,"no, looked everywhere",neutral
hit:11308_conv:22616,utterance,listener,"That's sad, hopefully it finds its way home.",consoling
hit:11308_conv:22616,utterance,speaker,"yes, hopefully he can find his way back home",consoling
hit:3550_conv:7100,situation,none,"I used to love pokemon, thinking back on it puts me in my feelings",nostalgic
hit:3550_conv:7100,utterance,speaker,"I used to love pokemon, thinking back on it puts me in my feelings",nostalgic
hit:3550_conv:7100,utterance,listener,Yeah kids have moved on to YuGiYoh and other silly games.,agreeing
