Dialog_ID,Type,Actor,Text,Label
hit:4812_conv:9624,situation,none,I'm very happy about my daughters' talents. They are both musicians.,proud
hit:4812_conv:9624,utterance,speaker,My two daughters are both musicians.,proud
hit:4812_conv:9624,utterance,listener,Congrats.You must be very proud of her.,acknowledging
hit:4812_conv:9624,utterance,speaker,I am very proud of both of them. One is a violinist and the other a pianist.,impressed
hit:4812_conv:9624,utterance,listener,The talent on your family is abundant.,impressed
hit:12380_conv:24761,situation,none,My brother finally got into law school! I am so happy for him.,proud
hit:12380_conv:24761,utterance,speaker,My brother finally got into law school!,proud
hit:12380_conv:24761,utterance,listener,That's awesome. You must be so proud of him.,acknowledging
hit:12380_conv:24761,utterance,speaker,"Yes, very much so! He worked very hard for it.",agreeing
hit:12380_conv:24761,utterance,listener,The LSAT is no joke. He must have studied very hard.,impressed
hit:3704_conv:7409,situation,none,I am proud of my son. He is graduating from college this weekend!,proud
hit:3704_conv:7409,utterance,speaker,I am going to watch my kid get the degree soon!,proud
hit:3704_conv:7409,utterance,listener,Wow that's so exciting! What did they study?,questioning
hit:3704_conv:7409,utterance,speaker,He was studying the science degree. I am not sure what type.,proud
hit:3704_conv:7409,utterance,listener,That is great. What's the next step- work?,questioning
hit:10425_conv:20850,situation,none,"I was in a class when my name was mentioned for an award,i came out feeling high",proud
hit:10425_conv:20850,utterance,speaker,Everyone applauded me,proud
hit:10425_conv:20850,utterance,listener,That must feel amazing! What did you do to deserve the recognition?,questioning
hit:10425_conv:20850,utterance,speaker,I cleard my papers,devastated
hit:10425_conv:20850,utterance,listener,Was this at the office? Or perhaps at school?,suggesting
hit:2071_conv:4142,situation,none,"I felt so accomplished when I started my own business, it's still in the beginning phase but it's an awesome feeling.",proud
hit:2071_conv:4142,utterance,speaker,I felt so accomplished when I started my own business. It's still in the beginning phase but it's an awesome feeling.,proud
hit:2071_conv:4142,utterance,listener,Great! what kind of business?,questioning
hit:2071_conv:4142,utterance,speaker,It's an online service business with mine and my wife's original music therapy songs.,proud
hit:2071_conv:4142,utterance,listener,Music therapy sounds very interesting.,acknowledging
hit:7586_conv:15172,situation,none,I was proud about a pizza I made last week,proud
hit:7586_conv:15172,utterance,speaker,I made an amazing pizza the other day,proud
hit:7586_conv:15172,utterance,listener,I do not like pizza.,disgusted
hit:7586_conv:15172,utterance,speaker,No? why not?,questioning
hit:7586_conv:15172,utterance,listener,I just do not like the sauce and too much bread.,disgusted
hit:7203_conv:14407,situation,none,My son got into a fight with a bully.  I am so happy. that he won.,proud
hit:7203_conv:14407,utterance,speaker,My son got into a fight with a bully.,disappointed
hit:7203_conv:14407,utterance,listener,That does not sounds good! Are you proud of him for standing up?,questioning
hit:7203_conv:14407,utterance,speaker,I am so happy he won!,proud
hit:7203_conv:14407,utterance,listener,I am glad for him. Bullies should not be allowed to behave badly towards others.,proud
hit:8664_conv:17328,situation,none,My son said his first word today. I was filled with pride.,proud
hit:8664_conv:17328,utterance,speaker,My son said his first word today!,proud
hit:8664_conv:17328,utterance,listener,That is so exciting! What did he say?,questioning
hit:8664_conv:17328,utterance,speaker,"He said ""hernia""! I was so stoked!",excited
hit:8664_conv:17328,utterance,listener,That is so cute! Be sure and jot that down in the baby book!,acknowledging
hit:7379_conv:14758,situation,none,My brother got a job promotion. I am happy for him,proud
hit:7379_conv:14758,utterance,speaker,My brother got a job promotion. I am happy for him,proud
hit:7379_conv:14758,utterance,listener,Great! What kind of job and how good of a promotion?,questioning
hit:7379_conv:14758,utterance,speaker,It was pay raise and title change,excited
hit:7379_conv:14758,utterance,listener,Oh great! Hopefully a nice chunk of change :),encouraging
hit:11172_conv:22345,situation,none,My son is in the National Guard. He has made it all the way to Sargent.,proud
hit:11172_conv:22345,utterance,speaker,My son is amazing! He's been in the National Guard for 9 years and is a Sargent now.,proud
hit:11172_conv:22345,utterance,listener,Wow!! That is amazing! Good for him. You must be really proud and you have every right to be! :),acknowledging
hit:11172_conv:22345,utterance,speaker,"Yes, I am. He is an awesome son.",proud
hit:11172_conv:22345,utterance,listener,I bet he is! :),acknowledging
hit:12401_conv:24802,situation,none,My 5 year old son is already reading! He picked up on it so fast!,proud
hit:12401_conv:24802,utterance,speaker,My 5 year old son is already reading! He picked up on it so fast!,proud
hit:12401_conv:24802,utterance,listener,"That is awesome, I was an early reader as well! That is a great accomplishment!!",acknowledging
hit:12401_conv:24802,utterance,speaker,My daughter was also but I didn't want to put any pressure on him since all kids are so different and it didn't matter.  But he astounded me and loves reading and writing.,impressed
hit:12401_conv:24802,utterance,listener,I hope they both keep the love for reading and writing!,encouraging
hit:296_conv:592,situation,none,Our family is getting together for our family reunion next weekend. Im' glad that we are all still coming together since we didn't have one last year.,joyful
hit:296_conv:592,utterance,speaker,We are having our family reunion this weekend. It should be a lot of fun,joyful
hit:296_conv:592,utterance,listener,I love family reunions.,nostalgic
hit:296_conv:592,utterance,speaker,I'm gald we are doing it because we didn't have one last year. I proud that we can overcome our difference and hang out.,proud
hit:296_conv:592,utterance,listener,Thats great. Where did you meet?,questioning
hit:296_conv:592,utterance,speaker,My dad's side of my family.,sentimental
hit:296_conv:592,utterance,listener,That's great. Where did you meet?,questioning
hit:6222_conv:12444,situation,none,I was happy to see that my son got perfect attendance for the entire school year,proud
hit:6222_conv:12444,utterance,speaker,I was happy to see that my son got perfect attendance for the entire school year,proud
hit:6222_conv:12444,utterance,listener,That is amazing!! I bet you are so proud!,acknowledging
hit:6222_conv:12444,utterance,speaker,yes he didnt make a fuss a single day,neutral
hit:6222_conv:12444,utterance,listener,"That sounds like a really great kid, your doing a fantastic job!!",acknowledging
hit:7580_conv:15161,situation,none,I made an amazing pizza the other day,proud
hit:7580_conv:15161,utterance,speaker,I made an amazing pizza the other day,proud
hit:7580_conv:15161,utterance,listener,What kind of pizza?,questioning
hit:7580_conv:15161,utterance,speaker,It was a detroit style with 3 cheeses and tomato and garlic sauce. Mmmm,disgusted
hit:7580_conv:15161,utterance,listener,I prefer Chicago Deep Dish Pizza.,faithful
hit:7580_conv:15161,utterance,speaker,I've never tried to make that - but it looks nice.,acknowledging
hit:6445_conv:12890,situation,none,My sister just got a new job after working for it so hard. I am happy for her.,proud
hit:6445_conv:12890,utterance,speaker,So my sister just told me she got a new job she has been working hard for.,impressed
hit:6445_conv:12890,utterance,listener,What good news! You must be very proud of her.,acknowledging
hit:6445_conv:12890,utterance,speaker,"Yes, I really am. I think she deserves it!",confident
hit:6445_conv:12890,utterance,listener,That's great that you can celebrate her success so wholeheartedly! You are a good sibling.,acknowledging
hit:4485_conv:8971,situation,none,Nephew starts football this year,proud
hit:4485_conv:8971,utterance,speaker,My nephew starts football this year in 9th grade,proud
hit:4485_conv:8971,utterance,listener,IS he any good,afraid
hit:4485_conv:8971,utterance,speaker,Yeah he was pretty good last year.  Biggest kid on the team so they made him a center.  Interested to see how he does this year.  I bet he does great!,hopeful
hit:4485_conv:8971,utterance,listener,My son is too small now. We tried the community league last year,apprehensive
hit:4485_conv:8971,utterance,speaker,Oh cool!  How did he do??,questioning
hit:3305_conv:6610,situation,none,My son said his first words the other day.,proud
hit:3305_conv:6610,utterance,speaker,My son said his first words the other day/,proud
hit:3305_conv:6610,utterance,listener,"Really? That's amazing, what words?",questioning
hit:3305_conv:6610,utterance,speaker,He said truck.,surprised
hit:3305_conv:6610,utterance,listener,"That's really exciting, I'm happy for you.",acknowledging
hit:4582_conv:9165,situation,none,I feel proud of myself when I reach a new milestone.,proud
hit:4582_conv:9165,utterance,speaker,I feel proud of myself when I reach a new milestone,proud
hit:4582_conv:9165,utterance,listener,thats great you should feel proud,acknowledging
hit:4582_conv:9165,utterance,speaker,I set a target of getting my first victory royale on fortnite and achieved it. Now I have 18.,proud
hit:4582_conv:9165,utterance,listener,thats pretty sweet,acknowledging
hit:3587_conv:7175,situation,none,I finally got my CCNA certificatoin.,proud
hit:3587_conv:7175,utterance,speaker,I finally got my CCNA certification.,proud
hit:3587_conv:7175,utterance,listener,oh that sounds good,acknowledging
hit:3587_conv:7175,utterance,speaker,I hope to put it to use soon.,encouraging
hit:3587_conv:7175,utterance,listener,ya you should and you be proud of your achievement,agreeing
hit:992_conv:1984,situation,none,My son finally passed his swim class.,proud
hit:992_conv:1984,utterance,speaker,"After having to retake the class twice, my son finally passed his swimming test and can move on to the next level!",proud
hit:992_conv:1984,utterance,listener,"Thats awesome! Im glad you persisted because that is so important these days, not being able to swim is a real danger!",acknowledging
hit:992_conv:1984,utterance,speaker,It is and he had some struggles at first but I'm glad he stuck to it as well! He could have easily given up and put up a fight about continuing to attend class!,neutral
hit:992_conv:1984,utterance,listener,"Yes, sounds like your doing a great job with the little guy!",acknowledging
hit:2623_conv:5247,situation,none,I managed to get a new job after months of hard searching.,proud
hit:2623_conv:5247,utterance,speaker,I feel very good about myself now.,proud
hit:2623_conv:5247,utterance,listener,I'm happy to hear that,joyful
hit:2623_conv:5247,utterance,speaker,"Thanks. I think it was a long time coming, so I am happy with the outcome.",content
hit:2623_conv:5247,utterance,listener,You must've worked hard to get there,acknowledging
hit:5038_conv:10076,situation,none,"I was really happy when my wife decided to quit her job.  It was a bad job for her credentials, and I thought it was really cool of her to start her own practice.",proud
hit:5038_conv:10076,utterance,speaker,"My wife took a real plunge the other day, she quit her job and decided to start a practice of her own!",impressed
hit:5038_conv:10076,utterance,listener,What kind of practice is it? That takes a lot of guts!,neutral
hit:5038_conv:10076,utterance,speaker,"It's a counseling practice, but yeah she quit her job to do it so I thought it was really cool she had the balls to do it!",neutral
