Dialog_ID,Type,Actor,Text,Label
hit:7884_conv:15769,situation,none,I always get sentimental when I look at old familly photographs.,sentimental
hit:7884_conv:15769,utterance,speaker,Everytime I look at old family photos I get really sentimental.,sentimental
hit:7884_conv:15769,utterance,listener,It's always nice to look back on old memories,sentimental
hit:7884_conv:15769,utterance,speaker,Yes it reminds me of a simpler time with no responsibilites.,nostalgic
hit:7884_conv:15769,utterance,listener,Childhood was a lot easier,nostalgic
hit:7884_conv:15769,utterance,speaker,"Yes It was, I wouldn't mind starting over from it.",neutral
hit:8754_conv:17509,situation,none,"I get emotional about my brothers, they are very important to me",sentimental
hit:8754_conv:17509,utterance,speaker,"I get emotional about my brothers, they are very important to me",sentimental
hit:8754_conv:17509,utterance,listener,"I understand, I have a brother as well. Do they live with you?",questioning
hit:8754_conv:17509,utterance,speaker,"Yes, they both live in the same house as me",agreeing
hit:8754_conv:17509,utterance,listener,"Oh okay thats good! Mine went across the country to college last year, so I get emotional about that.",sentimental
hit:10264_conv:20528,situation,none,Lately I was sharing memories with my wife from before we got married and it was heartwarming.,sentimental
hit:10264_conv:20528,utterance,speaker,Lately I was sharing memories with my wife from before we got married and it was heartwarming.,sentimental
hit:10264_conv:20528,utterance,listener,"Awwe that is so sweet, how did you two meet?",questioning
hit:10264_conv:20528,utterance,speaker,We met online actually! And we were across the ocean from each other. That was a journey.,neutral
hit:10264_conv:20528,utterance,listener,Wow that sounds like a really big journey. It must have been really hard to connect with one another only through online chats.,acknowledging
hit:8590_conv:17180,situation,none,I always look back at the days fb memories. They are so cool,sentimental
hit:8590_conv:17180,utterance,speaker,I look at my facebook memories every day,nostalgic
hit:8590_conv:17180,utterance,listener,How come? What year did you join?,questioning
hit:8590_conv:17180,utterance,speaker,I dont even remember when I joined. The memories are so cute though. I can see my kids gtoeing up all over again,nostalgic
hit:8590_conv:17180,utterance,listener,"Oh that's nice, yeah it's a good feature of Facebook",acknowledging
hit:8590_conv:17180,utterance,speaker,Its my favorite,joyful
hit:6736_conv:13472,situation,none,"My grandma passed away earlier this year. We used to always get together as a family and play cards on sundays. This sunday is the first time we're doing it again without her. It will feel weird, but nice to be with family again.",sentimental
hit:6736_conv:13472,utterance,speaker,"My grandma passed away earlier this year. We used to always get together as a family and play cards on sundays. This sunday is the first time we're doing it again without her. It will feel weird, but nice to be with family again",sentimental
hit:6736_conv:13472,utterance,listener,"Aww, that's so sad. I'm sure she would have wanted ya'll to keep having fun times together.",acknowledging
hit:6736_conv:13472,utterance,speaker,"Yeah, you're right. And we figured the same. We just didn't do it for a little while because it felt weird at first, and then it was easier to not be doing it once we got out of the habit. Glad we didn't let it go too long though.",neutral
hit:6736_conv:13472,utterance,listener,"Yes, it's good to keep bonding. I understand not being able to do it at first, though",agreeing
hit:9074_conv:18148,situation,none,i held on to my first Nintendo even though it doesnt work anymore. I just like how it reminds me of my childhood.,sentimental
hit:9074_conv:18148,utterance,speaker,I have held on to my old Nintendo even though it broke many years ago. Its a great reminder of the first video game system I owned.,sentimental
hit:9074_conv:18148,utterance,listener,Thats awesome. i wish i still had mine.  I sold it a couple years ago,acknowledging
hit:9074_conv:18148,utterance,speaker,Its really cool to have around. I just wish it still worked.,acknowledging
hit:9074_conv:18148,utterance,listener,I wonder if there are any repair shops that could fix it,hopeful
hit:10811_conv:21622,situation,none,I am feeling wistful about my oldest son starting his senior year in college. I can't believe his childhood is over.,sentimental
hit:10811_conv:21622,utterance,speaker,My son is starting his senior year.  I am finding myself feeling so emotional about it.,sentimental
hit:10811_conv:21622,utterance,listener,"You must be having bitter ,sweet emotion.I remember my mom was also emotional when i left boarding school for the first time.",sentimental
hit:10811_conv:21622,utterance,speaker,"Yes, I have this feeling of excitement for his new adventure, but also worry. And I'm just going to miss him so much, he's a wonderful kid.",apprehensive
hit:10811_conv:21622,utterance,listener,But you can make arrangements such that you see him every weekend.,neutral
hit:10811_conv:21622,utterance,speaker,I don't know that he'll appreciate that! Mostly I think I'll look at his childhood pictures for a while and have a good cry.,sentimental
hit:5118_conv:10236,situation,none,My brother recently sent me a scrapbook of a childhood pics and it made me happy.,sentimental
hit:5118_conv:10236,utterance,speaker,I recently got a scrapbook from my brother of all of our old pics together. Brought back some good memories.,sentimental
hit:5118_conv:10236,utterance,listener,oh thats good.. did you get to keep some pictures?,questioning
