Dialog_ID,Type,Actor,Text,Label
hit:7423_conv:14846,situation,none,i really like the feeling of the unknown on christmas morning,apprehensive
hit:7423_conv:14846,utterance,speaker,i really like the feeling of the unknown on christmas morning,apprehensive
hit:7423_conv:14846,utterance,listener,"Oh yeah, that was a great feeling to have, especially as a child.",acknowledging
hit:7423_conv:14846,utterance,speaker,i know right. my husband and i don't exchange gifts so it's mostly the childhood nostalgia memories,agreeing
hit:7423_conv:14846,utterance,listener,It's the same with me and my finacee. We'll just go somewhere nice for dinner or something. That childhood magic was the best.,nostalgic
hit:7423_conv:14846,utterance,speaker,agreed. we don't wait for special occasions for gifts or celebrations.we just live our lives for today.,agreeing
hit:2339_conv:4678,situation,none,Just came home to so much cake!,surprised
hit:2339_conv:4678,utterance,speaker,Just came home to so much cake!,surprised
hit:2339_conv:4678,utterance,listener,How did that happen?,questioning
hit:2339_conv:4678,utterance,speaker,"Well, I was complaining about wanting cake, and I guess everyone made me one!",joyful
hit:2339_conv:4678,utterance,listener,"That is very sweet of them, do not take them for granted!",acknowledging
hit:2252_conv:4505,situation,none,I was shocked when I wsa told my boss was let go,surprised
hit:2252_conv:4505,utterance,speaker,I was shocked when I wsa told my boss was let go,surprised
hit:2252_conv:4505,utterance,listener,What happened?,questioning
hit:2252_conv:4505,utterance,speaker,The wouldn't tell us but I thought it was terrible,neutral
hit:2252_conv:4505,utterance,listener,I hope it was a mistake?,consoling
hit:4123_conv:8247,situation,none,I was a bit shocked that someone was so nice this morning after being so rotten yesterday. I can't deal with people with such huge mood swings.,surprised
hit:4123_conv:8247,utterance,speaker,I was a bit shocked that someone was so nice this morning after being so rotten yesterday.,surprised
hit:4123_conv:8247,utterance,listener,Oh yeah? It's always a bit suspicious when someone just changes their attitude like that.,questioning
hit:4123_conv:8247,utterance,speaker,yes especially after they did a lot to you and haven't even said sorry.  I can't deal with people with such huge mood swings.,agreeing
hit:4123_conv:8247,utterance,listener,"They didn't even apologize? Wow, that's rude. Well, hopefully their friendlier mood will last a while.",consoling
hit:4123_conv:8247,utterance,speaker,I'm off that train so they aren't coming back on board until they get better.,hopeful
hit:5613_conv:11227,situation,none,"I practiced for months doing a handstand never thinking I would be able to do it. Then one day, I was able to do it.",surprised
hit:5613_conv:11227,utterance,speaker,I was finally able to do a handstand.,proud
hit:5613_conv:11227,utterance,listener,Nice. How long did that take you to learn?,questioning
hit:5613_conv:11227,utterance,speaker,Months so I was great that I was finally able to do it.,proud
hit:5613_conv:11227,utterance,listener,That's really great. You should go join the circus.,acknowledging
hit:5613_conv:11227,utterance,speaker,Great because it took a long time to learn.,neutral
hit:5716_conv:11432,situation,none,Is he a shee?,questioning
hit:5716_conv:11432,utterance,speaker,Is that guy a girl?,questioning
hit:5716_conv:11432,utterance,listener,What guy?,questioning
hit:5716_conv:11432,utterance,speaker,It was a guy I saw online. I thought it might not be one.,surprised
hit:5716_conv:11432,utterance,listener,how am i supposed to know?,questioning
hit:1493_conv:2987,situation,none,I walked in on my parents making a baby.,surprised
hit:1493_conv:2987,utterance,speaker,I walked in on my parents making a baby.,surprised
hit:1493_conv:2987,utterance,listener,Well that isn't really pleasant i bet.,acknowledging
hit:1493_conv:2987,utterance,speaker,It was a terrible day for me.,devastated
hit:1493_conv:2987,utterance,listener,Well hope you didn't have flashbacks of it too often.,consoling
hit:1493_conv:2987,utterance,speaker,"Every day, i see it in my head.",agreeing
hit:6564_conv:13128,situation,none,My friend randomly brought me a cake to thank me for watching her dogs while she was away. It was very unexpected!,surprised
hit:6564_conv:13128,utterance,speaker,My friend randomly brought me a cake to thank me for watching her dogs while she was away,surprised
hit:6564_conv:13128,utterance,listener,yeah that was good to helping others. it was a go9d manner i loved it.,neutral
hit:6564_conv:13128,utterance,speaker,"It was quite unexpected, but I appreciated it!",surprised
hit:6564_conv:13128,utterance,listener,yeah it was quite appriciated,neutral
hit:1038_conv:2076,situation,none,I can't believe Matt Ryan got 30 million a year.,surprised
hit:1038_conv:2076,utterance,speaker,I can't believe Matt Ryan got 30 million.,surprised
hit:1038_conv:2076,utterance,listener,That's a large amount of money!,acknowledging
hit:1038_conv:2076,utterance,speaker,Yes highest paid in the league.,impressed
hit:1038_conv:2076,utterance,listener,"He is a Superbowl caliber QB, so I guess he deserves it.",impressed
hit:8573_conv:17146,situation,none,I cant believe its my last year of college. I am so ready,surprised
hit:8573_conv:17146,utterance,speaker,Seinor year. I am graduating a 35 year old single mom,sad
hit:8573_conv:17146,utterance,listener,Congratulations on that. You truly did it. Age is just a number. I hope you have your whole life ahead of you yet,wishing
hit:8573_conv:17146,utterance,speaker,I am so excited. Its been rough.,excited
hit:8573_conv:17146,utterance,listener,"it is almost over. Senior year is the final one and it will pass quickly. Been there, done that",anticipating
hit:8573_conv:17146,utterance,speaker,I hope its not as hard as before.,consoling
hit:10901_conv:21802,situation,none,I went to the restroom and when I went to wash my hands there was a frog on the sink handle. I almost touched it.,surprised
hit:10901_conv:21802,utterance,speaker,went to the bathroom and saw something you don't see everyday.,surprised
hit:10901_conv:21802,utterance,listener,What did you see?,questioning
hit:10901_conv:21802,utterance,speaker,Well when I went to wash my hands there was a from on the handle!,embarrassed
hit:10901_conv:21802,utterance,listener,A what on the handle?,questioning
hit:10901_conv:21802,utterance,speaker,Sorry I meant frog. He was on the sink handle and I almost touched it!,embarrassed
hit:2199_conv:4398,situation,none,"I was very surprised when my mom brought me dinner the other day and she knew just what I wanted, without asking.",surprised
hit:2199_conv:4398,utterance,speaker,"I  was super stoked when my mom brought me dinner the other day and she knew just what I wanted, without asking.",excited
hit:2199_conv:4398,utterance,listener,"Wow, mothers have the best instincts when it comes to their children.",impressed
hit:2199_conv:4398,utterance,speaker,True! Moms are so giving and selfless. Mine is all the time.,grateful
hit:2199_conv:4398,utterance,listener,"Exactly, take care of her. She is a treasure.",agreeing
hit:3751_conv:7503,situation,none,I got a text message from my ex the other day telling me that she was still in love with me.  I was pretty shocked.,surprised
hit:3751_conv:7503,utterance,speaker,Whoa! so that was crazy.  You'll never guess what just happened.,acknowledging
hit:3751_conv:7503,utterance,listener,Did you win that lottery??,questioning
hit:3751_conv:7503,utterance,speaker,"So, I’m just sitting here and I got a text out of the blue from my ex, telling me that she still loved me.  I was pretty shocked.  Like how do I even respond to that?",surprised
hit:3751_conv:7503,utterance,listener,Do you want to get back together with them?,questioning
hit:3751_conv:7503,utterance,speaker,"Honestly, I wouldn't mind it. LOL",acknowledging
hit:8642_conv:17284,situation,none,I couldn't believe it when my wife told me she is pregnant with our first child!,surprised
hit:8642_conv:17284,utterance,speaker,I couldn't believe it when my wife told me she is pregnant with our first child!,surprised
hit:8642_conv:17284,utterance,listener,Dang! I bet that feeling felt incredible! Did you guys celebrate?,acknowledging
hit:8642_conv:17284,utterance,speaker,"No, I work two jobs so I got to celebrate by going to work, but I celebrated in my heart.",sentimental
hit:8642_conv:17284,utterance,listener,"Well, that's kinda meh. But congratulations still!",wishing
hit:9396_conv:18792,situation,none,I was unexpectedly gifted a present from my best friend. It was a sweet and nice gesture.,surprised
hit:9396_conv:18792,utterance,speaker,My best friend unexpectedly gave me a gift the other day. I was very appreciative of their gesture.,surprised
hit:9396_conv:18792,utterance,listener,"Great, for what store?",questioning
hit:9396_conv:18792,utterance,speaker,She actually made the gift herself. I really liked it a lot.,impressed
hit:9396_conv:18792,utterance,listener,It's rare this days for people to hand make gifts or anything.,surprised
hit:3667_conv:7334,situation,none,I had a dream where I felt like I was getting rained on. I woke up and saw that my dog as licking me all over. I was so shocked to see him doing that!,surprised
hit:3667_conv:7334,utterance,speaker,The other night I was having this dream where I felt like I was getting rained on. It was a really weird feeling.,afraid
hit:3667_conv:7334,utterance,listener,Did the dream feel like it was really happening? Strange indeed.,neutral
hit:3667_conv:7334,utterance,speaker,Well I eventually opened my eyes and saw my dog was licking me all over. I was so shocked I was speechless for a bit.,surprised
hit:3667_conv:7334,utterance,listener,Hah! So all that time you were just feeling your dog licking you! Weird how that works.,acknowledging
hit:957_conv:1914,situation,none,on my 25th birthday party,surprised
hit:957_conv:1914,utterance,speaker,my girlfriend planned a surprise party i was not aware of,surprised
hit:957_conv:1914,utterance,listener,"That is nice of her, did you have fun?",questioning
hit:957_conv:1914,utterance,speaker,yeah much,agreeing
hit:957_conv:1914,utterance,listener,Who was all there?,questioning
hit:957_conv:1914,utterance,speaker,her friends and work mate,surprised
hit:11829_conv:23659,situation,none,I recently saved money by switching to a different insurance company.  I am shocked by the savings.,surprised
hit:11829_conv:23659,utterance,speaker,I recently saved money by switching to a different insurance company.,trusting
hit:11829_conv:23659,utterance,listener,How much did you end up saving?,questioning
hit:11829_conv:23659,utterance,speaker,I saved over 15 percent each month.  I am shocked by the savings.,surprised
hit:11829_conv:23659,utterance,listener,"That's amazing, who did you switch too?",questioning
hit:2601_conv:5202,situation,none,My mom gave me an unexpected gift this past Christmas. It was a family heirloom that is quite valuable.,surprised
hit:2601_conv:5202,utterance,speaker,My mom decided to give me a precious family heirloom this past Christmas. It was quite unexpected!,surprised
hit:2601_conv:5202,utterance,listener,That sounds like a wonderful surprise. Was it something that you had seen before?,questioning
hit:2601_conv:5202,utterance,speaker,"Yes, I actually had seen my grandmother with it before. It is a beautiful jeweled ring.",sentimental
hit:2601_conv:5202,utterance,listener,Are you going to wear it or put it up for safe keeping?,questioning
hit:2601_conv:5202,utterance,speaker,"I think I would be too nervous to wear it, so I will store it away for now.",apprehensive
hit:6520_conv:13040,situation,none,I received an unexpected parcel the other day,surprised
hit:6520_conv:13040,utterance,speaker,I got  parcel the other day,surprised
hit:6520_conv:13040,utterance,listener,What was in the parcel?,questioning
hit:6520_conv:13040,utterance,speaker,Chocolate and candy!,joyful
hit:6520_conv:13040,utterance,listener,That sounds delicious! I wish someone would send me a package like that.,acknowledging
hit:2234_conv:4468,situation,none,I was surprised to walk up on a snake a few days ago.,surprised
hit:2234_conv:4468,utterance,speaker,I got startled the other day while walking in my yard.,surprised
hit:2234_conv:4468,utterance,listener,What did you get started doing?,questioning
hit:2234_conv:4468,utterance,speaker,"No, startled...by a snake in the yard.",terrified
hit:2234_conv:4468,utterance,listener,Oh no!  I would be too,acknowledging
