Dialog_ID,Type,Actor,Text,Label
hit:4375_conv:8750,situation,none,I left my apartment to my friend last weekend. I will be away in another country for 2 months.,trusting
hit:4375_conv:8750,utterance,speaker,I am away in another country for 2 months and I left my apartment with my friend.,trusting
hit:4375_conv:8750,utterance,listener,"Wow, that must be scary to have to trust someone else with all of your stuff. What took you out of the country?",questioning
hit:4375_conv:8750,utterance,speaker,I'm on vacation in the Bahamas! I feel they are very reliable so I am sure the place will be fine!,trusting
hit:4375_conv:8750,utterance,listener,A two month vacation sounds amazing! I figured it was for work or something when you said two months. What is your favorite thing to do in the Bahamas?,questioning
hit:2270_conv:4541,situation,none,I let my daughter babysit my youngest daughter for the first time,trusting
hit:2270_conv:4541,utterance,speaker,I let my daughter babysit my youngest daughter for the first time,trusting
hit:2270_conv:4541,utterance,listener,That must have been nerve-wracking?,questioning
hit:2270_conv:4541,utterance,speaker,I actually felt pretty good about it.  They were only a phone call away and I din't go far.  She did well,confident
hit:2270_conv:4541,utterance,listener,Sounds like you have a very responsible young lady growing up.,acknowledging
hit:1584_conv:3169,situation,none,My husband is such a great guy. I don't ever have to worry about him going out and cheating on me. That is great because I used to be a jealous person.,trusting
hit:1584_conv:3169,utterance,speaker,My husband is so amazing. I can trust him totally.,trusting
hit:1584_conv:3169,utterance,listener,That's so great to hear. Relationships can be hit or miss sometimes. Sounds like you got a good one.,acknowledging
hit:1584_conv:3169,utterance,speaker,I used to be a really jealous person and was always picking a fight thinking something was up. I have learned after 21 years how to deal with my problem.,jealous
hit:1584_conv:3169,utterance,listener,Over 2 decades. That's a long time.,surprised
hit:1584_conv:3169,utterance,speaker,"Yes, it has been tough at times, but we have made it through. We now have 6 kids and 7 grandkids between the 2 of us.",content
hit:6895_conv:13790,situation,none,i knew i shouldnt have trusted my brother with my dog,trusting
hit:6895_conv:13790,utterance,speaker,i knew i shouldnt have trusted my brother with my dog,trusting
hit:6895_conv:13790,utterance,listener,"Why, What happened?! I hope your dog is okay.",consoling
hit:6895_conv:13790,utterance,speaker,he is still missing,afraid
hit:6895_conv:13790,utterance,listener,"Oh man, I'm sorry. My two dogs are my babys, I can't imagine how you feel.",sympathizing
hit:4803_conv:9606,situation,none,I am waiting on my friend to come over. They are bringing me a medicine for my pet.,trusting
hit:4803_conv:9606,utterance,speaker,I have a sick dog in my house.,caring
hit:4803_conv:9606,utterance,listener,I'm sorry. That must make you sad.,sympathizing
hit:4803_conv:9606,utterance,speaker,"Yes, but I am awaiting a friend. They are bringing me the right medicine to help my pet.",trusting
hit:4803_conv:9606,utterance,listener,Glad there's hope for you.,consoling
hit:1481_conv:2963,situation,none,I knew my brother wanted to help when I was struggling in life. He just seemed to care,trusting
hit:1481_conv:2963,utterance,speaker,I knew I could count on my brother. He was there for me when I was struggling in life,trusting
hit:1481_conv:2963,utterance,listener,Family is very important.,caring
hit:1481_conv:2963,utterance,speaker,Its the most important to me,sentimental
hit:1481_conv:2963,utterance,listener,"The same for me, i try to keep them close.",agreeing
hit:12071_conv:24143,situation,none,my girlfriend gave me her facebook password.,trusting
hit:12071_conv:24143,utterance,speaker,So my girlfriend gave me her password on facebook as a sign of faith,trusting
hit:12071_conv:24143,utterance,listener,Oh wow. I have never done that,surprised
hit:12071_conv:24143,utterance,speaker,Yeah she is good and i trust her,agreeing
hit:12071_conv:24143,utterance,listener,Well that is great. I think people get upset over other people actions when it comes to facebook.,acknowledging
hit:5157_conv:10315,situation,none,I knew my friend would be there for me over the weekend. I needed it,trusting
hit:5157_conv:10315,utterance,speaker,I knew my friend would be there for me over the weekend. I needed it,trusting
hit:5157_conv:10315,utterance,listener,sounds like a good friend to have by your side,acknowledging
hit:5157_conv:10315,utterance,speaker,It was a good feeling,acknowledging
hit:5157_conv:10315,utterance,listener,thats good!,acknowledging
hit:354_conv:708,situation,none,"I left my home to my neighbor to take care of, when I had to suddenly visit my mom in Canada",trusting
hit:354_conv:708,utterance,speaker,"I left my home to my neighbor to take care of, when I had to suddenly visit my mom in Canada",trusting
hit:354_conv:708,utterance,listener,I'm glad you had someone to take care of it while you were away. Was you mother alright?,questioning
hit:354_conv:708,utterance,speaker,Yes. Seem like she didn't listen to the doctor about taking her meds on time.,annoyed
hit:354_conv:708,utterance,listener,Oh no. Were you able to get things sorted out? We live far away from family and I know how hard it can be especially when there are health concerns.,questioning
hit:1337_conv:2675,situation,none,I know my father will always have my back.,trusting
hit:1337_conv:2675,utterance,speaker,I know my father will always have my back.,trusting
hit:1337_conv:2675,utterance,listener,That is great! Always nice to see a good dad for once,acknowledging
hit:1337_conv:2675,utterance,speaker,"Yes, he always is there for me.",faithful
hit:1337_conv:2675,utterance,listener,Can you give me an example?,questioning
hit:11506_conv:23013,situation,none,I have a friend who came out to me about their sexuality. I was the first person they had ever told other than the people that they dated.,trusting
hit:11506_conv:23013,utterance,speaker,"We rode in the cab, and my friend looks at me with the most serious face and tells me they are Bi-Sexual. Though they said they usually only date the same sex and they hadn't ever told anyone about it.",surprised
hit:11506_conv:23013,utterance,listener,Your friend must trust and care for you a lot to confide in you like that. how did you react?,questioning
hit:11506_conv:23013,utterance,speaker,"I told them that it didn't matter to me, and I still loved them like family.",faithful
hit:11506_conv:23013,utterance,listener,That's good. you must have been surprised by the confession.,acknowledging
hit:9786_conv:19573,situation,none,i knew i shouldnt have trusted my brother with my dog,trusting
hit:9786_conv:19573,utterance,speaker,i knew i shouldnt have trusted my brother with my dog,trusting
hit:9786_conv:19573,utterance,listener,Did he give her a haircut?,questioning
hit:9786_conv:19573,utterance,speaker,no he didnt feed him and he died,sad
hit:9786_conv:19573,utterance,listener,How long did you live her with him for?,questioning
hit:2632_conv:5264,situation,none,I felt very confident that my partner values my judgment about things. It makes me feel good about our relationship.,trusting
hit:2632_conv:5264,utterance,speaker,I feel very good about my relationship with my partner. My partner values my opinion about things.,trusting
hit:2632_conv:5264,utterance,listener,"ok, so sweet",acknowledging
hit:2632_conv:5264,utterance,speaker,It makes me feel confident that I can truly confide in them about anything without them judging me.,trusting
hit:2632_conv:5264,utterance,listener,your confident to very best of luck,wishing
hit:2632_conv:5264,utterance,speaker,Thanks. It's nice to have important relationships in your life.,acknowledging
hit:2632_conv:5264,utterance,listener,"yes, my patner is very important relationship.",agreeing
hit:11228_conv:22457,situation,none,"When I was little my dad asked me to jump into the deep end of the pool and he would catch me.  I didn't know how to swim yet, but I knew I could count on him, so I just jumped.",trusting
hit:11228_conv:22457,utterance,speaker,"I was scared at first because the water looked cold and the pool was deep.  When I saw my Dad's face however, I knew he would catch me so I jumped in the water.",trusting
hit:11228_conv:22457,utterance,listener,So... was it cold?,questioning
hit:11228_conv:22457,utterance,speaker,"It was a little cold, but it was not as bad as I expected.",surprised
hit:11228_conv:22457,utterance,listener,I'm so glad your dad was there to help you. Did he catch you?,grateful
hit:11228_conv:22457,utterance,speaker,He did.  He was always there for me as a kid so I knew I could trust him.,trusting
hit:11228_conv:22457,utterance,listener,That's awesome! Dad's are the best!!,acknowledging
hit:11228_conv:22457,utterance,speaker,They are!,neutral
hit:11228_conv:22457,utterance,listener,How  deep was the pool?,questioning
hit:1493_conv:2986,situation,none,I didn't trust many people when i was young. So when i made my first friend i knew i finally found someone to trust.,trusting
hit:1493_conv:2986,utterance,speaker,"Hey man, So i was wondering if you ever felt distrust til you met a friend?",questioning
hit:1493_conv:2986,utterance,listener,I try not to have any friends.,lonely
hit:1493_conv:2986,utterance,speaker,Well wasn't until i meet my first friend i knew i could be happy and trust someone.,trusting
hit:1493_conv:2986,utterance,listener,I advice not to trust anyone ever. Stay to yourself and be sad my friend.,lonely
hit:1493_conv:2986,utterance,speaker,Well you were the first one i trusted.,neutral
hit:1493_conv:2986,utterance,listener,I do not want to be the first one.,afraid
hit:6793_conv:13587,situation,none,You know I really don't trust many people due to a traumatic event from my past. But when EP came along he made me believe in humanity again.,trusting
hit:6793_conv:13587,utterance,speaker,You know I really don't trust many people due to a traumatic event from my past. But when EP came along he made me believe in humanity again,trusting
hit:6793_conv:13587,utterance,listener,I am sorry you have had a difficult time.  What is EP?,sympathizing
hit:6793_conv:13587,utterance,speaker,EP are the initials for my husband. He is an amazing man and he shows character that I wish all mankind could have.,proud
hit:6793_conv:13587,utterance,listener,I am so happy you have someone so special in your life!,grateful
hit:6793_conv:13587,utterance,speaker,Thank you so much! Because of him I give people the chance they deserve now.,grateful
hit:9551_conv:19102,situation,none,when i let my friend take my car,trusting
hit:9551_conv:19102,utterance,speaker,My friends car broke down so i let her borrow mine.,trusting
hit:9551_conv:19102,utterance,listener,That is very nice of you. You two must be really good friends.,acknowledging
hit:9551_conv:19102,utterance,speaker,we are and also i just felt like she wouldnt damage it!,neutral
hit:9551_conv:19102,utterance,listener,You are very trusting. Its nice to have a friend like you. Im sure she appreciates it.,trusting
hit:5980_conv:11961,situation,none,I was doing a team exercise one time in school. I had to be blindfolded and listen to directions from my teammate.,trusting
hit:5980_conv:11961,utterance,speaker,"Hi, I am remembering a time in college when we did some cool activities!",nostalgic
hit:5980_conv:11961,utterance,listener,Oh yeah? What kind of activities?,questioning
hit:5980_conv:11961,utterance,speaker,Fun ones. They were with a team so I think they are team building ones!,neutral
hit:5980_conv:11961,utterance,listener,Oh neat. I love those kinds of games.,acknowledging
hit:11507_conv:23015,situation,none,My husband went away for a bachelor weekend with his friends.,trusting
hit:11507_conv:23015,utterance,speaker,My husband went away for a weekend to celebrate his friend's bachelor party,jealous
hit:11507_conv:23015,utterance,listener,Wow! I hope he doesn't do anything too crazy!,consoling
hit:11507_conv:23015,utterance,speaker,"I don't think he will, he isn't too wild of a person. But I hope he has fun!",encouraging
hit:11507_conv:23015,utterance,listener,I hope you have as much fun as he does!,encouraging
hit:4857_conv:9715,situation,none,"I was working on a boat, and I had to hope that my friend didn't screw something up while I had my hands in the engine.",trusting
hit:4857_conv:9715,utterance,speaker,"Gosh I hate it when I have to work on complicated parts in my boat engine, when my friend is helping me.",annoyed
hit:4857_conv:9715,utterance,listener,Have you tried seeking expert help?,questioning
hit:4857_conv:9715,utterance,speaker,"Nah I can do it myself, I just have to hope that my buddy doesn't do anything crazy when my hands are in between the hydraulic lines.",trusting
hit:4857_conv:9715,utterance,listener,hahahahah so you are more worried about your friend than actually fixing the boat?,questioning
hit:4857_conv:9715,utterance,speaker,"Yeah I can fix the boat, I just need to be sure my help can handle their tasks appropriately!",confident
hit:2251_conv:4503,situation,none,I completely confide in my wife and children.,trusting
hit:2251_conv:4503,utterance,speaker,I'm always trusting of my wife and daughters.,trusting
hit:2251_conv:4503,utterance,listener,You guys sound like a strong family!,acknowledging
hit:2251_conv:4503,utterance,speaker,"We are pretty much, but we've had to be as the rest of our family on both sides sucks.",neutral
hit:2251_conv:4503,utterance,listener,"Sorry to hear that, maybe one day you entire family can get along",suggesting
hit:10666_conv:21333,situation,none,"When my boyfriend and I had been dating about a year he wanted to move to my town, but his credit was so horrible that he couldn't get an apartment. I decided to help him by cosigning for the apartment.",trusting
hit:10666_conv:21333,utterance,speaker,So I cosigned on my boyfriend's apartment a few year's back to make up for his horrible credit.,guilty
hit:10666_conv:21333,utterance,listener,How did that work out?,questioning
hit:10666_conv:21333,utterance,speaker,"Well, we live together now so it turned out to be a good gamble so far.",neutral
hit:10666_conv:21333,utterance,listener,Well that's good. I'm glad so far it has worked out :),content
hit:11525_conv:23051,situation,none,My fiance is having her bachelorette party. I'm excited for her.,caring
hit:11525_conv:23051,utterance,speaker,My fiance is having her bachelorette party. I'm excited for her.,caring
hit:11525_conv:23051,utterance,listener,That is great!  When is the wedding?,questioning
hit:11525_conv:23051,utterance,speaker,Its in october!,excited
hit:11525_conv:23051,utterance,listener,Are you having a bachelor party?,questioning
hit:11525_conv:23051,utterance,speaker,I already had one.  I took a fishing trip with some friends.,content
hit:11525_conv:23051,utterance,listener,The best kind of bachelor party.  That is exactly what I did for mine...20 years ago.,agreeing
hit:11525_conv:23051,utterance,speaker,"It was pretty great.  Went inshore one day, then bow fishing in an air boat... then offshore the next day.",afraid
hit:11525_conv:23051,utterance,listener,You should make it an annual trip!  Then you can always be reminded of a good time in your life.,nostalgic
hit:7940_conv:15880,situation,none,i know my hubby could never cheat on me,trusting
hit:7940_conv:15880,utterance,speaker,"We have built our relationship over the years ,we dont keep secrets",faithful
hit:7940_conv:15880,utterance,listener,ok and how does that work,questioning
hit:7940_conv:15880,utterance,speaker,i know my hubby could never cheat on me,trusting
hit:7940_conv:15880,utterance,listener,thats awesome but would you?,questioning
hit:4577_conv:9155,situation,none,I know that my money is safe with the banks,trusting
hit:4577_conv:9155,utterance,speaker,The banks are a good place to keep my money,trusting
hit:4577_conv:9155,utterance,listener,yea i agree with that,agreeing
hit:4577_conv:9155,utterance,speaker,Some pay a little interest,grateful
hit:4577_conv:9155,utterance,listener,yea its not mucht ho,acknowledging
hit:3426_conv:6853,situation,none,tall my dad has done to me,trusting
hit:3426_conv:6853,utterance,speaker,is your dad trustful,questioning
hit:3426_conv:6853,utterance,listener,Yes he is very much,agreeing
hit:3426_conv:6853,utterance,speaker,wow i like that mine too,agreeing
hit:3426_conv:6853,utterance,listener,That is a good thing,joyful
hit:4586_conv:9173,situation,none,I like my new manager. He is so kind and a good listener. I feel that I can trust him with any issue that I have.,trusting
hit:4586_conv:9173,utterance,speaker,I like my new manager. He is so kind and a good listener. I feel that I can trust him with any issue that I have.,trusting
hit:4586_conv:9173,utterance,listener,Thats great isn't it. I hate it when managers just boss you around and never listen.,acknowledging
hit:4586_conv:9173,utterance,speaker,I hate that too. Most of the managers are like that. They never listen and they can be rude.,angry
hit:4586_conv:9173,utterance,listener,I'm happy for you that this new manager is better. It just makes working a whole lot better and more enjoyable.,impressed
hit:11226_conv:22453,situation,none,I let my friend take my expensive car. I thought she would take care of it.,trusting
hit:11226_conv:22453,utterance,speaker,"Man, I let one of my friends take my Benz one day to run some errands. I really thought she would be careful with it.",trusting
hit:11226_conv:22453,utterance,listener,"Oh, no! Did she damage your car?",questioning
hit:11226_conv:22453,utterance,speaker,"Yes, she hit a parked car at the super market. She's okay, but I am not sure I will let her use it ever again.",terrified
hit:11226_conv:22453,utterance,listener,I can understand that. I would be extra careful if I was driving someone else's car...especially Benz!,agreeing
hit:8187_conv:16374,situation,none,My girlfriend will be working abroad for 4 years. She's the only female in her team.,trusting
hit:8187_conv:16374,utterance,speaker,My girlfriend will be working abroad for 4 years. She's the only female in her team.,trusting
hit:8187_conv:16374,utterance,listener,Ouch... I'd have to admit that it would make me a tad nervous.,agreeing
hit:8187_conv:16374,utterance,speaker,I'm extremely nervous but gotta trust her. She's never done anyting to make me doubt our relationship.,trusting
hit:8187_conv:16374,utterance,listener,Absolutely! That is definitely the attitude to have. Trust is huge in making a relationship successful. It's just natural to feel a bit nervous.,agreeing
hit:10037_conv:20075,situation,none,"After failing inspection, my friend offered to repair the required parts of my car with his own tools, confident he could do so for significantly cheaper than the garage.",trusting
hit:10037_conv:20075,utterance,speaker,"After failing inspection, my friend offered to repair the required parts of my car with his own tools, I was confident he could do so for significantly cheaper than the garage.",trusting
hit:10037_conv:20075,utterance,listener,He charged you?,questioning
hit:10037_conv:20075,utterance,speaker,"Only for the required parts. He did the labor for free! I tipped him though, of course.",neutral
hit:10037_conv:20075,utterance,listener,Did it all work out? Or did he completely mess up your car hah,questioning
hit:10037_conv:20075,utterance,speaker,He took the car to his own mechanic and it passed the inspection no problem. Probably saved about $500.,proud
hit:10037_conv:20075,utterance,listener,Sounds like you've got a lot of faith in your friend.,acknowledging
hit:3412_conv:6824,situation,none,I felt like I could count on my dad when I was sick. He always cared,trusting
hit:3412_conv:6824,utterance,speaker,I always knew I could count on my dad when I was sick. He always cared,trusting
