Dialog_ID,Type,Actor,Text
hit:4821_conv:9643,situation,none,When my car caught on fire while driving
hit:4821_conv:9643,utterance,speaker,I had my car catch on fire while driving!
hit:4821_conv:9643,utterance,listener,"Oh my gosh, what did you do?"
hit:4821_conv:9643,utterance,speaker,Pulled over as fast as I could and jumped out. It was intense.
hit:4821_conv:9643,utterance,listener,"I bet, glad you are ok"
hit:5775_conv:11551,situation,none,i thought someone was breaking i
hit:5775_conv:11551,utterance,speaker,i heard sounds outside my window last night. thought it was a robber
hit:5775_conv:11551,utterance,listener,Scary. Did you investigate?
hit:5775_conv:11551,utterance,speaker,yes..it was a cat on he window scratching at a bug
hit:5775_conv:11551,utterance,listener,Phew! That's a relief!
hit:11660_conv:23320,situation,none,I heard a loud bang in the middle of the night.
hit:11660_conv:23320,utterance,speaker,I heard a loud bang in the middle of last night and it woke me up.
hit:11660_conv:23320,utterance,listener,was it a gunshot?
hit:11660_conv:23320,utterance,speaker,It sure sounded like it. I was so afraid that I called the police but they couldn't find anything.
hit:11660_conv:23320,utterance,listener,that is scary! i live by a gun range and hear them all the time
hit:2024_conv:4048,situation,none,when i was going for an interview i had a crazy feeling
hit:2024_conv:4048,utterance,speaker,i had some weak feeling on my interview day
hit:2024_conv:4048,utterance,listener,"I'm sorry, interviews can be rough. Was there a part of the interview day that you found especially difficult?"
hit:2024_conv:4048,utterance,speaker,no i had to take it the way it was
hit:2024_conv:4048,utterance,listener,"Maybe it went better than you thought! If not, you still gained some experience from the day."
hit:3062_conv:6124,situation,none,I am really worried that I will miss my flight tomorrow.
hit:3062_conv:6124,utterance,speaker,I am really worried that I will miss my flight tomorrow.
hit:3062_conv:6124,utterance,listener,I always worry about that too. Is it early in the morning?
hit:3062_conv:6124,utterance,speaker,Yes and there is an expected rain storm.
hit:3062_conv:6124,utterance,listener,Will you be able to leave a little bit earlier to allow time for any traffic delays?
hit:9807_conv:19615,situation,none,I'm really scared of going down to my basement. It's so dark down there.
hit:9807_conv:19615,utterance,speaker,I'm really scared of going down to my basement.
hit:9807_conv:19615,utterance,listener,lol why?
hit:9807_conv:19615,utterance,speaker,It's so dark and creepy down there.
hit:9807_conv:19615,utterance,listener,lol.  Do you think there are monsters down there?
hit:9807_conv:19615,utterance,speaker,Maybe....
hit:9807_conv:19615,utterance,listener,You should turn the lights on!
hit:6755_conv:13511,situation,none,Ok.. I was driving across S. Dakota last summer at night.  Its super dark and you can see all the stars.  Then my car broke down.
hit:6755_conv:13511,utterance,speaker,Ok.. I was driving across S. Dakota last summer at night. Its super dark and you can see all the stars. Then my car broke down.
hit:6755_conv:13511,utterance,listener,"Oh my gosh, what a place to break down!  I was born in ND and I know the dark you are talking about.  Were you stuck for long?"
hit:6755_conv:13511,utterance,speaker,I am not sure how long it was I got abducted by aliens.  Time lapse.
hit:6755_conv:13511,utterance,listener,"Oh yeah, of course.  I heard they are rampant up in those parts.  Did they keep you long?"
hit:6755_conv:13511,utterance,speaker,I don't know it only seemed like a minute
hit:6755_conv:13511,utterance,listener,I hope they returned you with all your bits and parts.  It would be alarming to find they borrowers from you later!
hit:4181_conv:8363,situation,none,I went to a haunted house and just couldnt bring myself to step inside
hit:4181_conv:8363,utterance,speaker,"The Haunted house by me is just terrifying, I could not walk in"
hit:4181_conv:8363,utterance,listener,did you go alone or with a group?
hit:4181_conv:8363,utterance,speaker,With a group
hit:4181_conv:8363,utterance,listener,it sounds like its scary
hit:5245_conv:10491,situation,none,I never drink milk anymore because it made me sick once.
hit:5245_conv:10491,utterance,speaker,I never drink milk anymore because it made me sick once.
hit:5245_conv:10491,utterance,listener,That's too bad..you sure it was the milk and not something else?
hit:5245_conv:10491,utterance,speaker,"It may have been, but I still avoid the milk."
hit:5245_conv:10491,utterance,listener,Can you drink any dairy? Or is that totally off limits
hit:8714_conv:17428,situation,none,"The moment I decided to drop out of University, I had no idea what to do. Thinking about calling my parents and telling them was the most fear enducing madness I'd ever had to endure. Everything felt cloudy and shaky."
hit:8714_conv:17428,utterance,speaker,Hello there. How are you feeling today?
hit:8714_conv:17428,utterance,listener,I'm good. How about you?
hit:8714_conv:17428,utterance,speaker,I'm a bit on edge. It's the anniversary of the day I had to drop out of college and I don't want to see my parents today. It brings up all the memories from the day I had to tell them.
hit:8714_conv:17428,utterance,listener,That sounds quite scary.
hit:8714_conv:17428,utterance,speaker,"It really was. I know it's all okay now, but that fear is still alive inside."
hit:9701_conv:19403,situation,none,"I'm scared of the dark, but I have to walk home from work in the dark. It is really nerve wraking."
hit:9701_conv:19403,utterance,speaker,"I'm scared of the dark, but I have to walk home from work in the dark."
hit:9701_conv:19403,utterance,listener,Are you always alone?
hit:9701_conv:19403,utterance,speaker,Yeah it makes the walk home pretty nerve wraking
hit:9701_conv:19403,utterance,listener,I can imagine. Why don't you take a lyft or uber?
hit:9701_conv:19403,utterance,speaker,I don't make enough money to do that
hit:9701_conv:19403,utterance,listener,A walking buddy then? they should be free.
hit:1229_conv:2458,situation,none,My friend hasnt been feeling well lately.
hit:1229_conv:2458,utterance,speaker,My friend hasnt been feeling well lately.
hit:1229_conv:2458,utterance,listener,That's too bad. What seems to be wrong with him?
hit:1229_conv:2458,utterance,speaker,His heart has been beating real fast lately.
hit:1229_conv:2458,utterance,listener,Doesn't sound good at all. Has anyone taken him to get it checked out?
hit:9034_conv:18069,situation,none,I forgot to make my student loan payment this month.  I'm scared it will affect my credit score.
hit:9034_conv:18069,utterance,speaker,I forgot to make my student loan payment this month.
hit:9034_conv:18069,utterance,listener,"Ah, that's unfortunate. That can be really tough to remember sometimes. I know because I've forgotten that too. But you'll make it up as soon as you can, I'm sure!"
hit:9034_conv:18069,utterance,speaker,I'm scared it will affect my credit score.
hit:9034_conv:18069,utterance,listener,"As long as it's not too delinquent, and you have an otherwise good history of on-time payments, you should be okay! Try talking to your loan servicer, too. They can help."
hit:3804_conv:7609,situation,none,i was exposed to lice at work
hit:3804_conv:7609,utterance,speaker,i was exposed to lice at work
hit:3804_conv:7609,utterance,listener,That's horrible. What is your work doing to fix that?
hit:3804_conv:7609,utterance,speaker,"nothing, i had my hair up so hopefully i don't get any"
hit:3804_conv:7609,utterance,listener,"Ouch, I hope you don't either. I'd keep any eye out at work from now on."
hit:3804_conv:7609,utterance,speaker,that's one of the risks of working in healthcare i suppose.
hit:7798_conv:15596,situation,none,"The first time I saw the move ""The Ring"" I was afraid to go home to an empty apartment!"
hit:7798_conv:15596,utterance,speaker,"The first time I watched the movie ""The Ring"" I didn't want to go home to my empty apartment I was so scared."
hit:7798_conv:15596,utterance,listener,"I agree, that was a really scary one! I think it was much creepier than average horror movies."
hit:7798_conv:15596,utterance,speaker,Most definitely! I remember getting made fun of because of how scared I was.
hit:7798_conv:15596,utterance,listener,How long did it take you to not be scared around your own apartment anymore?
hit:7798_conv:15596,utterance,speaker,It took a few months!
hit:7798_conv:15596,utterance,listener,"Wow, it really stuck with you a long time."
hit:7798_conv:15596,utterance,speaker,Yeah it did
hit:5158_conv:10317,situation,none,"When I was younger, I went on a trip to my cousins ski home in New York. I am from Florida and didn't know any better and stuck my tongue to a frozen pole when one of my cousins dared me to. I dont recommend it."
hit:5158_conv:10317,utterance,speaker,"When I was younger, I went on a trip to my cousins ski home in New York. I am from Florida and didn't know any better and stuck my tongue to a frozen pole when one of my cousins dared me to. I dont recommend it."
hit:5158_conv:10317,utterance,listener,"Oh no, that classic prank! I bet that was painful, I've only seen it on movies."
hit:5158_conv:10317,utterance,speaker,"Haha well fortunately my cousin was like ""Oh [BLEEP] I didnt think you were actually going to do it. [BLEEP]"" He was like, dont move not even a millicentimeter, Ill be right back!! And came back with a warm sponge and warm water!"
hit:5158_conv:10317,utterance,listener,"Haha, wow, that's awesome.  Sort of makes up for him playing that prank on you."
hit:2860_conv:5720,situation,none,I had real fear when a tornado was close to my home. I thought we might die
hit:2860_conv:5720,utterance,speaker,I had real fear when a tornado was close to where I was living. I thought I could due
hit:2860_conv:5720,utterance,listener,do you live in the midwest
hit:2860_conv:5720,utterance,speaker,I live in the southeast.
hit:2860_conv:5720,utterance,listener,do you have an emergency shelter in your basement ?
hit:10381_conv:20762,situation,none,I become terrified when i heard of ghost
hit:10381_conv:20762,utterance,speaker,They always come out at night
hit:10381_conv:20762,utterance,listener,There are so many things that come out at night. What are you referring to?
hit:10381_conv:20762,utterance,speaker,Am refering to ghost
hit:10381_conv:20762,utterance,listener,They come out in the daytime too. It's just that they are scarier at night.
hit:1872_conv:3744,situation,none,I had to live in a haunted house for a month
hit:1872_conv:3744,utterance,speaker,"Hi, I lost a bet with friend and had to live in a haunted house for a month!"
hit:1872_conv:3744,utterance,listener,"Holy cow, why did you take that bet?"
hit:1872_conv:3744,utterance,speaker,Because a lot of money was on the line. I was terrified for one month!
hit:1872_conv:3744,utterance,listener,What was the bet about?
hit:11804_conv:23609,situation,none,When my house burned down. I had to save my mother.
hit:11804_conv:23609,utterance,speaker,Seeing my house burn down was so scary.
hit:11804_conv:23609,utterance,listener,"Wow, I can't even imagine. What caused the fire?"
hit:11804_conv:23609,utterance,speaker,The fire department said it was spontaneous combustion.
hit:11804_conv:23609,utterance,listener,Were you home when it started?
