Dialog_ID,Type,Actor,Text
hit:3385_conv:6771,situation,none,"Yesterday, someone took the bus without paying."
hit:3385_conv:6771,utterance,speaker,"Yesterday, someone took the bus without paying. It made me angry."
hit:3385_conv:6771,utterance,listener,Why would they do such a thing?
hit:3385_conv:6771,utterance,speaker,Some person doen't want to pay for anything.
hit:3385_conv:6771,utterance,listener,"That is so bad, the police should be called for that."
hit:4154_conv:8308,situation,none,"I don't get big companies who think they can take advantage of everyone. When I get a product, it should work right or they should replace it."
hit:4154_conv:8308,utterance,speaker,I don't get big companies who think they can take advantage of everyone.
hit:4154_conv:8308,utterance,listener,Are you talking about ones that just raise and raise prices?
hit:4154_conv:8308,utterance,speaker,"No ones that don't stand behind their products and services.  When I get a product, it should work right or they should replace it. Or when they make a mistake like charging you twice?!"
hit:4154_conv:8308,utterance,listener,And they always get nasty with you like it was your fault and not theirs! I feel you.
hit:3851_conv:7703,situation,none,I took my daughter shopping for school clothes and she didn't like anything in any store. We bought nothing
hit:3851_conv:7703,utterance,speaker,I took my 13 year old shopping for schoo clothes today.
hit:3851_conv:7703,utterance,listener,Did they grow out of last years?
hit:3851_conv:7703,utterance,speaker,"Yes, but she didn't like anything in the store. We didn't even buy anything I was so upset."
hit:3851_conv:7703,utterance,listener,"oh my lord.  Kids,  they can never make up their mind."
hit:3851_conv:7703,utterance,speaker,Four hours for nothing.
hit:9822_conv:19644,situation,none,I can never find anything to watch on tv. I pay too much for this satellite
hit:9822_conv:19644,utterance,speaker,My cable costs me 100 dollars a month
hit:9822_conv:19644,utterance,listener,That's a rip off at that price.
hit:9822_conv:19644,utterance,speaker,"IT is. Plus, I can never find anything to watch!"
hit:9822_conv:19644,utterance,listener,Did you ever try netflix? It's great.
hit:9822_conv:19644,utterance,speaker,Yes. I love netflix. I dont know why I thought this would be better
hit:2760_conv:5520,situation,none,Someone cut me off in traffic the other day.
hit:2760_conv:5520,utterance,speaker,Someone cut me off in traffic the other day.
hit:2760_conv:5520,utterance,listener,"Oh god, how so what happened?"
hit:2760_conv:5520,utterance,speaker,Well we were just driving on the highway and he cut into my lane with just barely enough room.
hit:2760_conv:5520,utterance,listener,Sounds like florida ugh
hit:4369_conv:8739,situation,none,"I had people stay at my house while I was  gone over the weekend, so they wouldn't have to pay for a hotel. When I came back, they had left a mess and didn't really put in much effort to put things back where they found them. They were supposed to be good friends, too."
hit:4369_conv:8739,utterance,speaker,"I had people stay at my house while I was gone over the weekend, so they wouldn't have to pay for a hotel. When I came back, they had left a mess and didn't really put in much effort to put things back where they found them. They were supposed to be good friends, too."
hit:4369_conv:8739,utterance,listener,That is disappointing. Did you confront them about it? I am sorry you have to deal with that.
hit:4369_conv:8739,utterance,speaker,Not really. I hate confrontation. And nothing really of cost was lost. I'll just lose time in cleaning up after them. It definitely is a learning experience when it comes to trust... Doubt I'll be an AirBnB host any time soon!
hit:4369_conv:8739,utterance,listener,"That's too bad. Lesson learned, I guess."
hit:332_conv:664,situation,none,I am upset that England lost in the World Cup.
hit:332_conv:664,utterance,speaker,I am upset England lost in the World Cup.
hit:332_conv:664,utterance,listener,Was it pretty close?
hit:332_conv:664,utterance,speaker,"They lost in overtime, so yes."
hit:332_conv:664,utterance,listener,Bummer.  Haven't seen it.  Don't watch soccer but I respect the sport
hit:3098_conv:6196,situation,none,I am so mad!  My insurance company keeps denying a valid claim and it causes the Doctor to send me a bill!  I keep having to call and do their job for them!
hit:3098_conv:6196,utterance,speaker,I am so mad! My insurance company keeps denying a valid claim and it causes the Doctor to send me a bill! I keep having to call and do their job for them!
hit:3098_conv:6196,utterance,listener,Insurance companies suck.  I hate dealing with them.
hit:3098_conv:6196,utterance,speaker,"Yeah, it is quite apparent to me that they genuinely do not care."
hit:3098_conv:6196,utterance,listener,They're trying to not pay if they don't have too.    more $ in their bank.
hit:3966_conv:7933,situation,none,My son just wasted my soda all over his school papers. I am so upset
hit:3966_conv:7933,utterance,speaker,MY son just wasted my soda on some important papers.
hit:3966_conv:7933,utterance,listener,"I am sorry, how important were they"
hit:3966_conv:7933,utterance,speaker,I have to turn them into the school tomorrow. Now I will be late for work because I have to do new ones at the school in the morning.
hit:3966_conv:7933,utterance,listener,"I am sorry, that sounds stressful"
hit:3966_conv:7933,utterance,speaker,I hate being late but I have to get the papers in
hit:420_conv:841,situation,none,I was at the gas station filling my car up with gas and this guy pissed me off. He kept looking at my butt and making comments.
hit:420_conv:841,utterance,speaker,I had an awful time getting gas today at 7/11 because of someone there.
hit:420_conv:841,utterance,listener,No way! What happened...was there a confrontation?
hit:420_conv:841,utterance,speaker,Almost..I should have. This guy just kept gawking at my rear and making comments. It's so uncomfortable.
hit:420_conv:841,utterance,listener,"Oh ok. I take it, he was ""cat calling""? There are classier ways of appreciating art."
hit:420_conv:841,utterance,speaker,"Yeah, except this art was wearing baggy sweat pants today."
hit:420_conv:841,utterance,listener,"Haha. Well, who can judge art, right?"
hit:420_conv:841,utterance,speaker,I suppose you do have a point there.
hit:7751_conv:15503,situation,none,I woke up this morning and my truck had a flat tire.
hit:7751_conv:15503,utterance,speaker,I woke up this morning and my truck had a flat tire.
hit:7751_conv:15503,utterance,listener,That is the worst!  Did you have somewhere you needed to be?
hit:7751_conv:15503,utterance,speaker,Nothing too important... I was gonna go get breakfast.  I guess I'm not doing that now.
hit:7751_conv:15503,utterance,listener,That stinks!  Hopefully you are not to mad because of it.  Flat tires happen to the best of us!
hit:7751_conv:15503,utterance,speaker,Indeed they do.  Just really bad timing is all.
hit:4186_conv:8373,situation,none,I was so mad when I didnt get a promotion
hit:4186_conv:8373,utterance,speaker,I was devasted when I didnt earn the promotion
hit:4186_conv:8373,utterance,listener,What is the job you were trying to get?
hit:4186_conv:8373,utterance,speaker,Vice President of Operations
hit:4186_conv:8373,utterance,listener,"Oh, well mauybe next time!"
hit:9373_conv:18747,situation,none,It really gets underneath my skin to see a child try to bully another child especially if it comes to my family members.  I become a fierce protector and do my best to keep the peace.  I have a look though that seems to work best.
hit:9373_conv:18747,utterance,speaker,I really wish they would do more in the schools to stop children from being intimidated by others so they can focus on what's important.
hit:9373_conv:18747,utterance,listener,I think kids should all be home schooled.
hit:9373_conv:18747,utterance,speaker,"I'm not sure about all, but I do see a rise in those being home schooled to ensure the safety of the children.  However, not all parents are equipped with the ability to home school."
hit:9373_conv:18747,utterance,listener,They can hire teachers to come to the house.
hit:9373_conv:18747,utterance,speaker,That's interesting.  I wonder if the teacher's salary would be impacted by implementing your idea.  It's already a challenge to pay teachers what they deserved.  I think that good home training is necessary so that the child will know how to act when they are at school.
hit:10844_conv:21688,situation,none,All the rain storms that have been blowing through lately has saturated my garden which I've been working on all summer. This is a big month for pulling veggies so I'm at a a loss.
hit:10844_conv:21688,utterance,speaker,So it's been raining a lot lately after being relatively dry. I wanted it at first but now its destroying my garden.
hit:10844_conv:21688,utterance,listener,That's awesome rain is good
hit:10844_conv:21688,utterance,speaker,"Rain would be good at first, but like I said it's oversaturated my crops and mold and mildew has set in."
hit:10844_conv:21688,utterance,listener,oh no. so what do you do in such instance?
hit:10844_conv:21688,utterance,speaker,I have to just salvage what I can and move on to the next season.
hit:4730_conv:9461,situation,none,i just hate when people drive slow in the left lane
hit:4730_conv:9461,utterance,speaker,"people need to move over to the right lane, i hate when they go slow in the left"
hit:4730_conv:9461,utterance,listener,That is so true!
hit:4730_conv:9461,utterance,speaker,how long have you guys been together
hit:4730_conv:9461,utterance,listener,Weve been together for 10 years.
hit:922_conv:1844,situation,none,"I worked so hard on a project, and someone stole it and presented it as their own."
hit:922_conv:1844,utterance,speaker,"I worked so hard on a project, and someone stole it and presented it as their own."
hit:922_conv:1844,utterance,listener,"Wao, how did you felt? did you work hard in that project?"
hit:922_conv:1844,utterance,speaker,I really did. I'm furious!
hit:922_conv:1844,utterance,listener,IWhat was your project about? it was for school or something?
hit:1725_conv:3451,situation,none,I had a job interview. Everything went great and I just knew the job was mine.
hit:1725_conv:3451,utterance,speaker,I had a job interview. Everything went great and I just knew the job was mine.
hit:1725_conv:3451,utterance,listener,Great@  So you found out already that you got it or are you just confident?
hit:1725_conv:3451,utterance,speaker,"That's just it, I didn't get it. It went to someone that I'm sure is less qualified. It was quite upsetting."
hit:1725_conv:3451,utterance,listener,that is upsetting.  I am sorry to hear that
hit:1337_conv:2674,situation,none,A guy out in traffic getting mad at me and then giving me the finger when he is in the wrong
hit:1337_conv:2674,utterance,speaker,So this guy was hanging out of a parking lot in traffic while we had a green light- No he wouldn't back up his car or GO- When we beeped at him to back up- he had the nerve to yell derogatory things and beep back as if he was doing nothing wrong
hit:1337_conv:2674,utterance,listener,That was very mean of him.
hit:1337_conv:2674,utterance,speaker,Well he tried to cut everyone off and it's just wreckless. So many people die. I really hate it when bad drivers think they are not lol
hit:1337_conv:2674,utterance,listener,Did you call the police?
hit:1337_conv:2674,utterance,speaker,The police don't really do anything here. It's like the wild wild west. Almost no one ever gets in trouble that is why they constantly drive 20 over and cut you off at the last second etc.
hit:3028_conv:6056,situation,none,I am super OVER the people who litter on the outside of my lawn everyday. I don't know what to do with how upset I get at picking up everyone elses trash.
hit:3028_conv:6056,utterance,speaker,I am super OVER the people who litter on the outside of my lawn everyday.
hit:3028_conv:6056,utterance,listener,I understand. Did you catch some of them in action?
hit:3028_conv:6056,utterance,speaker,"No, they don't do it when I am out there. I don't know what to do with how upset I get at picking up everyone elses trash."
hit:3028_conv:6056,utterance,listener,That is bad. I would have the same feeling if I was in your situation.
hit:2860_conv:5721,situation,none,my neighbors dog keeps pooping on my driveway
hit:2860_conv:5721,utterance,speaker,my neighbor has this big old dog that keeps pooping huge poops on my driveway
hit:2860_conv:5721,utterance,listener,"I hate that, did you ask them to stop"
hit:2860_conv:5721,utterance,speaker,"the owners don't care, they said yes they will keep the dog inside but never do"
hit:2860_conv:5721,utterance,listener,"That isnt good, sorry"
hit:6542_conv:13085,situation,none,"Last, my car glass was broken,"
hit:6542_conv:13085,utterance,speaker,"Last week, my car glass was broken by someone"
hit:6542_conv:13085,utterance,listener,What!? Did they steal anything?
hit:6542_conv:13085,utterance,speaker,"No. There was nothing to steal. Now, I need to pay to fix it. I am already having some financial issues."
hit:6542_conv:13085,utterance,listener,That's no good. Those windows are not cheep either. Hopefully it wont cost too much.
hit:4796_conv:9592,situation,none,Somebody called me fat the other day
hit:4796_conv:9592,utterance,speaker,"so i went to the gym the other day and i was using a traidmill and somebody told me ""get off the traidmill fat ***"""
hit:4796_conv:9592,utterance,listener,what???? That's terrible!! what a horrible person!
hit:4796_conv:9592,utterance,speaker,i was so furious! I'm not even that fat! that was so mean
hit:4796_conv:9592,utterance,listener,"I bet! I mean you pay for gym membership, you can stay on any equipment as long as you want!"
hit:8529_conv:17058,situation,none,Someone stole my package off my porch! This is ridiculous.
hit:8529_conv:17058,utterance,speaker,I ordered a bunch of video games and someone stole the box off my porch!
hit:8529_conv:17058,utterance,listener,"Wow that's awful, do you know who?"
hit:8529_conv:17058,utterance,speaker,Probably one of these kids around here. They were expensive too. All retro games from the 90s.
hit:8529_conv:17058,utterance,listener,I used to love the old starfox games.
hit:8529_conv:17058,utterance,speaker,That was one of them I ordered! It just makes me livid!
hit:3542_conv:7084,situation,none,I dropped my laptop and broke it.
hit:3542_conv:7084,utterance,speaker,I dropped my laptop and broke it.
hit:3542_conv:7084,utterance,listener,"Yikes, how much will it cost to replace?"
hit:3542_conv:7084,utterance,speaker,I'm not sure. Hopefully not too much.  I think I can just fix the screen.
hit:3542_conv:7084,utterance,listener,"That would be best, they can get expensive to fix"
hit:8699_conv:17398,situation,none,Someone took my phone when I was at work.  I am so mad about it.
hit:8699_conv:17398,utterance,speaker,Someone took my phone when I was at work.
hit:8699_conv:17398,utterance,listener,From your house? do you have any idea who did it?
hit:8699_conv:17398,utterance,speaker,It was at the office.  I have no clue who did it.  I am so mad about it!
hit:8699_conv:17398,utterance,listener,"I would be furious, they are expensive now a days!"
hit:604_conv:1208,situation,none,I was angry when my car peed on the rug.
hit:604_conv:1208,utterance,speaker,I was not happy when the car pissed on my new rug.
hit:604_conv:1208,utterance,listener,Oh no. can you wash it?
hit:604_conv:1208,utterance,speaker,Yes but I can never get the smell out.
hit:604_conv:1208,utterance,listener,"That is worrying, you might have to throw it out?"
hit:604_conv:1208,utterance,speaker,I probably will throw it out.
hit:3966_conv:7932,situation,none,I was pretty mad tonight when my friend canceled on me. I was wanting to go out
hit:3966_conv:7932,utterance,speaker,I was pretty upset tonight. My friend canceled plans on me
hit:3966_conv:7932,utterance,listener,Did they have a good reason?
hit:3966_conv:7932,utterance,speaker,None that they told me
hit:3966_conv:7932,utterance,listener,Well maybe you can reschedule and do something even more fun
hit:5506_conv:11012,situation,none,My sister flaked on babysitting and now I won't get to go out this weekend.
hit:5506_conv:11012,utterance,speaker,I had a fun weekend planned with my best friend'
hit:5506_conv:11012,utterance,listener,"That sounds nice, what did you do?"
hit:5506_conv:11012,utterance,speaker,Nothing. I;m not going
hit:5506_conv:11012,utterance,listener,"Oh, did something happen?"
hit:5506_conv:11012,utterance,speaker,MY babysitter flaked and left me hanging. I was so upset
hit:11078_conv:22157,situation,none,I'm so mad. My husband ate all my ice cream.
hit:11078_conv:22157,utterance,speaker,My husband finished the last of my favorite ice cream. That made me so mad.
hit:11078_conv:22157,utterance,listener,"I would be mad too, you should demand him to buy you more!"
hit:11078_conv:22157,utterance,speaker,"Oh trust me, I will. Might make him clean the house for it as well to make up for it."
hit:11078_conv:22157,utterance,listener,"Yeah, make him regret doing such a cruel thing."
hit:4783_conv:9566,situation,none,I found out my group of friends went to the beach last weekend and did not invite me for some reason. I don't really know why though?
hit:4783_conv:9566,utterance,speaker,I found out my group of friends went to the beach last weekend and did not invite me for some reason. I don't really know why though?
hit:4783_conv:9566,utterance,listener,That was rude. Did you confront them?
hit:4783_conv:9566,utterance,speaker,"I dont know how to, Im not really a confrontational person. What do you suggest?"
hit:4783_conv:9566,utterance,listener,I suggest you just ask them why they didn't invite you straight up. No need to sugarcoat the main topic
hit:5346_conv:10692,situation,none,Someone knocked all my documents off of my desk. They didnt even bother to pick them up. This really grinds my gears.
hit:5346_conv:10692,utterance,speaker,A coworker just knocked all the documents on my desk to the floor. It was an accident but they didnt even bother to help pick them up. Very rude I thought.
hit:5346_conv:10692,utterance,listener,Wow I would say the same! Accidents happen but come on pick them up. Im sorry!
hit:5346_conv:10692,utterance,speaker,"He didnt even apologize. Just shrugged his shoulders and kept going. Unreal, some people."
hit:5346_conv:10692,utterance,listener,"It really is unreal, but you know people are getting worse and worse these days,."
hit:5735_conv:11471,situation,none,I am upset that the US is trying to ban our right to bear arms.
hit:5735_conv:11471,utterance,speaker,I am upset that the US is trying to ban our right to bear arms.
hit:5735_conv:11471,utterance,listener,i agree.they are not taking my guns!
hit:5735_conv:11471,utterance,speaker,I really hope they do not pass any more laws about this.
hit:5735_conv:11471,utterance,listener,i  agrere
hit:2606_conv:5213,situation,none,I lost a game of DoTA today! My stupid teammates all left the game and I couldn't win on my own.
hit:2606_conv:5213,utterance,speaker,"I lost a game of DoTA today! I can't believe it, it wasn't even my fault."
hit:2606_conv:5213,utterance,listener,"If it wasn't your fault, then what caused you to lose?"
hit:2606_conv:5213,utterance,speaker,My stupid teammates all left the game. I was doing really well but couldn't win by myself.
hit:2606_conv:5213,utterance,listener,"Multiplayer games can be fun, but that's certainly a downfall to them!"
hit:6327_conv:12654,situation,none,My armadillo pooped on the rug last night. I was so mad.
hit:6327_conv:12654,utterance,speaker,My armadillo pooped on the rug last night.
hit:6327_conv:12654,utterance,listener,You have a pet armadillo?
hit:6327_conv:12654,utterance,speaker,I do! That little stinker always poops on the rug. I was so angry!
hit:6327_conv:12654,utterance,listener,I hope it gets potty trained.
hit:2240_conv:4480,situation,none,I am upset the baseball game got canceled.
hit:2240_conv:4480,utterance,speaker,I am upset the baseball game got canceled.
hit:2240_conv:4480,utterance,listener,I don't watch a lot of baseball but was it an important game?
hit:2240_conv:4480,utterance,speaker,"Yes, it was to see who made the playoffs."
hit:2240_conv:4480,utterance,listener,"Well, I'm sorry to hear that. Maybe they will reschedule it for a later date?"
hit:8268_conv:16537,situation,none,I had to go to the hospital last month when i got really sick and I was charged 400 dollars more than they said it would be.  I am ticked off to say the least.
hit:8268_conv:16537,utterance,speaker,I had to go to the hospital last month when i got really sick and I was charged 400 dollars more than they said it would be. I am ticked off to say the least.
hit:8268_conv:16537,utterance,listener,I hate when they do that. They make it so hard to pay for
hit:8268_conv:16537,utterance,speaker,"I didn't even agree to half the tests that they ran.  It gets my blood boiling and yes, it's so stressful.  I usually avoid going at all cost."
hit:8268_conv:16537,utterance,listener,They sound like a shady hospital to me
hit:8497_conv:16995,situation,none,I was walking up out of the kitchen yesterday and I spilled my bowl of cereal all over myself.
hit:8497_conv:16995,utterance,speaker,I was walking out of the kitchen yesterday and I spilled my bowl of cereal all over myself.
hit:8497_conv:16995,utterance,listener,Were able to save any of it
hit:8497_conv:16995,utterance,speaker,Yes I saved a small amount and added more. I get bothered by my clumsiness.
hit:8497_conv:16995,utterance,listener,It happens to all of us
hit:11939_conv:23878,situation,none,i got the wrong item
hit:11939_conv:23878,utterance,speaker,i ordered a limited editon tshirt from my favorite band and they sent the wrong size
hit:11939_conv:23878,utterance,listener,Were you able to return it?
hit:11939_conv:23878,utterance,speaker,yes but i dont know if i should. they said they are out of my size.
hit:11939_conv:23878,utterance,listener,Does it fit. Id just have them send me a new one when it comes back in stock. Its their mistake.
hit:3153_conv:6306,situation,none,I was so mad when I got a flat tire last weekend. It was in traffic as well
hit:3153_conv:6306,utterance,speaker,I was so mad last week when I got a flat. It was in traffic too
hit:3153_conv:6306,utterance,listener,That's a bummer. Did you get it repaired?
hit:3153_conv:6306,utterance,speaker,I did after a few hours
hit:3153_conv:6306,utterance,listener,"Well, that's good. At least everything turned out okay in the end."
hit:9074_conv:18149,situation,none,I went to the supermarket and as i was getting all of my stuff out of my cart they closed my line.  I had to put my stuff back in my cart and change lanes
hit:9074_conv:18149,utterance,speaker,I got really mad at the supermarket today.  I felt like they shouldnt treat customers like that
hit:9074_conv:18149,utterance,listener,What happened? Are you ok?
