Dialog_ID,Type,Actor,Text
hit:9991_conv:19983,situation,none,This new printer really grinds my gears!!!
hit:9991_conv:19983,utterance,speaker,You know what really grinds my gears???
hit:9991_conv:19983,utterance,listener,"What really grinds your gears, friend? Rotten potatoes? Beverly hillbillies?"
hit:9991_conv:19983,utterance,speaker,The new printer we got at work!!!!!!!!! It's so frustrating!!
hit:9991_conv:19983,utterance,listener,I hate mine too! I want to smash that thing with a sledgehammer!
hit:9991_conv:19983,utterance,speaker,We should take it out in the field!!
hit:6084_conv:12169,situation,none,"My boss can be so bothersome at times.  He will give us a bunch of work to do, but want to sit there and talk to us at length while we are trying to concentrate on our tasks!"
hit:6084_conv:12169,utterance,speaker,"My boss can be so bothersome at times. He will give us a bunch of work to do, but want to sit there and talk to us at length while we are trying to concentrate on our tasks!"
hit:6084_conv:12169,utterance,listener,Bosses are sometimes unaware it seems
hit:6084_conv:12169,utterance,speaker,He is totally oblivious to the fact that we are so busy.  It drives me insane!
hit:6084_conv:12169,utterance,listener,I would hate working there
hit:8916_conv:17832,situation,none,My husband and I recently decided to get a puppy. I was extremely excited after we put the deposit down. When I went to tell my mom she immediately started talking badly about our decision. I got really upset about her reaction and was very frustrated with her.
hit:8916_conv:17832,utterance,speaker,"My husband and I recently decided we are going to get a puppy! I was really excited when I put the deposit down, but when I went to tell my mom about it she got really negative and talked badly about our decision. It was really frustrating and made me not feel great."
hit:8916_conv:17832,utterance,listener,What was she so negative?
hit:8916_conv:17832,utterance,speaker,The dog breed we decided on is a rather large one and she was worried that we hadn't done our research. We have young children so she was concerned we didn't think about them first.
hit:8916_conv:17832,utterance,listener,What kind of dog is it?
hit:4345_conv:8691,situation,none,My mom makes me babysit my nephew all the time. I am sick of it. He is a brat.
hit:4345_conv:8691,utterance,speaker,My mom makes me babysit my nephew all the time.
hit:4345_conv:8691,utterance,listener,I would not want to be in your position it's ok to help but all the time it can be dreadful.
hit:4345_conv:8691,utterance,speaker,I am sick of it. He is a brat.
hit:4345_conv:8691,utterance,listener,It will get better put your foot down and maybe say no in a nice way to not step on any ones toes.
hit:980_conv:1960,situation,none,"I go grocery shopping on Saturday morning, and my adult son has the weekend off and he proceeds to sit around all weekend eating all the food with zero self control."
hit:980_conv:1960,utterance,speaker,My son sits around all weekend and eats everything.
hit:980_conv:1960,utterance,listener,Tell him to get out and do something! That must be frustrating.
hit:980_conv:1960,utterance,speaker,"Well, he pays rent but he definitely uses up more resources than he pays for."
hit:980_conv:1960,utterance,listener,Its hard being a parent... but i am sure you are doing it right!
hit:980_conv:1960,utterance,speaker,"Well, I try. I moved to Alabama after the divorce and the kids hate it here."
hit:9114_conv:18229,situation,none,I've been waiting for my husband to build my new furniture and he's taking forever!
hit:9114_conv:18229,utterance,speaker,I've been waiting for my husband to build my new furniture and he's taking forever!
hit:9114_conv:18229,utterance,listener,Oh wow. I'm impressed he can make furniture! Is he busy?
hit:9114_conv:18229,utterance,speaker,He just needs to assemble it lol he's tired from work but I'm impatient!
hit:9114_conv:18229,utterance,listener,Awww give him some time. I'm sure he'll get to it eventually.
hit:8497_conv:16994,situation,none,I am kind of irritated at the moment. My brother fell asleep on the couch where the tv is.
hit:8497_conv:16994,utterance,speaker,I am kind of irritated right now. My brother feel asleep on the couch where the tv is
hit:8497_conv:16994,utterance,listener,That's interesting I have a tv by my couch as well. You have good taste.
hit:8497_conv:16994,utterance,speaker,"Yeah, I wish I could watch it, but I cannot"
hit:8497_conv:16994,utterance,listener,Oh I didn't realize your brother had control of it because he slept there. Hopefully he finds another spot more comfy.
hit:758_conv:1516,situation,none,People are always parking in front of my apartment. It really gets on my nerves.
hit:758_conv:1516,utterance,speaker,My neighbors always have company. People are constantly parking in fron of my apartent.
hit:758_conv:1516,utterance,listener,Oh no. Is there a lot of parking available?
hit:758_conv:1516,utterance,speaker,"It a small complex, and visitor parking is far. That's where they should park though. Its annoying"
hit:758_conv:1516,utterance,listener,I agree. I had an apartment with limited parking and people that didn't live there always parked there anyway.
hit:7501_conv:15003,situation,none,my computer wont ever work like I need it too. but I cant buy a new one.
hit:7501_conv:15003,utterance,speaker,"My computer is never doing what I tell it too, its so complicated."
hit:7501_conv:15003,utterance,listener,You must use it a lot. You will understand it soon
hit:7501_conv:15003,utterance,speaker,"I do use it everyday, I guess I just need more practice."
hit:7501_conv:15003,utterance,listener,yeah you will do it for sure. i know it
hit:8311_conv:16623,situation,none,MY daughter knows that I am not paying attention to her yet she is still talking.
hit:8311_conv:16623,utterance,speaker,I work from home
hit:8311_conv:16623,utterance,listener,"Nice, that's very convenient, do you enjoy it?"
hit:8311_conv:16623,utterance,speaker,I do. My daughter has been talkong t me for abot 20 minutes. She knows that I'm not lisstening. yet she continues
hit:8311_conv:16623,utterance,listener,"Haha, she doesn't understand that you're at work!"
hit:8311_conv:16623,utterance,speaker,I know! I can't wait untile she gets a job so I can go and talk her face off
hit:5594_conv:11189,situation,none,"I have not been in the best mood today. It's hot, I have no energy and my two girly dogs want to be right on top of me all day."
hit:5594_conv:11189,utterance,speaker,I have not been in the best mood today.
hit:5594_conv:11189,utterance,listener,I'm sorry to hear that. Is something wrong?
hit:5594_conv:11189,utterance,speaker,"Oh many things, I guess it manifests in making everything get on my nerves. I hope I feel better tomorrow because I hate being in a bad mood ever."
hit:5594_conv:11189,utterance,listener,LIttle things build up sometimes. I hope you feel better as well.
hit:5594_conv:11189,utterance,speaker,Thank you! So kind- I am trying!
hit:6208_conv:12417,situation,none,"Sometime, I have problem respecting my sleep schedule. So I wake up tired."
hit:6208_conv:12417,utterance,speaker,"Sometime, I have problem respecting my sleep schedule. So I wake up tired."
hit:6208_conv:12417,utterance,listener,It's hard to change habits sometimes.
hit:6208_conv:12417,utterance,speaker,"Sometime, for no valid reason, I cannot find sleep."
hit:6208_conv:12417,utterance,listener,Can you be insomniac?
hit:6673_conv:13346,situation,none,I hate when people move in late at night and decide to also hang their pictures up.
hit:6673_conv:13346,utterance,speaker,I hate when people move in late at night
hit:6673_conv:13346,utterance,listener,OMG I know! It's impossible to sleep :( I'm sorry that happened to you.
hit:6673_conv:13346,utterance,speaker,"Worse that all of the furniture, my new neighbors decided to hang pictures too. AGH!!!!"
hit:6673_conv:13346,utterance,listener,Those scoundrels! How can they get away with that?
hit:6673_conv:13346,utterance,speaker,I already dont like them lol
hit:8504_conv:17009,situation,none,I really can't stand my printer
hit:8504_conv:17009,utterance,speaker,I really hate my printer
hit:8504_conv:17009,utterance,listener,Is it acting crazy or just not working?
hit:8504_conv:17009,utterance,speaker,That stupid thing is always acting up.
hit:8504_conv:17009,utterance,listener,"You could name it Bob Marley since it's always ""jammin"" lol I couldn't resist"
hit:8504_conv:17009,utterance,speaker,HAHA.  That's hilarious!  I might do that before I take it out to the field with a baseball bat!
hit:8504_conv:17009,utterance,listener,"Record it and have a ""Office Space"" moment with it lol"
hit:8504_conv:17009,utterance,speaker,Haha.  Feels good to be a gangsta!
hit:8351_conv:16702,situation,none,My friend got drunk over the weekend and I had to take care of him. It was pretty irritating
hit:8351_conv:16702,utterance,speaker,My friend got drunk over the weekend and I had to take care of him. It was pretty irritating
hit:8351_conv:16702,utterance,listener,How drunk was he?
hit:8351_conv:16702,utterance,speaker,He was just slurring words and saying dumb things
hit:8351_conv:16702,utterance,listener,"Oh, yeah I get it though, you do not get paid to babysit"
hit:6207_conv:12415,situation,none,My husband leaves his dirty clothes around and it's annoying.
hit:6207_conv:12415,utterance,speaker,I got really annoyed at my husband the other day when he left his dirty clothes hanging around.
hit:6207_conv:12415,utterance,listener,Ugh! Why can't people pick up after themselves! I'd be frustrated too.
hit:6207_conv:12415,utterance,speaker,I hate mess and clutter. It makes me anxious.
hit:6207_conv:12415,utterance,listener,I feel you on that! I need to have a clean space!
hit:6207_conv:12415,utterance,speaker,It makes me so much calmer!
hit:858_conv:1716,situation,none,I just got new neighbors and they are so loud.
hit:858_conv:1716,utterance,speaker,My new neighbors are terrible
hit:858_conv:1716,utterance,listener,That sucks... what are they doing?
hit:858_conv:1716,utterance,speaker,They've been here a week and they are so loud.
hit:858_conv:1716,utterance,listener,I know there probably isnt much you can do. :/ I hope it gets better...
hit:9333_conv:18666,situation,none,"I bought some fast food, and the cashier refused to give my a receipt! I had to ask the manager to print me one."
