Dialog_ID,Type,Actor,Text
hit:7219_conv:14439,situation,none,In a couple weeks my wife and I will be finding out the gender of our second child
hit:7219_conv:14439,utterance,speaker,In just two weeks my wife and I will get to find out the gender of our second kid!
hit:7219_conv:14439,utterance,listener,"oh thats nice, it's a happy thing to expect a child"
hit:7219_conv:14439,utterance,speaker,"Yeah we're pretty pumped, can't wait."
hit:7219_conv:14439,utterance,listener,Congratulations buddy
hit:8186_conv:16373,situation,none,waiting on a package to come
hit:8186_conv:16373,utterance,speaker,Im so ready waiting for my package to arrive today.
hit:8186_conv:16373,utterance,listener,I love package delivery days!  I've got a couple coming as well.  What are you waiting for?
hit:8186_conv:16373,utterance,speaker,I am waiting on a fitness machine to come.
hit:8186_conv:16373,utterance,listener,"Oh wow, a big package!  Hope you enjoy it!"
hit:5077_conv:10155,situation,none,I can't wait for school to start. I love to learn!
hit:5077_conv:10155,utterance,speaker,I really like to learn and I'm so ready to go back to school. I can't wait for classes to start!
hit:5077_conv:10155,utterance,listener,Congratulations! What are you studying?
hit:5077_conv:10155,utterance,speaker,Physics. I'm in my senior year so I can really explore the complicated subjects now.
hit:5077_conv:10155,utterance,listener,"Wow, that subject was always tough for me in school. Good for you!"
hit:4368_conv:8737,situation,none,"My girlfriend is mad at me, and I feel like when we try to have another discussion tomorrow about why we're fighting, she's just going to get even more angry with me. We're not the best at communicating."
hit:4368_conv:8737,utterance,speaker,"My girlfriend is mad at me, and I feel like when we try to have another discussion tomorrow about why we're fighting, she's just going to get even more angry with me. We're not the best at communicating."
hit:4368_conv:8737,utterance,listener,Do you guys fight often?? How do they usually turn out?
hit:4368_conv:8737,utterance,speaker,"In the early days of our relationship, we did. But then we matured in life and in our relationship, and our communication did improve a little. But I feel like she's so rash and overreactionary and sensitive at times.I want to put off arguments until we cool off, and she wants to have them immediately. We clash sometimes when it comes to perspectives."
hit:4368_conv:8737,utterance,listener,Are your political views the same? and do you think this next fight will end well?
hit:4368_conv:8737,utterance,speaker,We have relatively the same political views. It's never about that kind of stuff. It's more personal stuff. The next fight will probably be better if she isn't as tired. We'll see.
hit:6866_conv:13733,situation,none,I really like the Marvel Universe. I can't wait for the next movie to come out!
hit:6866_conv:13733,utterance,speaker,I'm a big fan of superhero movies. I can't wait for the next Marvel Universe movie to come out!
hit:6866_conv:13733,utterance,listener,Those movies are amazing.  I loved the last one with Thanos.  He was a cool character.
hit:6866_conv:13733,utterance,speaker,He really is! I love a good villian!
