Dialog_ID,Type,Actor,Text
hit:6974_conv:13949,situation,none,I have a big presentation at work coming up. This is my first one. I am really nervous.
hit:6974_conv:13949,utterance,speaker,I am so nervous. I have a big presentation coming up at work.
hit:6974_conv:13949,utterance,listener,I'm sure you'll do fine if you practice enough!
hit:6974_conv:13949,utterance,speaker,I feel prepared but it is my first presenting data in front of management. My nerves are real bad. I just want to get it over with.
hit:6974_conv:13949,utterance,listener,"Understandably so, I get nervous during presentations too. Take some deep breaths and you'll pull through!"
hit:10406_conv:20812,situation,none,"Thieves came to break into our compound last week, but was caught"
hit:10406_conv:20812,utterance,speaker,"Thieves wanted to break into my compound , when they were caught,  I was eager to see their faces"
hit:10406_conv:20812,utterance,listener,It was difficult for you
hit:10406_conv:20812,utterance,speaker,"Yeah,  because the police won't let me see them"
hit:10406_conv:20812,utterance,listener,Try to take care of yourself
hit:10791_conv:21582,situation,none,It was my first day ever teaching high school. I have only ever taught elemebtary school and I was so scared to make a fool of myself
hit:10791_conv:21582,utterance,speaker,I have been a teacher for over 10 years. But have only taught the little kids. This year my district moved me up to the high school.
hit:10791_conv:21582,utterance,listener,"That's a really big change, are you nervous?"
hit:10791_conv:21582,utterance,speaker,I was- Monday was my first day. My goal was not to make a fool out myself.
hit:10791_conv:21582,utterance,listener,"10 years of teaching experience, I'm sure you'll end up having a great year! Don't stress too much."
hit:3773_conv:7546,situation,none,I waited for two weeks for my final grades. It was wful.
hit:3773_conv:7546,utterance,speaker,I waited for two weeks for my final grades. It seemed to take forever to get them. I couldn't stand it.
hit:3773_conv:7546,utterance,listener,I bet you were a nervous wreck. I hope they turned out well.
hit:3773_conv:7546,utterance,speaker,It was worth the wait. I ended with a 3.8 gpa.
hit:3773_conv:7546,utterance,listener,That's pretty good!  That should qualify for you to graduate with honors.
hit:4577_conv:9154,situation,none,Uni is starting up soon and im nervous
hit:4577_conv:9154,utterance,speaker,Uni is starting up soon and im nervous
hit:4577_conv:9154,utterance,listener,Why are you nervous?
hit:4577_conv:9154,utterance,speaker,well a new semester is always intimidating
hit:4577_conv:9154,utterance,listener,Really?
hit:8268_conv:16536,situation,none,I have to go to jury duty later this week. I am pretty nervous about it
hit:8268_conv:16536,utterance,speaker,I have to go to jury duty later this week. I am real nervous about it
hit:8268_conv:16536,utterance,listener,I bet you'll do great.  I would be nervous too.  Hopefully it won't be anything too serious and more cut and dry decision.  Have you gone before?
hit:8268_conv:16536,utterance,speaker,"I have gone way back in the day, I honestly don't remember what happened"
hit:8268_conv:16536,utterance,listener,i have never been before since I was either very ill or had babies/kids.  Good luck and don't stress too much. You'll be great!
hit:5052_conv:10104,situation,none,"My fiance works as a technician installing internet at peoples homes, and they are always tipping him. Often with food and it makes me nervous sometimes."
hit:5052_conv:10104,utterance,speaker,"My fiance works as a technician installing internet at peoples homes, and they are always tipping him. Often with food and it makes me nervous sometimes."
hit:5052_conv:10104,utterance,listener,Im sorry about that. Dont be nervous though. He is a loyal person I bet
hit:5052_conv:10104,utterance,speaker,"I mean he wont let me eat anything people give him but I wish he would just toss stuff, you never know what kind of people are out there. Especially if they are upset with the company he is working for."
hit:5052_conv:10104,utterance,listener,What is the name of the company?
hit:3400_conv:6800,situation,none,I was very nervous going to jury duty. I just did not want to go
hit:3400_conv:6800,utterance,speaker,I was nervous going to jury duty. I just did not want to go
hit:3400_conv:6800,utterance,listener,oh yea i can imagine
hit:3400_conv:6800,utterance,speaker,"It was okay in the end, but at the time I did not feel good"
hit:3400_conv:6800,utterance,listener,yea seems very boring
hit:4628_conv:9256,situation,none,I was getting ready to give a big presentation at work.  I was really prepared but I still felt super nervous about it.
