Dialog_ID,Type,Actor,Text
hit:10325_conv:20651,situation,none,I got a call from my sisters boyfriend saying she had been in a wreck and was life flighted to a hospital. I had to drive 2 hours to get to where she was without knowing any details about her condition.
hit:10325_conv:20651,utterance,speaker,I got a call from my sister's boyfriend that she was in a car wreck and was being life-flighted to the hospital with no information on her condition. Just that I need to get there quick.
hit:10325_conv:20651,utterance,listener,Oh my goodness! Is she going to be alright?
hit:10325_conv:20651,utterance,speaker,"It was a nightmare because I had a two hour drive to get to where she was with no update on her at all. The unknown during that time was horrific. But, yes, she will be ok."
hit:10325_conv:20651,utterance,listener,"The unknown is always so scary, but especially in your case! I'm so happy that she's going to be ok. Hopefully that puts you more at ease now."
hit:10348_conv:20697,situation,none,I got tensed when my reslt didnt come out with others
hit:10348_conv:20697,utterance,speaker,"I felt i wouldnt succeed,"
hit:10348_conv:20697,utterance,listener,What were you trying to do?
hit:10348_conv:20697,utterance,speaker,I took exams and got tensed when the result did not show up
hit:10348_conv:20697,utterance,listener,Did they ever come?
hit:10076_conv:20153,situation,none,"With all the fires and thing happening in the world,  I don't know what will happen in the near future if Global Warming is not stopped."
hit:10076_conv:20153,utterance,speaker,I don't know what will happen in the future if Global Warming is not stopped.
hit:10076_conv:20153,utterance,listener,Well from what i have read we will all be drowning which isn't good.
hit:10076_conv:20153,utterance,speaker,"And the fires too, there have been a lot of those lately, seems that worse than ever."
hit:10076_conv:20153,utterance,listener,Yeah forest fires are getting really bad.
hit:2950_conv:5900,situation,none,I've been reluctant to confront my mother on her stealing my money. I know what she's doing is wrong but she is mother after all.
hit:2950_conv:5900,utterance,speaker,I've been reluctant to confront my mother on her stealing my money. I know what she's doing is wrong but she is mother after all.
hit:2950_conv:5900,utterance,listener,Oh wow. I have no advice there.
hit:2950_conv:5900,utterance,speaker,I've been stuck between a rock and hard place. I've been very apprehensive and don't know what to do.
hit:2950_conv:5900,utterance,listener,Maybe you should calming ask about it.
hit:2053_conv:4107,situation,none,My first pregnancy did not go to plan.  I developed Hellp syndrome and it was very touch and go there for awhile.  both of us came close to not surviving.
hit:2053_conv:4107,utterance,speaker,"My first pregnancy did not go as planned at all - in fact, it will probably go down as the most scary time in my life."
hit:2053_conv:4107,utterance,listener,Oh no! What happened? I can't imagine having to go through something that scary.
hit:2053_conv:4107,utterance,speaker,"Things were fine until 36 weeks.  Then all you know what happened.  I developed HELLP syndrome, my organs started shutting down, blood pressure was super high.  Had an emergency c-section and in the hospital for over a week after - came close to losing both of us."
hit:2053_conv:4107,utterance,listener,Holy moly! I am so glad you are okay. I'm sure that gave you quite a fright.
hit:11750_conv:23501,situation,none,ordering something from a sketchy website
hit:11750_conv:23501,utterance,speaker,"i was going to order some tshirts online,but the website is from the ukrane and seems pretty sketchy"
hit:11750_conv:23501,utterance,listener,"i agree with you there, I do not trust those eastern bloc countries."
hit:11750_conv:23501,utterance,speaker,"it just did not seem like a safe pay site. so even though i cannot find these items anywhere else, i decided not to buy"
hit:11750_conv:23501,utterance,listener,"you made a wise choice, not only will you not get your t-shirt most likely they will steal your credit card information and use it"
hit:10851_conv:21703,situation,none,I'm waiting to hear back on whether or not I got the loan approved. I'm running in circles all bent out of shape about it.
hit:10851_conv:21703,utterance,speaker,I applied for a home loan and I'm waiting to hear back on it. The waiting is driving me up a wall.
hit:10851_conv:21703,utterance,listener,can't you place a call to them?
hit:10851_conv:21703,utterance,speaker,I have. It's taking them extra long for some reason. All the scrutiny is making me run circles.
hit:10851_conv:21703,utterance,listener,I just think you should just be optimistic and patient
hit:10851_conv:21703,utterance,speaker,"I will try, thank you."
hit:5873_conv:11747,situation,none,I found out the my girlfriend's mom had diead. I had to tell her the news myself since she didn't have any other family to tell her. I've been dreading having to actually say it.
hit:5873_conv:11747,utterance,speaker,I got the news that my girlfriend's mom passed away. I have to tell her the news myself since she has no other close family. I'm dreading having to actually say it to her.
hit:5873_conv:11747,utterance,listener,"first of all my condolences for your friend, and i know how hard this is for you both"
hit:5873_conv:11747,utterance,speaker,Thank you very much. It is very upsetting.
hit:5873_conv:11747,utterance,listener,"ya it feels so weak to be in that place , but you should only give the strength required for your friend to overcome this situation"
hit:5873_conv:11747,utterance,speaker,I hope I'm able to. I've never really been a pillar of strength myself.
hit:5873_conv:11747,utterance,listener,"you can do it , i pray that you both overcome this situation with peace."
hit:5865_conv:11731,situation,none,I don't want to go on this date.
hit:5865_conv:11731,utterance,speaker,I don't want to go on this Tinder date. Nothing good will come of it.
hit:5865_conv:11731,utterance,listener,Don't be so negative about it. Maybe you'll really like the person.
hit:5865_conv:11731,utterance,speaker,"I doubt it, I'd rather not waste my time."
hit:5865_conv:11731,utterance,listener,So then just let the person know you can't make it. There's no reason to waste that person's time.
hit:1170_conv:2340,situation,none,I am on the fence about pursuing a promotion opportunity at my work.  I am nervous that I may not interview well.
hit:1170_conv:2340,utterance,speaker,I am on the fence about pursuing a promotion opportunity at my work. I am nervous that I may not interview well.
hit:1170_conv:2340,utterance,listener,Don't be.I am sure you are ready.
hit:1170_conv:2340,utterance,speaker,I hope so.  I guess I am just fearful of rejection.
hit:1170_conv:2340,utterance,listener,We all are.
hit:6505_conv:13011,situation,none,ordering something onliine
hit:6505_conv:13011,utterance,speaker,i wanted to order this miracle cure online but dont know if i should
hit:6505_conv:13011,utterance,listener,I don't think you should. Those are often scams.
hit:6505_conv:13011,utterance,speaker,it does look too good to be true
hit:6505_conv:13011,utterance,listener,Usually if you feel that way it is. Try to research alternate cures that actually will work better.
hit:2162_conv:4324,situation,none,When I first started my current job I was very scared. I had to psyche myself up in order to just walk through the front door. I had never worked in that field before and was terrified I would do a bad job. I read self help books with positive outcomes in order to get through the first few weeks.
hit:2162_conv:4324,utterance,speaker,I was so scared when I started my most current job that I had to trick myself into being less shy.
hit:2162_conv:4324,utterance,listener,New people make me so nervous.
hit:2162_conv:4324,utterance,speaker,Me too! I sat in the parking lot for an hour reading a self help book just to be able to 'fake it' by seeming outgoing.
hit:2162_conv:4324,utterance,listener,I have never tried one of those. Did it help?
hit:2162_conv:4324,utterance,speaker,"Surprisingly, yes! It had quick little stories of people overcoming difficult social situations. It must have been good for me because I am still there 10 years later. haha"
hit:2162_conv:4324,utterance,listener,Well that's pretty cool. You should own the joint by now.
hit:8249_conv:16498,situation,none,I homeschool and am used to schooling one child but now I started 2 kids in school this year and I'm not sure if I'll be able to juggle it well.
hit:8249_conv:16498,utterance,speaker,I homeschool and am used to schooling one child but now I started 2 kids in school this year and I'm not sure if I'll be able to juggle it well.
hit:8249_conv:16498,utterance,listener,"That would be hard, can one work independently?"
hit:8249_conv:16498,utterance,speaker,For some things they both can work independently so I'm trying to pair those subjects up and then do some subjects together with both of them.  I hope I'm doing well enough!
hit:8249_conv:16498,utterance,listener,"I'm sure you are doing an amazing job, you seem to care which makes you a great parent."
hit:11987_conv:23975,situation,none,When I was at the pool and some guy came in wearing all dark clothing and a bookbag.
hit:11987_conv:23975,utterance,speaker,"The other day I was swimming with my daughter in the gated community pool, and some guy asked to get in and that he had "" forgot his access card "" to unlock the gate."
hit:11987_conv:23975,utterance,listener,"That would make me nervous! you never know what kind of person it could be, a predator perhaps."
hit:11987_conv:23975,utterance,speaker,"Exactly what I was thinking since he didnt have his card, but also was wearing jeans and a bookbag! Nothing that one would wear or bring to a pool."
hit:11987_conv:23975,utterance,listener,True!
hit:10394_conv:20788,situation,none,"I was invited to go to Turkey recently by a friend, but I still haven't gotten back to him because I've heard such bad things about the political situation there right now."
hit:10394_conv:20788,utterance,speaker,"My friend invited me to visit him in the new country he moved to, but I've heard such bad things about it that I'm afraid to go, and I keep putting it off."
hit:10394_conv:20788,utterance,listener,I would be careful. There is a lot of unrest in the world right now.
hit:10394_conv:20788,utterance,speaker,That's what I'm thinking. But how do I say that to him without coming off ignorant and offensive?
hit:10394_conv:20788,utterance,listener,"I would just have a heart to heart with him. I guess I would be honest. You want to please him but you have to take care of yourself, too."
hit:6032_conv:12064,situation,none,"I really dont know what to expect after all, i've done my best, ill leave the rest to fate"
hit:6032_conv:12064,utterance,speaker,"I work with a commercial bank,the place was burgled my criminals ,i was the one on duty that fateful day"
hit:6032_conv:12064,utterance,listener,im glad you were not harmed
hit:6032_conv:12064,utterance,speaker,but i really dont know what could happen next as i was being accused since i was the one on duty .Im the  security officer in charge
hit:6032_conv:12064,utterance,listener,"im sorry, im sure it wasnt your fault"
hit:12144_conv:24289,situation,none,I used to be nervous if someone tried to confront me or start a fight...but since I've taken up boxing mma and wrestling I really don't fear anybody
hit:12144_conv:24289,utterance,speaker,"I used to get nervous and anxious whenever someone would try to start a fight or argument with me...now I don't ever back down, and it helps I've been boxing and wrestling for 5 years"
hit:12144_conv:24289,utterance,listener,I am glad to hear that. It can take a lot for some people to be confident like that. I am glad you got over your issues with it.
hit:12144_conv:24289,utterance,speaker,Yes too many people talk a big game but can't back it up.  Sometimes I just want someone to blatantly talk crap so I don't have to do any talking hahaha
hit:12144_conv:24289,utterance,listener,"Yeah, I know exactly what you mean."
hit:11052_conv:22104,situation,none,School starts back in 2 weeks.  I'm a bit nervous about the new students/class that I will have.
hit:11052_conv:22104,utterance,speaker,I'm a teacher and school starts back in two weeks.
hit:11052_conv:22104,utterance,listener,are you excited to get back to work?
hit:11052_conv:22104,utterance,speaker,"Yes, but i'm also getting nervous about meeting my new class."
hit:11052_conv:22104,utterance,listener,I'm sure the students are nervous about meeting their new teacher as well.
hit:10844_conv:21689,situation,none,I am a little bit uncomfortable with knowing that my Ex has HIV
hit:10844_conv:21689,utterance,speaker,I am a little bit uncomfortable with knowing that my Ex has HIV
hit:10844_conv:21689,utterance,listener,Oh my goodness thats terrible. How did you find out?
hit:10844_conv:21689,utterance,speaker,the sister told me. I think I will go and check my status as well
hit:10844_conv:21689,utterance,listener,I believe that's for the best. You should get regularly tested after this. I hope the best for you.
hit:4703_conv:9407,situation,none,to let my daughter go in the pool without her swimmies.
hit:4703_conv:9407,utterance,speaker,My daughter begged me to let her go in the pool with her swimmies. ( inflatable safety gear )
hit:4703_conv:9407,utterance,listener,Did you let her?
hit:4703_conv:9407,utterance,speaker,Yes but I was scared but I trusted her!
hit:4703_conv:9407,utterance,listener,"I get that, swimming can be dangerous for kids"
hit:1535_conv:3070,situation,none,I am a little nervous.  I am starting a new job on Friday.
hit:1535_conv:3070,utterance,speaker,I am a little nervous. I am starting a new job on Friday
hit:1535_conv:3070,utterance,listener,"Oh man, I know the nerves can be rough, but I'm sure you're excited as well. But yea, throwing yourself into a group of new people can be rough."
hit:1535_conv:3070,utterance,speaker,I know.  I was at the last place 5 years.  So its been awhile since I was the new person.
hit:1535_conv:3070,utterance,listener,"Oh wow. Well, I really hope you enjoy the new job! I have a feeling you'll do just fine."
hit:4726_conv:9452,situation,none,"I got asked to go on a cruise but, I'm not sure if I should."
hit:4726_conv:9452,utterance,speaker,"I got asked to go on a cruise but, I'm not sure if I should."
hit:4726_conv:9452,utterance,listener,Cruises are fun. What is the problem?
hit:4726_conv:9452,utterance,speaker,Do I really want to spend two weeks in a room with someone I don't know really really well?
hit:4726_conv:9452,utterance,listener,Two weeks is a long time.
hit:4726_conv:9452,utterance,speaker,Indeed it is
hit:4726_conv:9452,utterance,listener,I wouldnt risk it
hit:10264_conv:20529,situation,none,"I remember when I was younger, our teachers would provide us with pancakes every Tuesday. I miss those days."
hit:10264_conv:20529,utterance,speaker,I miss the good old days when we would be given pancakes on Tuesdays at school. I loved pancake Tuesdays.
hit:10264_conv:20529,utterance,listener,Mmm that sounds delicious. There is always time to make pancake Tuesdays at home!
hit:10264_conv:20529,utterance,speaker,"Haha yeah, but it doesn't feel the same because I miss being able to enjoy it with all my classmates. It was always a great time full of laughter and chatter"
hit:10264_conv:20529,utterance,listener,"I see, memories will always stay, sometimes good old days just can't come back."
hit:222_conv:445,situation,none,I was traveling to my daughters new house at night and I was feeling a little anxious about not finding her house.
hit:222_conv:445,utterance,speaker,I started feeling a little anxious when my GPS just shut off
hit:222_conv:445,utterance,listener,Were you using it to get to a specific place?
hit:222_conv:445,utterance,speaker,"yes, I was traveling to my daughters new house"
hit:222_conv:445,utterance,listener,I hope you were able to get it turned right back on in order to have directions to get where you were going.
hit:11609_conv:23219,situation,none,I was apprehensive when I went to my doctor's appointment.  They're doing tests for cancer.
hit:11609_conv:23219,utterance,speaker,I went to the doctor on Monday.
hit:11609_conv:23219,utterance,listener,That is smart of you. How did it go?
hit:11609_conv:23219,utterance,speaker,Not fun.  They did a biopsy.
hit:11609_conv:23219,utterance,listener,I am sure you will be OK. The doctors can be very scary sometimes but most people get scared about things that aren't worth it.
hit:11609_conv:23219,utterance,speaker,Thanks for that!  I'm hoping there's nothing wrong.
hit:10163_conv:20326,situation,none,I had a c-section planned to deliver my baby. I was excited about seeing her but nervous about the surgery.
hit:10163_conv:20326,utterance,speaker,I had a c-section scheduled to have my baby. I was very excited about seeing her but very nervous about the surgery.
hit:10163_conv:20326,utterance,listener,Did  you layer had the surgery?
hit:10163_conv:20326,utterance,speaker,I had the surgery and everything went great. I was glad it was over!
hit:10163_conv:20326,utterance,listener,"Oh,congrats dear"
hit:6177_conv:12354,situation,none,"Yesterday, my mom came home late. I was very worried. I prayed until she came home."
hit:6177_conv:12354,utterance,speaker,Yesterday I was very worried
hit:6177_conv:12354,utterance,listener,I'm sorry to hear that. What were you worried about?
hit:6177_conv:12354,utterance,speaker,My mom came home late. I prayed until she came!
hit:6177_conv:12354,utterance,listener,Was she ok?
hit:6177_conv:12354,utterance,speaker,Yes she is. Thanks for asking
hit:1938_conv:3877,situation,none,to believe my friend who said she didnt tell my secret
hit:1938_conv:3877,utterance,speaker,"My friend says she didnt tell anyone my secret, but idk how i feel about that."
hit:1938_conv:3877,utterance,listener,what exactly were you referring to
hit:1938_conv:3877,utterance,speaker,i think she might have lied to me but im not sure
hit:1938_conv:3877,utterance,listener,oh try to politely get the truth by speaking in a diplomatic manner by not hurting her ego
hit:9565_conv:19130,situation,none,I am supposed to give a big speech soon. It is making me a little nervous.
hit:9565_conv:19130,utterance,speaker,I am supposed to give a big speech soon.
hit:9565_conv:19130,utterance,listener,dont bee nervous about it panic only makes it worst how are you handling it?
hit:9565_conv:19130,utterance,speaker,"I am okay over all, I have done it before, it just has been a few years."
hit:9565_conv:19130,utterance,listener,well i really wish you the best and hope everything goes well
hit:1664_conv:3328,situation,none,I was nervous when I was trying to drive where I wasn't familiar
hit:1664_conv:3328,utterance,speaker,I was nervous when I was trying to drive where I wasn't familiar
hit:1664_conv:3328,utterance,listener,Did you practice first in a parking lot?
hit:1664_conv:3328,utterance,speaker,"No, I was used to driving, just going somewhere I had not before"
hit:1664_conv:3328,utterance,listener,Did you use GPS?
hit:431_conv:863,situation,none,Who knows what the future hold? All is in Gods hands! Take no thought about the morrow
hit:431_conv:863,utterance,speaker,"Growing up  ,I had prospects,would I be rich ,or would I be poor ,lingered on my mind..Lol!"
hit:431_conv:863,utterance,listener,"Work hard at it,poverty is no joke. Not an option!"
hit:431_conv:863,utterance,speaker,"Yeah ! Work hard ,pray hard I suppose?"
hit:431_conv:863,utterance,listener,"And play smart,do whatever it takes to elevate yourself. That is the attitude."
hit:11394_conv:22789,situation,none,There's so much going on. I wonder what the future holds
hit:11394_conv:22789,utterance,speaker,"That's funny you say that. There's so much going on right now, I wonder what the future holds."
hit:11394_conv:22789,utterance,listener,Anything you have in mind for you?
hit:11394_conv:22789,utterance,speaker,"I do have a will made, thankfully. And mainly it's just career stuff. Which can be pretty stressful"
hit:11394_conv:22789,utterance,listener,Well I hope your wants come to fruition .
hit:6778_conv:13556,situation,none,I am going horseback riding for the first time this weekend.  I am really nervous for some reason though!
hit:6778_conv:13556,utterance,speaker,I am going horseback riding for the first time this weekend.  I am really nervous for some reason!
hit:6778_conv:13556,utterance,listener,Oh wow I have never been either.  Try not to be nervous!  Who are you going with?
hit:6778_conv:13556,utterance,speaker,I am going with a couple friends who have also never rode before.  I don't think we knew what we were getting ourselves into.
hit:6778_conv:13556,utterance,listener,Well I am sure you will have fun.  Just follow the instructors lead!
hit:11667_conv:23334,situation,none,I have a big certification test coming up for my new job. I have been studying for hours but still feel unprepared. I am worried I will bomb it.
hit:11667_conv:23334,utterance,speaker,I have a big certification test coming up this week for my new job. I have been studying a lot but am feel unprepared.
hit:11667_conv:23334,utterance,listener,I bet you'll do fine. You are probably just nervous.
hit:11667_conv:23334,utterance,speaker,Yeah I am just worried I will bomb it. I shouldn't be so paranoid.
hit:11667_conv:23334,utterance,listener,It is alright. being paranoid has its benefits. it will make you study more.
hit:11649_conv:23299,situation,none,I have a big interview next week and I am nervous. Im not sure if I should just cancel or not.
hit:11649_conv:23299,utterance,speaker,I have a big interview next week and I am so nervous. Im not sure if I should just cancel or not.
hit:11649_conv:23299,utterance,listener,Wow! Why would you cancel? Is it a good opportunity?
hit:11649_conv:23299,utterance,speaker,Its a great one but I dont know if I can handle the extra responsibility. Im just not sure.
hit:11649_conv:23299,utterance,listener,"Well that's your choice, but I say new adventures in life are profitable!"
hit:5667_conv:11335,situation,none,I a little afraid to meet my boyfriends parents. I don't think we are meant to be anyway
hit:5667_conv:11335,utterance,speaker,I have to meet my boyfriends parents soon.
hit:5667_conv:11335,utterance,listener,Are you nervous? I'm sure they're gonna love you.
hit:5667_conv:11335,utterance,speaker,I don't want to go. I don't think he and I are meant for each other.
hit:5667_conv:11335,utterance,listener,Then throw the whole dude away and get you a new one! You deserve the best!
hit:5667_conv:11335,utterance,speaker,I think I will. Save him the trouble
hit:10158_conv:20316,situation,none,"Someone at my work missed part of their shift due to a personal issue, but requested I withhold any information that would reveal they missed such time."
hit:10158_conv:20316,utterance,speaker,"Someone at my work missed part of their shift due to a personal issue, but requested I withhold any information that would reveal they missed such time"
hit:10158_conv:20316,utterance,listener,Oh no! That must have put you in a bad position. How did you handle it?
hit:10158_conv:20316,utterance,speaker,"I did my best to speak around the subject to anyone that may have otherwise brought it up, Luckily no one ended up being at all the wiser"
hit:10158_conv:20316,utterance,listener,Sounds like a great way of handling a potentially sticky situation - good job!
hit:11469_conv:22939,situation,none,"I remember when I went to college out of state, I was a bit scared of the unknown.  It was hard to adjust, but I made friends quickly and that helped."
hit:11469_conv:22939,utterance,speaker,I remember going to college out of state and being scared of the unknown since I would be so far away from familiar surrounding.
hit:11469_conv:22939,utterance,listener,i can imagine but it is good to get out
hit:11469_conv:22939,utterance,speaker,"Yes, I learned so much from the experience.  I made friends quickly and that helped so much."
hit:11469_conv:22939,utterance,listener,"That is really cool, everyone should do something like that"
