Dialog_ID,Type,Actor,Text
hit:335_conv:670,situation,none,I am embarrassed to be a Cleveland Browns fan.
hit:335_conv:670,utterance,speaker,I am embarrassed to be a fan of the Cleveland Browns.
hit:335_conv:670,utterance,listener,I would be as well if I were you. Are you from the area?
hit:335_conv:670,utterance,speaker,Yes. I grew up in the city.
hit:335_conv:670,utterance,listener,wasn't Johnny Manziel susposed to save that team?
hit:11202_conv:22405,situation,none,"This morning when I met my friend, I had indigestion. I passed gas and it smelled terrible."
hit:11202_conv:22405,utterance,speaker,"When I met my friend for coffee this morning, I had indigestion. I passed gas and it smelled terrible."
hit:11202_conv:22405,utterance,listener,Why didn't you walk away lol
hit:11202_conv:22405,utterance,speaker,"Oh, believe me, I would've walked away if I could've. I was so embarrassed."
hit:11202_conv:22405,utterance,listener,You should of try to let it out slowly.
hit:7872_conv:15744,situation,none,mom got sick and i blamed myself
hit:7872_conv:15744,utterance,speaker,Earlier this year my mom got really sick and ended up in the hospital. I feel like I should have been more vigilant about her health.
hit:7872_conv:15744,utterance,listener,"So sorry to hear about your Mom - I do hope she's better now. In my personal experience, you can watch and advise all you like, but they often won't listen - my Mom was like that."
hit:7872_conv:15744,utterance,speaker,"Yes, that's true, they won't always listen. Still I can't help but beat myself up about it, and feel like I could have done more. I'm trying to get past the feeling of guilt, but it's hard."
hit:7872_conv:15744,utterance,listener,"Please don't be so hard on yourself. It's sometimes hard to remind ourselves that our parents are people in their own right and, while we care very much about them, at the end of the day they'll do what they think is right."
hit:7872_conv:15744,utterance,speaker,Thank you so much for your comforting words. At least she is doing a bit better now. I guess I have to accept that there is only so much I can do.
hit:7872_conv:15744,utterance,listener,"Exactly! You have to do your thing and she has to do hers. Just by being there if she needs help, you're doing so much for her!"
hit:7872_conv:15744,utterance,speaker,That is a really good point. Thanks again so much.
hit:7872_conv:15744,utterance,listener,You are very welcome. I've been there :)
hit:1298_conv:2596,situation,none,I can't believe I lied to my mother.
hit:1298_conv:2596,utterance,speaker,I can not believe I lied to my mother.
hit:1298_conv:2596,utterance,listener,What was it about?
hit:1298_conv:2596,utterance,speaker,About why I needed to borrow money.
hit:1298_conv:2596,utterance,listener,What did you spend it on?
hit:1556_conv:3113,situation,none,I feel so guilty.  I cheated on my husband.
hit:1556_conv:3113,utterance,speaker,I feel so guilty.  I cheated on my husband.
hit:1556_conv:3113,utterance,listener,"Oh no, what happened to cause the cheating?"
hit:1556_conv:3113,utterance,speaker,I just lost control.  I feel horrible for doing it.  But it just had to be done.
hit:1556_conv:3113,utterance,listener,Have you guys talked about it? Or is he still upset?
hit:10110_conv:20221,situation,none,My son got in big trouble at his school.  I felt so embarrassed when it happened.
hit:10110_conv:20221,utterance,speaker,"My son got in big trouble at school.  He was very mean to his best friend, and I had to call his mom and explain what had happened."
hit:10110_conv:20221,utterance,listener,That's terrible when friends fight. What was it over?
hit:10110_conv:20221,utterance,speaker,"He wasn't even upset with his friend, he was upset with someone else.  I felt so bad having to explain it to his friends mom."
hit:10110_conv:20221,utterance,listener,That's got to be a tough phone call to make. Did you two make amends or is she very upset?
hit:10110_conv:20221,utterance,speaker,She was fine with it.  She knew he was in big trouble at home.
hit:10110_conv:20221,utterance,listener,Uh oh don't want to be that kid that's for sure!
hit:3433_conv:6867,situation,none,I was caught in a drunken rage.
hit:3433_conv:6867,utterance,speaker,"Yesterday I got so drunk, I shouted at my wife and made a mess in my house."
hit:3433_conv:6867,utterance,listener,"Oh no! You should never lash out on people while drunk, the worst of things can happen under the influence."
hit:3433_conv:6867,utterance,speaker,"I agree, I am so ashamed right now. I cant even look at my wife in the eye anymore."
hit:3433_conv:6867,utterance,listener,I think the best thing to do is talk to her and apologize. If you admit to you being foolish she may find it to forgive you.
hit:11228_conv:22456,situation,none,"Oh my gosh, I got home from the store and realized I forgot to pay for my dog food!!"
hit:11228_conv:22456,utterance,speaker,I just don't know what to do. I was in such a rush. Should I go back?
hit:11228_conv:22456,utterance,listener,No just go ahead and keep going.  It will be fine.
hit:11228_conv:22456,utterance,speaker,Are you sure? What if they got me on camera and accuse me of stealing next time I go in? It's my regular store.
hit:11228_conv:22456,utterance,listener,"If they would have had you on camera, they would have already come after you for it.  I wouldn't worry about it."
hit:11228_conv:22456,utterance,speaker,Ahhh good point
hit:11228_conv:22456,utterance,listener,Yeah.  You're smooth.  You can do it no problem.
hit:11052_conv:22105,situation,none,when my mom started yelling at someone in the store for no reason.
hit:11052_conv:22105,utterance,speaker,My mom has turrets and screams at people for no reason.
hit:11052_conv:22105,utterance,listener,That must be very challenging to deal with at times.
hit:11052_conv:22105,utterance,speaker,"It is very challenging to deal with, along with being very embarrassing. Sometimes I am ashamed of her."
hit:11052_conv:22105,utterance,listener,I can understand being emabarrassed by that as well.
hit:8021_conv:16042,situation,none,I stole candy from the store yesterday. Feel kinda bad about it.
hit:8021_conv:16042,utterance,speaker,I stole candy from the candy store yesterday.
hit:8021_conv:16042,utterance,listener,did you feel like being spontaneous or just did it for the thrill of it
hit:8021_conv:16042,utterance,speaker,"I just did it because I wanted some candy, but now I feel kinda bad about it."
hit:8021_conv:16042,utterance,listener,"next time you go in, put the money of the candy into one of those charity cans"
hit:464_conv:929,situation,none,I felt so bad when I saw that I had accidentally run over my neighbor's rose bush. She worked so hard growing her flowers.
hit:464_conv:929,utterance,speaker,I felt terrible when I realized I had accidentally run over my neighbor's garden. Oops!
hit:464_conv:929,utterance,listener,Oh no! Did you end up talking to your neighbor about it??
hit:464_conv:929,utterance,speaker,"No, I never did which made me feel even worse. I ended up sending an anonymous letter with some cash in it. I didn't want her to be mad at me."
hit:464_conv:929,utterance,listener,Oh well that's a nice thing to do. I'm sure she forgives you because she knows you felt bad and wanted to make it right.
hit:427_conv:854,situation,none,Sometimes I wonder where my life would be if I decided to not go to college. I feel embarrassed to say my major did not work out for me...
hit:427_conv:854,utterance,speaker,"Do you ever get those moments where you wonder where life would be if you did one thing differently? Like for me, I always feel embarrassed to think if I hadn't gone to college, maybe my life would be easier?..."
hit:427_conv:854,utterance,listener,"Of course, hindsight is 20/20. But going forward you can live in a way that minimizes regret."
hit:427_conv:854,utterance,speaker,I suppose that's true. I feel like sometimes my family may view me as a disgrace for not doing much with my life.
hit:427_conv:854,utterance,listener,It's really not for them to judge. Do what makes you happy.
hit:427_conv:854,utterance,speaker,That is true. i have to think of that more often.
hit:427_conv:854,utterance,listener,I know the feelings I had up until my 20's. Then I just realized how much they had no right to judge me.
hit:9141_conv:18283,situation,none,I ate all of the leftovers today. It was enough to feed three people.
hit:9141_conv:18283,utterance,speaker,"I made fried chicken, mashed potatoes, green beans and bisuits last night"
hit:9141_conv:18283,utterance,listener,That sounds soooo good! I'm eating low-carb right now but I'm a pushover for good mashed potatoes!
hit:9141_conv:18283,utterance,speaker,"Well it was good and we were going to have them for dinner tonight, but I ate it all before the kids got home from school. Im terrible"
hit:9141_conv:18283,utterance,listener,"LOL!  I've done things like that before also, sometimes you just need some me time with some good food ya know?"
hit:9141_conv:18283,utterance,speaker,They weren't upset. They got to eat McDonalds lol
hit:5890_conv:11780,situation,none,I felt ashamed after I huge fight with my best friend that was my fault
hit:5890_conv:11780,utterance,speaker,Years ago me and my best friend got into a bad argument and I felt terrible later because I realized it was my fault
hit:5890_conv:11780,utterance,listener,Oh I know that feeling actually... Did you ever make up with your friend?
hit:5890_conv:11780,utterance,speaker,"Yes, it took awhile, a couple months I think it was but we are closer now"
hit:5890_conv:11780,utterance,listener,"That's good to hear. It's all water under the bridge now, as they say."
hit:6161_conv:12323,situation,none,"I was teaching my daughter to drive today.  In doing so, I got a speeding ticket."
hit:6161_conv:12323,utterance,speaker,I was teaching my daughter to drive today when I got pulled over by the cops.
