Dialog_ID,Type,Actor,Text
hit:6246_conv:12493,situation,none,"I couldn't afford my textbook, and my roomie made copies of the pages for me."
hit:6246_conv:12493,utterance,speaker,"I couldn't afford my textbook, and my roomie made copies of the pages for me."
hit:6246_conv:12493,utterance,listener,That is SO nice!That's a great roomate!
hit:6246_conv:12493,utterance,speaker,Yea. She's pretty amazing!
hit:6246_conv:12493,utterance,listener,That is a great friend as well. I hope you all have a long lasting relationship
hit:7024_conv:14048,situation,none,My mom has been lonely with my dad gone. I go and stay the weekend with her at least once a month now to make her feel better.
hit:7024_conv:14048,utterance,speaker,My mom has been so lonely since my dad died.
hit:7024_conv:14048,utterance,listener,I
hit:7024_conv:14048,utterance,speaker,what?
hit:7024_conv:14048,utterance,listener,I'm so sorry to hear that do you try andspend a lot of time with her so she doesn't feel that way?
hit:7024_conv:14048,utterance,speaker,I do spend more time with her now and I have made it a point to stay the weekend with her at least once a month.
hit:7024_conv:14048,utterance,listener,That is great to hear now she has to build even more memories with you and your family so the loosing of your dad can get better for her.
hit:4300_conv:8600,situation,none,I just adopted this rescue dog.  He's a sweet and timid little dachshund missing one leg. He's precious.
hit:4300_conv:8600,utterance,speaker,I just adopted this rescue dog. He's a sweet and timid little dachshund missing one leg. He's precious.
hit:4300_conv:8600,utterance,listener,That is so sweet.  How did he lose his leg?
hit:4300_conv:8600,utterance,speaker,He was found with a wire in it because he got caught in it.  It was too infected to save.  It doesn't seem to bother him not having it.
hit:4300_conv:8600,utterance,listener,I've heard that it doesn't bother them to lose one limb.  I watch Dr. Jeff on Animal Planet a lot and that is what he says.
hit:8956_conv:17913,situation,none,"My boss has cancer, so I'm trying very hard to work extra to make things easier for her."
hit:8956_conv:17913,utterance,speaker,My boss was diagnosed with cancer earlier this summer. I've been trying very hard to work extra to make things easier for her.
hit:8956_conv:17913,utterance,listener,"That is really kind of you, many people would not bother. I hope that she wins her battle."
hit:8956_conv:17913,utterance,speaker,"We are very confident she will! Thankfully they caught it early, but the treatment is just really difficult."
hit:8956_conv:17913,utterance,listener,"Chemotherapy and radiation can really take their toll. There is a program through the cancer society that does a day of beauty with cancer patients. They give them a makeover, giftbags, wigs if needed."
hit:8956_conv:17913,utterance,speaker,"That is wonderful! Luckily for her, because of her chemo site she won't loose her hair."
hit:8956_conv:17913,utterance,listener,"That is excellent, and you are a truly giving person. I wish her the best."
hit:8956_conv:17913,utterance,speaker,Thank you!
hit:11118_conv:22237,situation,none,I felt very sad kind of when i helped homeless people find a place to eat.
hit:11118_conv:22237,utterance,speaker,Man i tried helping homeless people in my area today.
hit:11118_conv:22237,utterance,listener,"What you did is good. They need a lot of help. Not only money, but also emotional"
hit:11118_conv:22237,utterance,speaker,"I didn't realize how bad life could get though. I want to dedicate my life to helping them.,,"
hit:11118_conv:22237,utterance,listener,it is good idea. You will be happy helping others.
hit:11118_conv:22237,utterance,speaker,I haven't recieved that satisfaction yet. Just an unavoidable sense of forgiving.
hit:10175_conv:20351,situation,none,"My nephew was so sweet and adorable. I just wanted to hug him and spend time with him. He was the first child in the family for a long time, so it was special."
hit:10175_conv:20351,utterance,speaker,"When he was little, my nephew was so adorable. He was the first child in the family for a long time, and he was so cute. I loved to spend time with him."
hit:10175_conv:20351,utterance,listener,"Awww, you're speaking fondly on when he was young. Is he not as nice anymore?"
hit:10175_conv:20351,utterance,speaker,"Oh he's still nice. He has some issues, though, but I love him very much of course."
hit:10175_conv:20351,utterance,listener,"That's depressing to here. I have family members who are still cool now as well, but I just think so fondly on when they were younger. They grow up too fast, and it really is amazing when they're young and innocent and haven't been exposed to the real world yet."
hit:6057_conv:12115,situation,none,I love helping out my mom when she's sick.
hit:6057_conv:12115,utterance,speaker,I love being able to help my mom out when she isn't feeling well.
hit:6057_conv:12115,utterance,listener,Thats really sweet of you to help her out.
