Dialog_ID,Type,Actor,Text
hit:1152_conv:2305,situation,none,Over the years I've figured out the best way to love and myself is to work at some new skill everyday and become the best at it until haters become fans
hit:1152_conv:2305,utterance,speaker,I've learned that to be the best version of myself means working at a skill striving to be the the best at it until haters become fans
hit:1152_conv:2305,utterance,listener,I absolutely agree with that mind set! Pick something you're passionate about and do it with passion!
hit:1152_conv:2305,utterance,speaker,I'm glad you agree
hit:1152_conv:2305,utterance,listener,"I'm a fitness enthusiast myself, and you'd be surprised how people even find reason to be negative about THAT."
hit:1152_conv:2305,utterance,speaker,I'm glad you agre
hit:8787_conv:17575,situation,none,"I asked my friend to get some stuff for a party, I knew he would come through though."
hit:8787_conv:17575,utterance,speaker,"I asked my friend to get some stuff for a party, I knew he would come through though."
hit:8787_conv:17575,utterance,listener,What kind of stuff?
hit:8787_conv:17575,utterance,speaker,Like food and decorations and things like that.
hit:8787_conv:17575,utterance,listener,"Oh nice, what kind of party?"
hit:8344_conv:16689,situation,none,"I think the Eagles can win the superbowl again this year, they are looking really good"
hit:8344_conv:16689,utterance,speaker,"I think the Eagles can win the superbowl again this year, they are looking really good"
hit:8344_conv:16689,utterance,listener,"I'm not too familiar with football, who is their star player?"
hit:8344_conv:16689,utterance,speaker,"Carson Wentz, but they are great all around"
hit:8344_conv:16689,utterance,listener,"Interesting, maybe I'll check them out this season"
hit:10481_conv:20963,situation,none,School starts back in 2 weeks.  I'm feeling good about having taught the same grade for 3 years now.
hit:10481_conv:20963,utterance,speaker,I'm a teacher. and school starts back up in just 2 weeks.
hit:10481_conv:20963,utterance,listener,"COunting down the days, eh? How was your summer?"
hit:10481_conv:20963,utterance,speaker,I had a great summer.  I'm feeling really good about this coming year.  Teaching the same grade for the third time.
hit:10481_conv:20963,utterance,listener,That's awesome that you get that continuity. More teachers would succeed if that was available to them. Good for you!
hit:6058_conv:12117,situation,none,I will be starting my first year as a teacher next week!  I have never felt more ready for a job than I do right now!
hit:6058_conv:12117,utterance,speaker,I will be starting my first year as a teacher next week! I have never felt more ready for a job than I do right now!
hit:6058_conv:12117,utterance,listener,my cousin and my aunt are both teachers and they love it
hit:6058_conv:12117,utterance,speaker,"I do as well, or at least I think I will!  Regardless, I will teach the mess out of those kids!"
