Dialog_ID,Type,Actor,Text
hit:11941_conv:23883,situation,none,I paid off all my bills. Its such a great feeling.
hit:11941_conv:23883,utterance,speaker,"I paid off all my bills. Its such a great feeling."""
hit:11941_conv:23883,utterance,listener,"that's fantastic! It certainly is a great feeling, financial freedom!"
hit:11941_conv:23883,utterance,speaker,I want to try and save and travel.
hit:11941_conv:23883,utterance,listener,That's so great!
hit:11941_conv:23883,utterance,speaker,I really want to take a trip to Africa. Hope I make it.
hit:9329_conv:18658,situation,none,Sitting outside watching a storm arrive on my back porch I felt quite at ease with the world!
hit:9329_conv:18658,utterance,speaker,Sitting outside watching a storm arrive on my back porch I felt quite at ease with the world!
hit:9329_conv:18658,utterance,listener,I love watching heavy storms with thunder and lightening!
hit:9329_conv:18658,utterance,speaker,As do I! It is a great time as long as the lightning doesn't get too close!
hit:9329_conv:18658,utterance,listener,"Yeah, as long as it is loud but not too close I usually love it!"
hit:5750_conv:11500,situation,none,I felt very content recently. My Aunt sent e a parcel full of candy and chocolate and the sun was shining.
hit:5750_conv:11500,utterance,speaker,My Aunt sent me a parcel the otehr day - when I opened it it was full of candy and chocolate!
hit:5750_conv:11500,utterance,listener,What a lovely aunt. You must be her favorite nephew or niece
hit:5750_conv:11500,utterance,speaker,Do you know what? We're actually not that close.
hit:5750_conv:11500,utterance,listener,Maybe she tried to bring some warm strings in relationship with you
hit:4311_conv:8622,situation,none,I am lucky to have a decent paying job
hit:4311_conv:8622,utterance,speaker,I am lucky to have a decent paying job
hit:4311_conv:8622,utterance,listener,That is really good.  In this economic climate it is good to have something like that to count on.  What do you do?
hit:4311_conv:8622,utterance,speaker,I work for an online retail company.  I don't make a lot of money but I am not struggling anymore
hit:4311_conv:8622,utterance,listener,That's great.  I am glad you're doing well.
hit:12049_conv:24098,situation,none,I am so lucky that I have been able to keep things afloat after my roomate left. I am pretty happy.
hit:12049_conv:24098,utterance,speaker,My roommate moved out a couple of months ago.
hit:12049_conv:24098,utterance,listener,How did that make you feel
hit:12049_conv:24098,utterance,speaker,I am happy. Im glad I have been able to keep it afloat without her
hit:12049_conv:24098,utterance,listener,Its nice to be alone sometimes
hit:12049_conv:24098,utterance,speaker,She was a terrible roommate anyway
hit:2519_conv:5039,situation,none,I have lived in the same area my entire life and worked at the same place for 10 year. I am perfectly happy and in no need of change.
hit:2519_conv:5039,utterance,speaker,I have lived in the same area my whole life and worked the same job for 10 years.
hit:2519_conv:5039,utterance,listener,Is it getting boring?
hit:2519_conv:5039,utterance,speaker,Not at all. I am perfectly happy and in no need of change.
hit:2519_conv:5039,utterance,listener,What do you do?
hit:2519_conv:5039,utterance,speaker,I work at a bank in a small town.
hit:11500_conv:23001,situation,none,We went to the mountains to hike.  It was very peaceful and nice to be in nature.
hit:11500_conv:23001,utterance,speaker,I had a great time this weekend.
hit:11500_conv:23001,utterance,listener,Oh yeah? Nice to hear. What exactly did you do?
hit:11500_conv:23001,utterance,speaker,We took a trip to the mountains to hike.  So nice to be away from the city outside in nature.
hit:11500_conv:23001,utterance,listener,"That's awesome, I'm from Kansas and first went to Colorado just a couple years ago. It was beautiful!"
hit:11500_conv:23001,utterance,speaker,That sounds fun.  I haven't been to Colorado yet.  I'd like to go.
hit:11500_conv:23001,utterance,listener,"I agree though, always a good time to get away and explore some nature life."
hit:11500_conv:23001,utterance,speaker,It's very relaxing.  There was a lot of people.  More than I expected to see.
hit:11500_conv:23001,utterance,listener,Well I'm pleased to hear you had a fun time. Hope you get to do it again soon.
hit:5581_conv:11162,situation,none,I quit a 80k job for a 20k job after paying off the house.
hit:5581_conv:11162,utterance,speaker,I quit a 80k job for a 20k job after paying off the house.
hit:5581_conv:11162,utterance,listener,"Wow, that's quite the career leap! What made you do it?"
hit:5581_conv:11162,utterance,speaker,I was just really miserable.
hit:5581_conv:11162,utterance,listener,That makes sense to me. Money doesn't always equate to happiness. Hope you are doing better now!
hit:3327_conv:6655,situation,none,i stayed in watching netflix last night
hit:3327_conv:6655,utterance,speaker,i stayed in watching netflix last night for hours.
hit:3327_conv:6655,utterance,listener,That sounds like fun!
hit:3327_conv:6655,utterance,speaker,yea i was quite happy and snuggly
hit:3327_conv:6655,utterance,listener,I'm sure you had a good time!
hit:9304_conv:18608,situation,none,this job offers me everything I need in life!
hit:9304_conv:18608,utterance,speaker,This job is everything I could possible ask for.
hit:9304_conv:18608,utterance,listener,"Oh, what job is it?"
hit:9304_conv:18608,utterance,speaker,I am the director of IT at my company.
hit:9304_conv:18608,utterance,listener,"Wow, that is very high position!"
hit:9808_conv:19617,situation,none,Laying in my hammock near the beach watching the ocean. Having a drink.
hit:9808_conv:19617,utterance,speaker,"It's so nice to just relax by the beach,."
hit:9808_conv:19617,utterance,listener,I'm right there with you!  That is the best thing in the world! Are you there now?  I'm talking to my husband about moving to the beach permanently.
hit:9808_conv:19617,utterance,speaker,"I'm there now, laying in a hammock loving life."
hit:9808_conv:19617,utterance,listener,I'm so jealous!  I haven't been in years now!  Breathe in the salt air for me!
hit:8881_conv:17763,situation,none,I barely passed my english class. Only needed a C so thats fine by me
hit:8881_conv:17763,utterance,speaker,I barely passed my english class.
hit:8881_conv:17763,utterance,listener,that is lucky do you talk much in class?
hit:8881_conv:17763,utterance,speaker,I talked all the time
hit:8881_conv:17763,utterance,listener,well you probably should start paying much attetion if you dont want to risk it
hit:7104_conv:14208,situation,none,"Ive just been hanging out with friends and playing games this past week, its been nice"
hit:7104_conv:14208,utterance,speaker,"Ive just been hanging out with friends and playing games this past week, its been nice"
