Dialog_ID,Type,Actor,Text
hit:11710_conv:23420,situation,none,I failed my final exam for math last semester. I all set to graduate but now I have to repeat it. Its horrible.
hit:11710_conv:23420,utterance,speaker,I failed my final exam for math last semester. I all set to graduate but now I have to repeat it. Its horrible.
hit:11710_conv:23420,utterance,listener,"That is terrible, i am sorry! hopefully youll be able to get it taken care of this time."
hit:11710_conv:23420,utterance,speaker,I just feel so bad for not passing. It has really set me back.
hit:11710_conv:23420,utterance,listener,What type of degree are you getting?
hit:11525_conv:23050,situation,none,I just bought my first new car last week.
hit:11525_conv:23050,utterance,speaker,I just bought my first new car last week.
hit:11525_conv:23050,utterance,listener,Congradulations.   You must be excited and proud.   Are you enjoying the new car?
hit:11525_conv:23050,utterance,speaker,"I was, until I wrecked it yesterday.  Ughhh.  I am so mad at myself."
hit:11525_conv:23050,utterance,listener,Oh no!  Hopefully you have full coverage?
hit:11525_conv:23050,utterance,speaker,"Luckily I was required to have it, but my insurance rates are going to go through the roof."
hit:11525_conv:23050,utterance,listener,"Yeah but, its better than having no car!"
hit:11525_conv:23050,utterance,speaker,true.
hit:11525_conv:23050,utterance,listener,"Does your insurance have the ""new care replacement""  option?"
hit:1353_conv:2707,situation,none,I just broke up with my boyfriend of 8 years. I am beyond distraught.
hit:1353_conv:2707,utterance,speaker,I just broke up with my boyfriend of 8 years. I am beyond distraught.
hit:1353_conv:2707,utterance,listener,I bet. You guys were together for so long. Is this for the best?
hit:1353_conv:2707,utterance,speaker,I hope so. I wish he would have broken up with me sooner.
hit:1353_conv:2707,utterance,listener,Well I am sorry to hear that. If you need anyone to talk to let me know.
hit:1353_conv:2707,utterance,speaker,Thank you. I just wished he would have told me sooner now I'm second guessing our relationship.
hit:9597_conv:19194,situation,none,"I remember when I was a child and I was told that I would need glasses in order to be able to see the whiteboard in the classroom and do good in school. I was so upset because I felt that the glasses made me look ugly. I was so upset. However, my classmates really made me feel better about it."
hit:9597_conv:19194,utterance,speaker,"I remember when I was a child and I was told that I would need glasses in order to be able to see the whiteboard in the classroom and do good in school. I was so upset because I felt that the glasses made me look ugly. I was so upset. However, my classmates really made me feel better about it."
hit:9597_conv:19194,utterance,listener,"Yeah, glasses suck but, so does not being able to see. Good that your class mates are nice people."
hit:9597_conv:19194,utterance,speaker,"Yes, it was a really big deal in the second grade, but none the less I realized that it would just be getting worse so I got used to the idea. And it did, get much worse. Lol"
hit:9597_conv:19194,utterance,listener,"Yep, I've got terrible eyes. I know what you mean."
hit:8605_conv:17211,situation,none,I got a really bad headache and it ruined my whole day
hit:8605_conv:17211,utterance,speaker,I got a really bad headache and it ruined my whole day
hit:8605_conv:17211,utterance,listener,That sucks
hit:8605_conv:17211,utterance,speaker,"Yeah, maybe I should take an advil"
hit:8605_conv:17211,utterance,listener,You hvent taken anything yet?
hit:3176_conv:6352,situation,none,i was schocked when i had to go home early
hit:3176_conv:6352,utterance,speaker,i was schocked when i had to go home early
hit:3176_conv:6352,utterance,listener,Wow! What happened?  I hope everything is  okay.
hit:3176_conv:6352,utterance,speaker,my got out from the backyard
hit:3176_conv:6352,utterance,listener,What? Nothing too bad I guess...
hit:1814_conv:3629,situation,none,My car burned down.
hit:1814_conv:3629,utterance,speaker,There was fire in my garage yesterday!
hit:1814_conv:3629,utterance,listener,Oh no! Are you ok?
hit:1814_conv:3629,utterance,speaker,"yes, but my car burned down, sadly."
hit:1814_conv:3629,utterance,listener,I'm sorry to hear that. What caused the fire?
hit:3416_conv:6832,situation,none,My phone was burnt in a fire.
hit:3416_conv:6832,utterance,speaker,My cousin threw my phone in the fire because he thought it was firewood.
hit:3416_conv:6832,utterance,listener,hahahahahaha he must be cunning
hit:3416_conv:6832,utterance,speaker,I am still so mad at him. It was my only phone.
hit:3416_conv:6832,utterance,listener,ooooh no i feel sorry but punish him
hit:1341_conv:2683,situation,none,One time I was doing a really important art project for a contest and I had put in 8 hours of work into my piece and then my mom ripped it.
hit:1341_conv:2683,utterance,speaker,I drew an art piece once and it got torn after I put a lot of work into it.
hit:1341_conv:2683,utterance,listener,Did you fix it?
hit:1341_conv:2683,utterance,speaker,"I had to restart, it was torn beyond repair."
hit:1341_conv:2683,utterance,listener,How many hours did you put into it.
hit:1341_conv:2683,utterance,speaker,8
hit:7908_conv:15816,situation,none,My sister lost her house due to a fire. We are all pretty much in shock and very sad.
hit:7908_conv:15816,utterance,speaker,My sister lost her house due to a fire.
hit:7908_conv:15816,utterance,listener,That's awful. Where's she staying now ?
hit:7908_conv:15816,utterance,speaker,We are all pretty much in shock and very sad.  She is staying with us.
hit:7908_conv:15816,utterance,listener,I'm glad she's got you to look after her.
hit:2972_conv:5945,situation,none,Our family reunion was a disaster this year.
hit:2972_conv:5945,utterance,speaker,I look forward to our family reunion every year.
hit:2972_conv:5945,utterance,listener,thats cool that you have one every year.
hit:2972_conv:5945,utterance,speaker,Well this year was terrible. There was a big fight over the food! It was so stupid
hit:2972_conv:5945,utterance,listener,That could be fun!
hit:5407_conv:10814,situation,none,"When the Las Vegas Shooting happened, I was so emotional and sad. I hate when stuff like that happens"
hit:5407_conv:10814,utterance,speaker,"When the Las Vegas Shooting happened, I was so emotional and sad."
hit:5407_conv:10814,utterance,listener,I know it was terrible. Are you from vegas?
hit:5407_conv:10814,utterance,speaker,I have family there  I hate when stuff like that happens.
hit:5407_conv:10814,utterance,listener,ugh well i hope no one in your family was affected
hit:1346_conv:2693,situation,none,My laptop was destroyed when my toddler spilled water on it. I was so upset because I lost all of the baby photos that I had stored on it.
hit:1346_conv:2693,utterance,speaker,"My son spilled water on my laptop. I was so upset, because I lost all of the photos I had stored on it."
hit:1346_conv:2693,utterance,listener,Thats a bummer. Maybe you can take it to a repair shop.
hit:1346_conv:2693,utterance,speaker,I can
hit:1346_conv:2693,utterance,listener,Im sure they can figure something out. They might be able to remove the harddrive to recover the photos.
hit:8529_conv:17059,situation,none,My aunt died of cancer. She was sick for 2 years.
hit:8529_conv:17059,utterance,speaker,I just lost my aunt.
hit:8529_conv:17059,utterance,listener,I'm so sorry to hear that!
hit:8529_conv:17059,utterance,speaker,"She had breast cancer, it was awful."
hit:8529_conv:17059,utterance,listener,"That is awful, I can't wait until they find a cure."
hit:933_conv:1866,situation,none,My neighbor's house burn down. We can't find where the cats went.
hit:933_conv:1866,utterance,speaker,My neighbor's house burn down. We can't find where the cats went.
hit:933_conv:1866,utterance,listener,"Oh no, that's awful. When did this happen?"
hit:933_conv:1866,utterance,speaker,Last week. The cats are nowhere to be found. We even called the shelter.
hit:933_conv:1866,utterance,listener,"I hope the worst didn't happen to them, that's so sad."
hit:10898_conv:21797,situation,none,"When my dog Buddy died, I was horribly upset."
hit:10898_conv:21797,utterance,speaker,"When my dog Buddy died, I was horribly upset."
hit:10898_conv:21797,utterance,listener,I am sorry that happened . I have 3 dogs myself.
hit:10898_conv:21797,utterance,speaker,"I hope your dogs live as long as Buddy did, he was a good dog."
hit:10898_conv:21797,utterance,listener,Good dogs are hard to vfind I can imagine how sad that must have been.
hit:3835_conv:7670,situation,none,my brother got sick and passed with no warning
hit:3835_conv:7670,utterance,speaker,When my brother fell ill we had no idea he would go so quick.
hit:3835_conv:7670,utterance,listener,"Oh wow, I'm sorry. I hope he at least didn't suffer much."
hit:3835_conv:7670,utterance,speaker,"I dont think so, It was a matter of days."
hit:3835_conv:7670,utterance,listener,I'm sorry for you loss.
hit:11117_conv:22235,situation,none,I had a day where my grandfather and father both died in the same day.
hit:11117_conv:22235,utterance,speaker,Man i had a rough day today.
hit:11117_conv:22235,utterance,listener,"Oh no, would you like to talk about it? I really hope that you are alright."
hit:11117_conv:22235,utterance,speaker,Im OK. Its just deaths suck. Especially when its family.
hit:11117_conv:22235,utterance,listener,Oh no I am so sorry to hear that. I wish you all the best and they are probably in a better place :)
hit:3542_conv:7085,situation,none,"I was devestated when my grandmother passed away, that was a very sad time for me"
hit:3542_conv:7085,utterance,speaker,"I was devestated when my grandmother passed away, that was a very sad time for me"
hit:3542_conv:7085,utterance,listener,That's sad to hear.
hit:3542_conv:7085,utterance,speaker,"Yeah, but that is life I suppose"
hit:3542_conv:7085,utterance,listener,It is. I've lost both of mine.  It will get better with time.
hit:8180_conv:16360,situation,none,i was crushed when i didnt get approved for a day off last week
hit:8180_conv:16360,utterance,speaker,i was crushed when i didnt get approved for a day off last week
hit:8180_conv:16360,utterance,listener,I'm sorry to hear that! Is it that busy at work?
hit:8180_conv:16360,utterance,speaker,yes its very busy right now with all the kids returning to school
hit:8180_conv:16360,utterance,listener,Oh are you a teacher?
hit:6730_conv:13461,situation,none,I came home from work.. and opened my mail up.. and you won't believe what I got in the mail.
hit:6730_conv:13461,utterance,speaker,I came home from work.. and opened my mail up.. and you won't believe what I got in the mail.
hit:6730_conv:13461,utterance,listener,What did you get in the mail?
hit:6730_conv:13461,utterance,speaker,I got a repo notice for my car.  I am so upset.
hit:6730_conv:13461,utterance,listener,"That is awful, did you miss some payments?"
hit:6730_conv:13461,utterance,speaker,Yes.. but I had a valid reason.  Cries..
hit:6730_conv:13461,utterance,listener,Whats the reason?
hit:6730_conv:13461,utterance,speaker,I couldn't work I was taking care of my sick husband.
hit:6730_conv:13461,utterance,listener,"I'm sorry to hear that, how is he feeling now?"
hit:1371_conv:2742,situation,none,"I was devestated when I lost my grandmother, we were very close"
hit:1371_conv:2742,utterance,speaker,"I was devestated when I lost my grandmother, we were very close"
