Dialog_ID,Type,Actor,Text
hit:10667_conv:21334,situation,none,"In the 8th grade, my friend and I sold the most chocolate bars in our entire school. Our prize ultimately ended up being a pair of New Balance shoes. $1150 in sales, for a pair of $25 kids shoes, each."
hit:10667_conv:21334,utterance,speaker,"In the 8th grade, my friend and I sold the most chocolate bars in our entire school. Our prize ultimately ended up being a pair of New Balance shoes. $1150 in sales, for a pair of $25 kids shoes, each."
hit:10667_conv:21334,utterance,listener,I would not of been happy with that were you?
hit:10667_conv:21334,utterance,speaker,"I was devastated. We thought we were going to get a TV, or a Playstation or something. Nope, just a pair of some old boring shoes that only 60 year old men wore. Livid."
hit:10667_conv:21334,utterance,listener,"Ain't that a whopping , I would have comp;ained to somebody about it."
hit:5763_conv:11527,situation,none,I was disappointed once when I had been promised a boat trip but then couldn't go because nobody had a license to drive the boat.
hit:5763_conv:11527,utterance,speaker,"I booked a boat trip once, but then we weren't allowed to go"
hit:5763_conv:11527,utterance,listener,Why were you not allowed to go?
hit:5763_conv:11527,utterance,speaker,Nobody had a license to drive the boat. There was some confusion about what license was needed. It was very disappointing.
hit:5763_conv:11527,utterance,listener,What did you do instead?
hit:5763_conv:11527,utterance,speaker,Went for lunch to a harborside bar
hit:5346_conv:10693,situation,none,When my employer lied.
hit:5346_conv:10693,utterance,speaker,"I quit my job due to the employer always lying to me, and they didnt even seem to care."
hit:5346_conv:10693,utterance,listener,Wow how unappreciative they sound. You will be better off at your next job I am sure.
hit:5346_conv:10693,utterance,speaker,I know it was too bad tho I had expectations of them but obviously they are fake!
hit:5346_conv:10693,utterance,listener,Im sure your next employer will be much better. That is no way to treat an employee.
hit:10135_conv:20270,situation,none,"I really though I was going to be accepted in med school, but I wasn't, and now I don't know what I am going to do with my life."
hit:10135_conv:20270,utterance,speaker,"I really though I was going to be accepted in med school, but I wasn't."
hit:10135_conv:20270,utterance,listener,Oh no what happened?
hit:10135_conv:20270,utterance,speaker,I don't know and now I don't know what I am going to do with my life either.
hit:10135_conv:20270,utterance,listener,That is sad.  I am sure you can come up with a good career.  What do you like to do?
hit:6633_conv:13267,situation,none,I didnt win the lottery last night. I feel so let down
hit:6633_conv:13267,utterance,speaker,I didnt win the lottery last night.
hit:6633_conv:13267,utterance,listener,I am sorry to hear that. Their is always next time.
hit:6633_conv:13267,utterance,speaker,"Yeah I know that, but I just feel let down."
hit:6633_conv:13267,utterance,listener,I know. I always get that feeling when I don't win the lottery.
hit:3658_conv:7316,situation,none,I bought new flavor of coffee today from Starbucks. I was so shocked at how bad it was. I'm never going to try a new coffee flavor.
hit:3658_conv:7316,utterance,speaker,I bought new flavor of coffee today from Starbucks. I was so shocked at how bad it was. I'm never going to try a new coffee flavor.
hit:3658_conv:7316,utterance,listener,"Oh, that's never fun. You think you're going to discover a new favorite and then....blech!"
hit:3658_conv:7316,utterance,speaker,Exactly. That's why I'm going back to my old ways so I don't get disappointed like that.
hit:3658_conv:7316,utterance,listener,The old ways are the best ways sometimes.
hit:3884_conv:7768,situation,none,I was sad with myself when I quit the basketball team. I just thought I would last logner
hit:3884_conv:7768,utterance,speaker,I sad with myself when I quit the basketball team. I thought I would do better
hit:3884_conv:7768,utterance,listener,Why did you quit?
hit:3884_conv:7768,utterance,speaker,I was just lazy and wanted to hang out with my friends instead
hit:3884_conv:7768,utterance,listener,Can you try out again? OR have you moved on?
hit:8565_conv:17130,situation,none,I cant believe my daughter is already procrastinating. school just started
hit:8565_conv:17130,utterance,speaker,My daughter is already procrastinating in school
hit:8565_conv:17130,utterance,listener,That's not good. Procrastination can lead to a lot of stress.
hit:8565_conv:17130,utterance,speaker,I know. Its the first week of school.
hit:8565_conv:17130,utterance,listener,Hopefully she will learn quickly that it's better to get her school work done quickly
hit:8565_conv:17130,utterance,speaker,I try to tell her. But its like talking to a brick wall
hit:8451_conv:16903,situation,none,"Last month, I was very upset because of my ex girlfriend. She left me for another guy."
hit:8451_conv:16903,utterance,speaker,I was very upset last month
hit:8451_conv:16903,utterance,listener,what happened?
hit:8451_conv:16903,utterance,speaker,My girlfriend left me for another guy.
hit:8451_conv:16903,utterance,listener,"wow, i did not see that coming.     on to the next one!"
hit:4699_conv:9398,situation,none,"I always have the highest hopes for my boyfriend and his work. When he found out that they weren't going to give him a raise because he left early too many days, I was extremely disappointed."
hit:4699_conv:9398,utterance,speaker,I always have the highest hopes for my boyfriend and his work. The other day he found out he won
hit:4699_conv:9398,utterance,listener,What did he win?
hit:4699_conv:9398,utterance,speaker,Sorry. He won't be getting his raise because he leaves work early too much.
hit:4699_conv:9398,utterance,listener,That's terrible.
hit:1134_conv:2268,situation,none,I was a little upset when I didnt get to leave work early
hit:1134_conv:2268,utterance,speaker,I was a little upset when I didnt get to leave work early
hit:1134_conv:2268,utterance,listener,"Ah, that is no good! Why didn't you get to leave early?"
hit:1134_conv:2268,utterance,speaker,work kept piling up and couldnt leave
hit:1134_conv:2268,utterance,listener,I know what that is like! I hate being an adult sometimes!
hit:7314_conv:14629,situation,none,We were supposed to go swimming today. The weather was bad though so we canceled
hit:7314_conv:14629,utterance,speaker,We were going to go swimming today. The weather was bad though so we had to cancel
hit:7314_conv:14629,utterance,listener,so what was plan B?
hit:7314_conv:14629,utterance,speaker,Stay home and watch tv
hit:7314_conv:14629,utterance,listener,oh that sounds good.
hit:10394_conv:20789,situation,none,"I bought some beautiful jewelry online. It looked so nice in the picture. When I got it, I was very unhappy."
hit:10394_conv:20789,utterance,speaker,"I bought some beautiful jewelry online. It looked so nice in the picture. When I got it, I was very unhappy"
hit:10394_conv:20789,utterance,listener,That's annoying when that happens. Did you ask for your money back?
hit:10394_conv:20789,utterance,speaker,"Yes, I sent it back"
