Dialog_ID,Type,Actor,Text
hit:12031_conv:24062,situation,none,"I was at the grocery store the other day, waiting in line to check out. The person in front of me was very old and having trouble working their card. The cashier was very rude and condescending."
hit:12031_conv:24062,utterance,speaker,"While I was at the grocery store I was in line behind a nice, but very confused older person who had trouble getting their credit card to work."
hit:12031_conv:24062,utterance,listener,That can be frustrating. Did you do anything to help?
hit:12031_conv:24062,utterance,speaker,"No, I thought the cashier was going to help her, but instead, she started getting very frustrated and began saying some very mean and ugly things to the customer."
hit:12031_conv:24062,utterance,listener,"Oh that is terrible, cashiers should have more patience."
hit:767_conv:1534,situation,none,"I was talking a walk in my neighborhood, and accidentally stepped in some dog poop, yuck!"
hit:767_conv:1534,utterance,speaker,"Hey, I was talking a walk the other day and I accidentally stepped in some dog poop, talk about gross."
hit:767_conv:1534,utterance,listener,Ewww. I haven't done that in a while. Thankfully.
hit:767_conv:1534,utterance,speaker,"I'm glad for you, people need to clean up after their animals!"
hit:767_conv:1534,utterance,listener,They sure do. Isn't it the law?
hit:3961_conv:7923,situation,none,A kid I went to school with is in jail for harming a puppy!
hit:3961_conv:7923,utterance,speaker,"A kid I went to school with is in jail for harming a puppy, what a vile human!"
hit:3961_conv:7923,utterance,listener,That is terrible.
hit:3961_conv:7923,utterance,speaker,"It really is, what possesses someone to do that?"
hit:3961_conv:7923,utterance,listener,I don't know. They should be locked up though. Hurting a person is next.
hit:5735_conv:11470,situation,none,getting raw food
hit:5735_conv:11470,utterance,speaker,i had the worst meal at a new restaurant today
hit:5735_conv:11470,utterance,listener,What did you order?
hit:5735_conv:11470,utterance,speaker,"it was a chicken dish, was still pink on the inside.i took one bit out of it"
hit:5735_conv:11470,utterance,listener,Did you get them to recook it?
hit:356_conv:712,situation,none,I try not to judge people. And I've never been a saint. But having a naive 15-year-old female cousin gives me some kind of protective inclination to bust up any kind of pedophile or rapist if I get the chance
hit:356_conv:712,utterance,speaker,I try not to judge often...but if there's one thing I can't stand it's pedophiles..they just make my blood boil
hit:356_conv:712,utterance,listener,I watched a movie based off a true story on that once. It was truely a sad story for the little girl and her parents.
hit:356_conv:712,utterance,speaker,What movie was it
hit:356_conv:712,utterance,listener,It was a korean movie. Don't recall the name.
hit:1772_conv:3544,situation,none,I am disgusted with many people in my country. They voted to leave the EU.
hit:1772_conv:3544,utterance,speaker,I am disgusted that so many people voted in favour of Brexit in the UK.
hit:1772_conv:3544,utterance,listener,Why is that?
hit:1772_conv:3544,utterance,speaker,I can't see why tey would want to sever ties with Europe and become separate
hit:1772_conv:3544,utterance,listener,I can understand that viewpoint. It's a very complicated issue though!
hit:7234_conv:14469,situation,none,I saw a man eat a handful of roaches.  It was so gross.
hit:7234_conv:14469,utterance,speaker,I saw a man eat a handful of roaches.
hit:7234_conv:14469,utterance,listener,"Yuck thats disgusting, did you throw up?"
hit:7234_conv:14469,utterance,speaker,"Almost, it was so gross!"
hit:7234_conv:14469,utterance,listener,Was he insane or was it a part of he's culture?
hit:8950_conv:17900,situation,none,I baked a cake for my kid's birthday party. Someone the dog got up on the table and got into it. I was so upset with him.
hit:8950_conv:17900,utterance,speaker,Last week I baked a cake for my kid's birthday party. Somehow the dog jumped on the table and started scarfing it down. I was furious with him.
hit:8950_conv:17900,utterance,listener,Oh no! Did you scold the dog?
hit:8950_conv:17900,utterance,speaker,Yeah I made him go outside and didn't give him any dog treats for a while. Luckily I had enough ingredients to make another cake.
hit:8950_conv:17900,utterance,listener,I hope he doesn't get that one!
hit:112_conv:225,situation,none,I am disgusted that the criminal got away.
hit:112_conv:225,utterance,speaker,I tried to catch a criminal but he got away.
hit:112_conv:225,utterance,listener,Did he have a weapon?
hit:112_conv:225,utterance,speaker,Yes but only a small knife.
hit:112_conv:225,utterance,listener,What were you gonna do if you caught him?
hit:1423_conv:2847,situation,none,I found a snake in the yard two days ago.
hit:1423_conv:2847,utterance,speaker,I ran into a snake in the yard the other day.
hit:1423_conv:2847,utterance,listener,Oh god. How big was it?
hit:1423_conv:2847,utterance,speaker,"Only about three feet long, but it did startle me."
hit:1423_conv:2847,utterance,listener,"Man, that's scary. Is it out now?"
hit:8362_conv:16725,situation,none,"I had cereal for breakfast this morning. It was a brand new box, but when I poured it into my bowl, there were several little live bugs in it."
hit:8362_conv:16725,utterance,speaker,I had cereal for breakfast this morning.
hit:8362_conv:16725,utterance,listener,What kind of cereal was it
hit:8362_conv:16725,utterance,speaker,"It was a brand new box of Rice crispies. When I opened it and poured it in my bowl, there were several live bugs."
hit:8362_conv:16725,utterance,listener,Well that sounds disgusting
hit:10668_conv:21336,situation,none,"Bleh, I just had the worst food ever. I almost puked after I ate the rotten cheese burger I was given at McDonalds."
hit:10668_conv:21336,utterance,speaker,"Bleh, I just had the worst food ever."
hit:10668_conv:21336,utterance,listener,What did you eat?
hit:10668_conv:21336,utterance,speaker,I was at cMdonalds and was given a rotten cheese burger. I almost puked after I ate it.
hit:10668_conv:21336,utterance,listener,"Oh gross, makes me never want McDonalds again."
hit:3029_conv:6059,situation,none,I was totally grossed out by a guy who threw his nasty cup of something out the window on the EXPRESSWAY. It hit out windshield and yes he threw it out on purpose.
hit:3029_conv:6059,utterance,speaker,I was totally grossed out by a guy who threw his nasty cup of something out the window on the EXPRESSWAY.
hit:3029_conv:6059,utterance,listener,"Oh my god, I HATE when people do that! That stuff can land on someone's windshield!"
hit:3029_conv:6059,utterance,speaker,"Oh, lol. IT DID! On mine. It hit our windshield and almost made us get in an accident."
hit:3029_conv:6059,utterance,listener,"Wow, that's horrible! I would have been so pissed."
hit:5172_conv:10345,situation,none,"I was eating at a restaurant today, and some lady started cutting her toe nails. What was she thinking? Everyone could see what she was doing."
hit:5172_conv:10345,utterance,speaker,I was at a restaurant today for lunch and some lady just takes out her nail clippers and starts cutting her nails.
hit:5172_conv:10345,utterance,listener,Wow. I guess she really has no care for social constructs.
hit:5172_conv:10345,utterance,speaker,"Yeah I know. It was appalling... I mean, what was she thinking?"
hit:5172_conv:10345,utterance,listener,"it would make me lose my appetite. Oh well, what could you have done?"
hit:4698_conv:9397,situation,none,Women's restrooms always look so dirty.
hit:4698_conv:9397,utterance,speaker,Why are women's public restrooms always so nasty? I was in one at the pool yesterday and pee was everywhere!
hit:4698_conv:9397,utterance,listener,You are so right. I dont get it
hit:4698_conv:9397,utterance,speaker,"Be a little respectful, ladies!"
hit:4698_conv:9397,utterance,listener,ITs weird that mens bathroom are sometimes cleaner.
hit:1543_conv:3086,situation,none,"One time I watched as my cousin touch his infected toe and then stick his fingers right in his mouth. It was already nasty enough, but then he started touching things that everyone else uses. I don't understand some people."
hit:1543_conv:3086,utterance,speaker,"I just can't understand how some people can be so nasty. I go a little overboard washing my hands, but I know some people who don't wash theirs at all!"
hit:1543_conv:3086,utterance,listener,I see people walk out of the bathroom all the time without washing their hands. So gross.
hit:1543_conv:3086,utterance,speaker,"Gah, that's terrible. The worse I know is my cousin. One time that dude had a toe infection, he was rubbing his toe with his fingers, and all of a sudden he sticks his fingers DEEP into his mouth, I don't know why, and then he proceeds to open the fridge with the same hand. How do you NOT wash them in that situation!?"
hit:1543_conv:3086,utterance,listener,That is really disgusting. I don't think I would ever eat at his house.
hit:1543_conv:3086,utterance,speaker,"You're telling me. I get real anxious about germs when I'm around him, lol."
hit:1543_conv:3086,utterance,listener,"Yeah, no doubt!"
hit:7586_conv:15173,situation,none,I really do not like the free education law.
hit:7586_conv:15173,utterance,speaker,I really do not like the free education law.
hit:7586_conv:15173,utterance,listener,Why not?
hit:7586_conv:15173,utterance,speaker,If your parents make too much money you do not qualify.
hit:7586_conv:15173,utterance,listener,It's not fair - but I suppose the opposite view is that if they make enough money then you don't need the support that otehr people do.
hit:11308_conv:22617,situation,none,I got bar-b-cue from a place a month ago. And it literally tasted like they got it out of a dumpster. It was the worst experience ever.
hit:11308_conv:22617,utterance,speaker,I got bar-b-que from a place a few weeks ago and it literally tasted like the got it out of a dumpster.
hit:11308_conv:22617,utterance,listener,"oh no, who messes up bbq"
hit:11308_conv:22617,utterance,speaker,I have no idea but it was the worst taste ever. It tasted rotten.
hit:11308_conv:22617,utterance,listener,probably bad meat
hit:9562_conv:19125,situation,none,My cat just knocked over the trash. She started digging in it.
hit:9562_conv:19125,utterance,speaker,My cat just knocked over the trash and started digging in it.
hit:9562_conv:19125,utterance,listener,I bet that made quite a mess
hit:9562_conv:19125,utterance,speaker,It was quite annoying. I'm tired of picking up after her.
hit:9562_conv:19125,utterance,listener,i feel the same way with my dog sometimes.  always making a mess
hit:11735_conv:23470,situation,none,I found a hair in my food while eating at a restaurant with my boyfriend
hit:11735_conv:23470,utterance,speaker,I found a hair in my food while eating at a restaurant with my boyfriend
hit:11735_conv:23470,utterance,listener,"Ewww, I hope you complained so they can fix the problem! That is defenitly a health violation."
hit:11735_conv:23470,utterance,speaker,"I should've! I kind of brushed it off because it was one of my favorite restaurants, and it looked like a short and thin hair, like an eyelash.."
hit:11735_conv:23470,utterance,listener,"Oh okay! Hopefully it isn't a constant problem, that would suck to loose your favourite resturant."
hit:11735_conv:23470,utterance,speaker,I don't think it is. I've never had that problem before there. I just hope it doesn't happen again because I totally lost my appetite.
hit:3327_conv:6654,situation,none,I saw a dog eating a dead bird on the ground. It was really gross to see.
hit:3327_conv:6654,utterance,speaker,I saw a dog eating a dead bird on the ground.
hit:3327_conv:6654,utterance,listener,eww thats awful.
hit:3327_conv:6654,utterance,speaker,"Yeah, it was really gross to see."
hit:3327_conv:6654,utterance,listener,i bet it was.
hit:9808_conv:19616,situation,none,"I just had my air conditioning system cleaned out because it wasn't working right.  Wow, the junk that came out of it was awful.  The owner before me never used filters."
hit:9808_conv:19616,utterance,speaker,"I just had my air conditioning system cleaned out because it wasn't working right. Wow, the junk that came out of it was awful. The owner before me never used filters."
hit:9808_conv:19616,utterance,listener,Did you call him to complain about that?
