Dialog_ID,Type,Actor,Text
hit:176_conv:353,situation,none,I had one time where I was at a party and a girl started to act really flirty with me and we were both kinda drunk. I had a girlfriend at the time so I made sure to let her know so that she didn't get the wrong idea.
hit:176_conv:353,utterance,speaker,"One time I was at this party and a girl started to get really touchy feely and flirting with me, but I had a girlfriend at the time."
hit:176_conv:353,utterance,listener,what did you do?
hit:176_conv:353,utterance,speaker,"I was way too close to my girlfriend to do anything, so I just let her know that I was in a relationship so that she wouldn't get the wrong idea."
hit:176_conv:353,utterance,listener,that was the right move!
hit:7907_conv:15814,situation,none,I have faith my car is going to make it 3 hours away to my parent's house
hit:7907_conv:15814,utterance,speaker,I have faith my car is going to make it 3 hours away to my parent's house
hit:7907_conv:15814,utterance,listener,"I hope so, is your car in bad shape?"
hit:7907_conv:15814,utterance,speaker,"Yeah, to put it nicely, it's a junker.  I'm saving for a new car but won't be able to get one for another month."
hit:7907_conv:15814,utterance,listener,"Just a month? Not that long to wait, but better be careful in the meantime so you won't be left somewhere far from help."
hit:11695_conv:23390,situation,none,My wife and I have been married for 10 years
hit:11695_conv:23390,utterance,speaker,I love my wife!!
hit:11695_conv:23390,utterance,listener,"thats nice to hear, too many relationships ending nowadays"
hit:11695_conv:23390,utterance,speaker,Yeah I know!  We've been together for about 10 years now!
hit:11695_conv:23390,utterance,listener,wow thats awesome good for you
hit:11695_conv:23390,utterance,speaker,Hey thanks!  She's the light of my life and neither one of us has cheated ever!!
hit:10347_conv:20695,situation,none,"I was going to cheat on my girlfriend because we had gotten into a huge fight- so I went to the bar, and there was this woman there- she was beautiful and we started talking but all I could think about was my girl."
hit:10347_conv:20695,utterance,speaker,I almost made the biggest mistake of my life and cost me the greatest thing that ever happened to me. But I sobered up and didn't do it.
hit:10347_conv:20695,utterance,listener,Oh no that doesn't sound good. What almost happened?
hit:10347_conv:20695,utterance,speaker,I had gotten into a huge fight with my girlfriend so I went out with some buddies and started chatting and flirting with this beautiful woman at the bard.
hit:10347_conv:20695,utterance,listener,Well I'm glad you sobered up and didn't do anything you would regret later!
hit:2015_conv:4030,situation,none,I've been with my wife for over 10 years and have never been tempted to cheat. I can't understand why people do such things.
hit:2015_conv:4030,utterance,speaker,I've been with my wife for over 10 years and have always been dedicated to her. I can't understand why some people cheat.
hit:2015_conv:4030,utterance,listener,Oh me neither! I don't like a cheater!
hit:2015_conv:4030,utterance,speaker,"Yeah. I've always said that if you're tempted to cheat, why not just end the relationship first?"
hit:2015_conv:4030,utterance,listener,"Seems simple, but nobody does it that way it seems like."
hit:10546_conv:21093,situation,none,workign when we had to change job locations
hit:10546_conv:21093,utterance,speaker,"I work from home now, but the last few years, I worked at a daycare.  It doesn't seem like much but my kids went for free and I loved everyone there! I should have quit so many times but I stayed"
hit:10546_conv:21093,utterance,listener,I can see why it was hard to quit!  Do you like your job now?
hit:10546_conv:21093,utterance,speaker,"I like it okay.  I still miss it though.  Even after Hurricane Harvey and my work building flooded, I drove an extra 40 minutes to get there.  But I had a baby recently and it jsut makes sense to be at home now."
hit:10546_conv:21093,utterance,listener,That sounds tough.  It seems like you guys at the daycare went through a lot together.
