Dialog_ID,Type,Actor,Text
hit:11227_conv:22454,situation,none,A neighbor mowed over my flower bed. All of my flowers were destroyed.
hit:11227_conv:22454,utterance,speaker,"When my neighbor mowed his lawn yesterday, he ran over my flower bed. All of my flowers were destroyed."
hit:11227_conv:22454,utterance,listener,my goodness so terrible
hit:11227_conv:22454,utterance,speaker,"Yes, I worked hard on them all summer, so I was pretty angry."
hit:11227_conv:22454,utterance,listener,oh i bet i would have been too
hit:1664_conv:3329,situation,none,I am so mad that Hillary Clinton didn't go to jail.
hit:1664_conv:3329,utterance,speaker,I am so mad Hillary Clinton didn't go to jail.
hit:1664_conv:3329,utterance,listener,I can understand that.  I feel like Trump should have gone to jail a long time ago
hit:1664_conv:3329,utterance,speaker,"No, he never breaks the law just takes advantage of it."
hit:1664_conv:3329,utterance,listener,I totally agree with you
hit:7689_conv:15378,situation,none,The government is increasing taxes again. They keep increasing taxes without explain why. Most of our taxes are stole by them.
hit:7689_conv:15378,utterance,speaker,The government is increasing taxes again. They keep increasing taxes without explain why. Most of our taxes are stolen by them.
hit:7689_conv:15378,utterance,listener,Excatly! I would love to know what they spend it all on
hit:7689_conv:15378,utterance,speaker,It is making me very angry. I am sure that most of them have found a way to not pay taxes.
hit:7689_conv:15378,utterance,listener,"Yup, they cheat the system and then get a huge refund back"
hit:1908_conv:3816,situation,none,My dog decided to chew more than a few pieces of furniture while I was at work. I have to replace all of them!
hit:1908_conv:3816,utterance,speaker,My dog decided to chew more than a few pieces of furniture while I was at work :(
hit:1908_conv:3816,utterance,listener,Uh oh. Did he ruin some furniture?
hit:1908_conv:3816,utterance,speaker,Yup. I have to replace many items since he chewed them to bits. Crazy dog.
hit:1908_conv:3816,utterance,listener,That is too bad. I bet you were not happy.
hit:11547_conv:23094,situation,none,My cats are tearing up my basement! They've been so bad lately and just ripping up valuable furniture. They are acting like little demons.
hit:11547_conv:23094,utterance,speaker,"My cats for the most part are angels, but they've absolutely destroyed a very nice sofa bed my grandmother left me when she passed."
hit:11547_conv:23094,utterance,listener,Oh no! I take they still got their claws. mine is the same way but there is one piece of furniture he just insists on ruining.
hit:11547_conv:23094,utterance,speaker,"This is the first time ever they've done this so I am so baffled. I'll tell you what, this thing is totally shredded."
hit:11547_conv:23094,utterance,listener,oh my goodness. they got a taste of it and went to town. i'm so sorry.
hit:11547_conv:23094,utterance,speaker,It's ok. At first I was livid and sad because of the sentimental value but now I just have to cover it all up I guess.
hit:11547_conv:23094,utterance,listener,"Yep, thats what I did with the chair mine messed up pretty bad."
hit:11547_conv:23094,utterance,speaker,"Thanks for the well wishing though, I appreciate it."
hit:9260_conv:18520,situation,none,"My cat pooped on the bed the other day, I threw away the sheet"
hit:9260_conv:18520,utterance,speaker,"My cat pooped on the bed the other day, I threw away the sheet"
hit:9260_conv:18520,utterance,listener,Do you have a pet
hit:9260_conv:18520,utterance,speaker,"Yes, I have a cat that lives with me"
hit:9260_conv:18520,utterance,listener,Did you gave any pet name to your cat
hit:5506_conv:11013,situation,none,Someone cut me off in traffic the other day.
hit:5506_conv:11013,utterance,speaker,Someone cut me off in traffic the other day.
hit:5506_conv:11013,utterance,listener,I hate when that happens
hit:5506_conv:11013,utterance,speaker,"I know, it's like people think 5 seconds is worth risking lives over."
hit:5506_conv:11013,utterance,listener,I know. You don't get that much further ahead of someone doing that
hit:10070_conv:20140,situation,none,My cats ripped up my brand new couch! I know they're just animals who might know any better but it was a gift from family!
hit:10070_conv:20140,utterance,speaker,Oh boy I am livid! I just got this new couch from my family and my cats have already shredded an entire side of it.
hit:10070_conv:20140,utterance,listener,"Oh no, that's such an awful thing for them to do. Do your cats often ruin things in the household?"
hit:10070_conv:20140,utterance,speaker,"No, that's what's very shocking about this! They're decent cats. I know they're animals who don't know better but I really liked this couch."
hit:10070_conv:20140,utterance,listener,Oh odd. That's a good way to look at it though; too many people get too angry with their pets over these type of things.
hit:10070_conv:20140,utterance,speaker,Agreed. We forget that they're small animals. Their brains aren't that big!
hit:1742_conv:3485,situation,none,I was trying to explain something to someone and they cut me off and would not listen.
hit:1742_conv:3485,utterance,speaker,I was trying to explain something to someone and they cut me off and would not listen
hit:1742_conv:3485,utterance,listener,I hate when that happens
hit:1742_conv:3485,utterance,speaker,It is something that can be hard to deal with.
hit:1742_conv:3485,utterance,listener,Being courteous isnt that hard. People just dont try
hit:7454_conv:14909,situation,none,My little brother took my car keys and flashed them down the toilet. Can't understand how they left him unattended in the room
