Dialog_ID,Type,Actor,Text
hit:1140_conv:2281,situation,none,I was feeling rather hungry and then my friend gave me some food!
hit:1140_conv:2281,utterance,speaker,I was getting home from work one day and was feeling hungry. I wasn't able to eat at lunch break at work. When I got to my house a friend of mine was there and had pizza!
hit:1140_conv:2281,utterance,listener,Nice did your friend give you a piece?
hit:1140_conv:2281,utterance,speaker,Yes we ate the whole pizza together!
hit:1140_conv:2281,utterance,listener,Cool what kind of pizza was it
hit:1140_conv:2281,utterance,speaker,"It was the kind with all the meats and also all the veggies, there must have been like 8-10 different toppings on that thing!"
hit:4357_conv:8715,situation,none,My husband was in a car wreck 2 years ago and broke his back. After he came home from the hospital the church brought us dinner every night for 2 weeks. It was so great.
hit:4357_conv:8715,utterance,speaker,My husband broke his back in a car wreck a couple of years ago. For 2 week after we came home the church brought us dinner every night.
hit:4357_conv:8715,utterance,listener,That's so nice. Is he doing better now?
hit:4357_conv:8715,utterance,speaker,He is doing amazing. We didn't want them to quit bringing food. It was so good.
hit:4357_conv:8715,utterance,listener,I'm sure it was a great comfort to you. Food is a great way to tell someone you care.
hit:8462_conv:16924,situation,none,I have an wonderful husband and two precious kids.  They are everything to me.
hit:8462_conv:16924,utterance,speaker,I have an wonderful husband and two precious kids. They are everything to me.
hit:8462_conv:16924,utterance,listener,You are so lucky. They must bring you great joy.
hit:8462_conv:16924,utterance,speaker,They really do.  I couldn't have gotten to hard times without them.
hit:8462_conv:16924,utterance,listener,That is amazing. I am sure they appreciate you too.
hit:1887_conv:3775,situation,none,I was driving on the freeway the other day and there was a car ahead of me that was swerving bad. This really bugs me but I had no where to go on the road other then to slow down and fall back to get away from that car. Luckily after several minutes of this person swerving in and out of their lane a state trooper pulled them over.
hit:1887_conv:3775,utterance,speaker,I was driving on the freeway the other day and there was a car ahead of me that was swerving bad. This really bugs me but I had no where to go on the road other then to slow down and fall back to get away from that car.
hit:1887_conv:3775,utterance,listener,"According to my knowledge and understanding, I believe that you did something really prudent"
hit:1887_conv:3775,utterance,speaker,Thank you. I really couldnt get too far away from the car but fortunately after several minutes of this we passed a state trooper who then pulled them over. I really wish people didnt drive so dangerously.
hit:1887_conv:3775,utterance,listener,Moderation in driving is important to avoid dangerous situations
hit:5896_conv:11792,situation,none,A friend of mine is not feeling well today.  He gave me his tickets to the Kid Rock concert tonight.
hit:5896_conv:11792,utterance,speaker,My friend is not feeling well today.
hit:5896_conv:11792,utterance,listener,"Oh no, are they going to be okay?"
hit:5896_conv:11792,utterance,speaker,"Yes. Though he is not feeling well, I am fortunate that he gave me his tickets to the Kid Rock concert tonight."
hit:5896_conv:11792,utterance,listener,"Oh, that will be so fun!"
hit:5308_conv:10617,situation,none,My son had to have an MRI done because of seizures and thankfully it was clean.
hit:5308_conv:10617,utterance,speaker,My son was diagnosed with epilepsy recently and he had to have an MRI done.
hit:5308_conv:10617,utterance,listener,"that is not good i am really sorry to hear that, is he o?"
