Dialog_ID,Type,Actor,Text
hit:3115_conv:6230,situation,none,I swore off fast food this month and today I had McDonalds. I have no will power.
hit:3115_conv:6230,utterance,speaker,I swore off fast food this month.
hit:3115_conv:6230,utterance,listener,Good job!  How are you doing so far?
hit:3115_conv:6230,utterance,speaker,I had McDonalds today. I am doing terrible
hit:3115_conv:6230,utterance,listener,It is tough.  Don't be too hard on yourself.  Just do better moving forward
hit:3115_conv:6230,utterance,speaker,I am gonna try
hit:2788_conv:5576,situation,none,Sometimes I'll forget to feed my dog. I can't help but feel bad about it...
hit:2788_conv:5576,utterance,speaker,Sometimes I'll forget to feed my dog. I can't help but feel bad about it...
hit:2788_conv:5576,utterance,listener,That's not good at all
hit:2788_conv:5576,utterance,speaker,Yeah I feel super guilty
hit:2788_conv:5576,utterance,listener,Can't you just leave food out? Or set an alarm on your phone?
hit:5202_conv:10404,situation,none,I feel guilty for smoking in the house today when it was raining outside.  It hurts my family.
hit:5202_conv:10404,utterance,speaker,I feel guilty for smoking in the house today when it was raining outside.
hit:5202_conv:10404,utterance,listener,"Almost all my family members have smoked at one point in time. I feel bad for the people that get caught in the addiction, and I wish I could help them quit. Sorry to hear it's such a hassle enough that you had to do it inside."
hit:5202_conv:10404,utterance,speaker,It's a horrible addiction that I always keep putting off correcting.  I plan to make an effort to quit tomorrow.
hit:5202_conv:10404,utterance,listener,"Hey, I really hope you do. It was partly why my dad had a stroke and then had health problems the rest of his life. But I'm sure you get that all the time. You have to do it for you, not because of horror stories and all that. I hope you get through it, though."
hit:4726_conv:9453,situation,none,I ate McDonalds in the car the other day because I didn't buy my kids any
hit:4726_conv:9453,utterance,speaker,I at someMcDonalds in my car the other day
hit:4726_conv:9453,utterance,listener,How was it?
hit:4726_conv:9453,utterance,speaker,It was great. I was hiding from my kids I didnt get them any lol
hit:4726_conv:9453,utterance,listener,That's pretty mean... jeez
hit:4726_conv:9453,utterance,speaker,I know. Im terrible
hit:4726_conv:9453,utterance,listener,I'm gonna tell on you.
hit:4726_conv:9453,utterance,speaker,There is no evidence
hit:492_conv:984,situation,none,"One time I saw a 64gb flash drive plugged into a computer. I really needed one so I just took it since it didn't have any information on it, but I couldn't help but feel bad about it."
hit:492_conv:984,utterance,speaker,"As bad as it is to say, one time I took a flash drive that I saw in a computer that I used at school because I needed one and it had nothing on it."
hit:492_conv:984,utterance,listener,That's interesting. At least you got some new storage space!
hit:492_conv:984,utterance,speaker,"I know man, thanks for being so supportive of my otherwise questionable decision!"
hit:492_conv:984,utterance,listener,Well stealing electronics can usually be harmful to the original user because information is so personally valuable so don't do it again!
hit:9123_conv:18247,situation,none,I stole a gift card from my friends house.  I feel so ashamed for doing such a thing.
hit:9123_conv:18247,utterance,speaker,I stole a gift card from my friends house.
hit:9123_conv:18247,utterance,listener,Yikes. Why did you take it may I ask?
hit:9123_conv:18247,utterance,speaker,I wanted to sell it.  I feel so ashamed for doing such a thing.
hit:9123_conv:18247,utterance,listener,"Ah, well if you haven't sold it yet, there's still time to return it!"
hit:1406_conv:2812,situation,none,"Borrowed my friend's car, and someone rammed her the door in the parking lot."
hit:1406_conv:2812,utterance,speaker,"Borrowed my friend's car, and someone rammed her the door in the parking lot."
hit:1406_conv:2812,utterance,listener,Oh no... yikes have you told your friend yet?
hit:1406_conv:2812,utterance,speaker,Oh yea. I'm paying her deductible for it.
hit:1406_conv:2812,utterance,listener,well thats good of you! too bad it happened :/ but glad shes not upset
hit:7487_conv:14975,situation,none,I accidentally popped my little brother in the nose. It started bleeding and I felt terrible.
