Dialog_ID,Type,Actor,Text
hit:7387_conv:14774,situation,none,This summer heat is almost over!
hit:7387_conv:14774,utterance,speaker,This summer heat is almost over!
hit:7387_conv:14774,utterance,listener,yes i cant wait for it to be over!
hit:7387_conv:14774,utterance,speaker,Fall and spring are my favorite seasons. Can't deal with these extreme weathers lol.
hit:7387_conv:14774,utterance,listener,yea we have the AC on way too much in the summers
hit:12243_conv:24487,situation,none,I am feeling this way while applying to graduate school. I really need to get in.
hit:12243_conv:24487,utterance,speaker,I am really hoping I get accepted into the school counseling program for grad school.
hit:12243_conv:24487,utterance,listener,Do you think you have a good shot?
hit:12243_conv:24487,utterance,speaker,I think so! I just have to be prepared for the interview.
hit:12243_conv:24487,utterance,listener,Is the interview soon? Good luck.
hit:11422_conv:22844,situation,none,We are having lay offs at my job. I dont want to be let go but it happens
hit:11422_conv:22844,utterance,speaker,My boss told us all today that there might be lay offs coming.
hit:11422_conv:22844,utterance,listener,"ohh, that's bad. But, you will be fine. Don't worry!"
hit:11422_conv:22844,utterance,speaker,I dont know he said a lot of stuff and it has everyone on edge
hit:11422_conv:22844,utterance,listener,They just talk these things to scare us. Don't be scared. I am sure you will be fine! I will pray for you!
hit:2942_conv:5884,situation,none,"I'm not in the best financial situation right now. Hear me out, these ramen noodles will turn into filet mignon steaks one day!"
hit:2942_conv:5884,utterance,speaker,"I'm not in the best financial situation right now. Hear me out, these ramen noodles will turn into filet mignon steaks one day!"
hit:2942_conv:5884,utterance,listener,Hey. It happened to me. It could happen to you too!
hit:2942_conv:5884,utterance,speaker,"Yeah, it's not so tasty but I'm very hopeful that hard work will pay off!"
hit:2942_conv:5884,utterance,listener,Have you ever put butter in your noodles. It elevates them lol
hit:2942_conv:5884,utterance,speaker,"Butter? I need to try that, I'm just using cheese and chopped vegetables."
hit:2942_conv:5884,utterance,listener,I've never used cheese. Learn something new every day.
hit:969_conv:1938,situation,none,I thought just maybe I would of got the promotion.
hit:969_conv:1938,utterance,speaker,"I thought I may of got the promotion, but I didn't."
hit:969_conv:1938,utterance,listener,Why did you think that?
hit:969_conv:1938,utterance,speaker,I was the most qualified for the job.
hit:969_conv:1938,utterance,listener,What makes you qualified?
hit:7744_conv:15488,situation,none,I'm meeting a girl for a date at the zoo this afternoon.
hit:7744_conv:15488,utterance,speaker,I'm meeting a girl for a date at the zoo this afternoon.
hit:7744_conv:15488,utterance,listener,Awesome first date! Hopefully it goes well for you.
hit:7744_conv:15488,utterance,speaker,I'm optimistic. I think its going to go well.
hit:7744_conv:15488,utterance,listener,What's your favorite exhibit at the zoo?
hit:7744_conv:15488,utterance,speaker,I like the reptile exhibit.  I'm a fan of snakes.
