Dialog_ID,Type,Actor,Text
hit:7678_conv:15356,situation,none,I watched a television program with people who were competing to be on Broadway. I couldn't believe how well they sang and danced!
hit:7678_conv:15356,utterance,speaker,I watched a competition show on television in which people were competing to be on Broadway. They were amazing! They could sing and dance so beautifully!
hit:7678_conv:15356,utterance,listener,You must have been so impressed. They must have been quite talented.
hit:7678_conv:15356,utterance,speaker,They were unbelievable. They were also so attractive - just really stunning.
hit:7678_conv:15356,utterance,listener,I wish I could dance like that! Too bad I am only good with computers!
hit:9840_conv:19680,situation,none,My nephew starts on the football team
hit:9840_conv:19680,utterance,speaker,My nephew starts 10th grade this year
hit:9840_conv:19680,utterance,listener,Ohhhh sophomore year can be tough. How do you feel about that?
hit:9840_conv:19680,utterance,speaker,Pretty proud of him!  He's starting the football team too!
hit:9840_conv:19680,utterance,listener,"Wow. He's taking on quite a lot, but it'll be good for building his character as he gets older!"
hit:9840_conv:19680,utterance,speaker,Yeah.  he's pretty good at football too!
hit:12162_conv:24324,situation,none,I went to a magic show last weekend. The magician's tricks were really amazing. It takes a lot of talent to do that.
hit:12162_conv:24324,utterance,speaker,I went to a magic show last week. The magician was really talented.
hit:12162_conv:24324,utterance,listener,That's cool.  Was he better than Cris Angel
hit:12162_conv:24324,utterance,speaker,"Oh yeah, definitely. It takes a lot of skill to be able to perform like that."
hit:12162_conv:24324,utterance,listener,What kind of tricks did he do
hit:3153_conv:6307,situation,none,My daughter spoke her first words yesterday. I was so proud.
hit:3153_conv:6307,utterance,speaker,My daughter said her first word yesterday. I was so proud!
hit:3153_conv:6307,utterance,listener,"Oh wow, I bet that made you smile"
hit:3153_conv:6307,utterance,speaker,"It did! She said ""daddy"". Chills went down my spine."
hit:3153_conv:6307,utterance,listener,That is very awesome
hit:5833_conv:11666,situation,none,I couldnt believe my friend bought a Porsche.
hit:5833_conv:11666,utterance,speaker,I couldnt believe that my friend got himself a brand new Porsche last week.
hit:5833_conv:11666,utterance,listener,"That is so cool, how does that make you feel?"
hit:5833_conv:11666,utterance,speaker,I am just impressed that he can afford something that expensive!
hit:5833_conv:11666,utterance,listener,"Yeah, those cars are really pricey."
hit:1432_conv:2865,situation,none,I am impressed with my friend who rescues animls down south no matter what she is up against constantly.
hit:1432_conv:2865,utterance,speaker,I have a friend down south who rescues so many animals everywhere she goes without any help. She uses all her own money and the police and AC aren't even nice to her. She goes through so much adversity and sees so much abuse- yet she keeps going with a good attitude
hit:1432_conv:2865,utterance,listener,She sounds like a wonderful person. People who try to help defenseless animals are really special.
hit:1432_conv:2865,utterance,speaker,She is! I don't know how she keeps such a good attitude. She sees so much abuse and the AC doesn't even care. She holds dying animals. She is truly a good person! She is so nice to everyone.
hit:1432_conv:2865,utterance,listener,She sounds wonderful. I'd definitely want to be friends with someone like that.
hit:9972_conv:19945,situation,none,I went to a new store to check it out. I was really pleased with what I saw.
hit:9972_conv:19945,utterance,speaker,I went to a new store to check it out. I was really pleased with what I saw.
hit:9972_conv:19945,utterance,listener,Oh nice. What type of stuff does the store sell?
hit:9972_conv:19945,utterance,speaker,"A variety of items. Everything was so neat and clean. They sold me on it, I will go back."
hit:9972_conv:19945,utterance,listener,That's cool. I like when stores are organized and not a chaotic mess!
hit:11890_conv:23780,situation,none,I am happy with myself for cleaning my entire house in one afternoon.
hit:11890_conv:23780,utterance,speaker,I feel happy with myself right now.
hit:11890_conv:23780,utterance,listener,"that's nice, wanna share this wonderful experience with me?"
hit:11890_conv:23780,utterance,speaker,"Sure, it was just that I managed to clean my entire house this morning in just a few hours. I defied my own expectations."
hit:11890_conv:23780,utterance,listener,wow! that is such a wonderful thing to do indeed! i am proud of you
hit:7133_conv:14266,situation,none,My niece was able to ride her new bike without having to use training wheels. She made a big impact on me.
hit:7133_conv:14266,utterance,speaker,My niece was able to ride her new bike without having to use training wheels. She made a big impact on me.
hit:7133_conv:14266,utterance,listener,That's great. How old is she?
hit:7133_conv:14266,utterance,speaker,She is five and amazing.
hit:7133_conv:14266,utterance,listener,Lol. Do you see a lot of her?
hit:7711_conv:15422,situation,none,My new Tesla drove 4 miles on autopilot.
hit:7711_conv:15422,utterance,speaker,My new Tesla drove 4 miles on autopilot by itself!
hit:7711_conv:15422,utterance,listener,Wow thats amazing. You must be excited and full of joy!
hit:7711_conv:15422,utterance,speaker,"I agree, and I am so impressed by all this new technology."
hit:7711_conv:15422,utterance,listener,I can agree how you can feel amazed about. Maybe I will get one so I can be amused just like you.
hit:1105_conv:2210,situation,none,I am surprise about the economy nowadays.
hit:1105_conv:2210,utterance,speaker,I am surprise about the economy nowadays
hit:1105_conv:2210,utterance,listener,How come?
hit:1105_conv:2210,utterance,speaker,I tought Trump would break the economy
hit:1105_conv:2210,utterance,listener,"Ah yea, I guess he hasn't yet."
hit:5547_conv:11095,situation,none,MY boyfriend cooked me dinner the other day. I don't like people in my kitchen
hit:5547_conv:11095,utterance,speaker,My boyfriend cooked me dinner for the first time. I did not trust him in my kitchen
hit:5547_conv:11095,utterance,listener,Well that's fun!  Did he do a good job?
hit:5547_conv:11095,utterance,speaker,He did amazing. He made fish tacos and it was just like the ones we had in mexico
hit:5547_conv:11095,utterance,listener,Cool I'm glad it was a success.  I hope it reminded you of good times!
hit:5547_conv:11095,utterance,speaker,Sure did. I told him I wasnt cooking anymore lol
hit:6072_conv:12144,situation,none,My husband recently spent a year studying and taking the 4 exams for a CPA license.  He passed them all with flying colors.
hit:6072_conv:12144,utterance,speaker,My husband recently spent a year studying for the different parts of the CPA exam.
hit:6072_conv:12144,utterance,listener,What is the CPA exam?
hit:6072_conv:12144,utterance,speaker,Certified Public Accountant - he passed all 4 exams with flying colors!
hit:6072_conv:12144,utterance,listener,I bet he must be extremely relieved and happy to have that exam behind him. Those exams can be extremely nerve wracking. Did he have longs periods of study time?
hit:177_conv:354,situation,none,"I asked my 7 year old what 12x12 was the other day, and he gave me the correct answer."
hit:177_conv:354,utterance,speaker,"So, I asked my 7 year old what 12x12 was the other day, and he gave me the correct answer without hesitation."
hit:177_conv:354,utterance,listener,"That's impressive, sounds like a smart young man."
hit:177_conv:354,utterance,speaker,"Thanks, I'm really proud of him. We homeschool so I guess I'm doing something right!"
hit:177_conv:354,utterance,listener,"Sounds like it, Good for you guys!"
hit:1960_conv:3921,situation,none,I was amazed of the skill of an orchestra.
hit:1960_conv:3921,utterance,speaker,I was amazed at the orchestra I saw last week.
hit:1960_conv:3921,utterance,listener,what orchestra was it or where was it?
hit:1960_conv:3921,utterance,speaker,It was a classical orchestra at a theater in town.
hit:1960_conv:3921,utterance,listener,sounds very cool id love to go listen someday
hit:9932_conv:19865,situation,none,My friend got a full ride scholarship for overseas.
hit:9932_conv:19865,utterance,speaker,My friend got a full ride scholarship for overseas
hit:9932_conv:19865,utterance,listener,"Ooh, where are they going?"
hit:9932_conv:19865,utterance,speaker,She's going to Britain!
hit:9932_conv:19865,utterance,listener,"Wow, I have a friend that went there for school too!"
hit:8043_conv:16086,situation,none,I saw a guy convince someone to give them there phone
hit:8043_conv:16086,utterance,speaker,I saw a guy convince someone to give them there phone
hit:8043_conv:16086,utterance,listener,Mustve been some good convincing.  Was it a robbery?
hit:8043_conv:16086,utterance,speaker,nope i was very surprised by how good of a con man he was
