Dialog_ID,Type,Actor,Text
hit:4322_conv:8645,situation,none,Nephew caught a big fish
hit:4322_conv:8645,utterance,speaker,My nephew caught a huge bass this weekend!
hit:4322_conv:8645,utterance,listener,"That is cool, did you teach him how to fish?"
hit:4322_conv:8645,utterance,speaker,No lol.  He's actually better at it than I am!  I didn't catch anything
hit:4322_conv:8645,utterance,listener,I am sure he didn't let you hear the end of that.
hit:4322_conv:8645,utterance,speaker,haha.  I doubt he ever will!  That turd!
hit:9562_conv:19124,situation,none,I found out my wife was cheating on me with another guy last weekend.  I couldnt beleive it when i found out
hit:9562_conv:19124,utterance,speaker,I found out that my wife had been cheating on me last week. I was not expecting that
hit:9562_conv:19124,utterance,listener,Wow that must be awful.
hit:9562_conv:19124,utterance,speaker,Yea I couldnt believe it.  It's ok though.  I have been spending the nights at her sisters
hit:9562_conv:19124,utterance,listener,That's fair. Space is good
hit:8975_conv:17951,situation,none,"I really like my friend's Chanel bag, but I would never spend that much money on an accessory"
hit:8975_conv:17951,utterance,speaker,"I really like my friend's Chanel bag, but I would never spend that much money on an accessory"
hit:8975_conv:17951,utterance,listener,Maybe she will let you borrow it. Or maybe if she gets a new one she will give it to you.
hit:8975_conv:17951,utterance,speaker,"I doubt it, they cost 4000 dollars, it's crazy"
hit:8975_conv:17951,utterance,listener,"That's way too expensive for a bag. What is it made of, gold? Haha."
hit:11346_conv:22692,situation,none,Seeing reality stars on tv
hit:11346_conv:22692,utterance,speaker,I get so tired of seeing half naked women aka the Kardashians all over the tv and internet.
hit:11346_conv:22692,utterance,listener,i agree with you on that one it can be very frustrating seeing that all the time
hit:11346_conv:22692,utterance,speaker,I don't understand how they are building women up by flaunting themselves and heavily editing their pics...
hit:11346_conv:22692,utterance,listener,Yeah i agree 100 percent.  Its not a good look to make someone look perfect when in reality nobody's perfect
hit:3141_conv:6283,situation,none,I hate when people get new things when they come out and I have to save up
hit:3141_conv:6283,utterance,speaker,I always have to save up to buy myself something nice.
hit:3141_conv:6283,utterance,listener,I hear you :) I do the same
hit:3141_conv:6283,utterance,speaker,I envy people who can just spend so freely
hit:3141_conv:6283,utterance,listener,I know right? I am working on a side business so I can do that one day. You should totally get a side hustle.
hit:3141_conv:6283,utterance,speaker,I should but I work and go to school. I don't know if I can right now
hit:3141_conv:6283,utterance,listener,I understand! What are you going to school for?
hit:3141_conv:6283,utterance,speaker,psychology. its boring lol
