Dialog_ID,Type,Actor,Text
hit:115_conv:231,situation,none,I was going through old photos of my family and when I was younger.
hit:115_conv:231,utterance,speaker,Last time I was at my parent's house I went through some old photo albums and started reminiscing.
hit:115_conv:231,utterance,listener,What did you think about?
hit:115_conv:231,utterance,speaker,I just thought about how easy and carefree life was when I was a child. I was never alone and always had something to do.
hit:115_conv:231,utterance,listener,glad to hear you had such a carefree childhood. do you have siblings?
hit:115_conv:231,utterance,speaker,I have younger brothers that are 7 years younger than I am so I was an only child for awhile.
hit:11037_conv:22075,situation,none,My best friend from highschool and I pulled out our old year books the other day.  We had so much fun telling stories about all of the stupid things we did back then.
hit:11037_conv:22075,utterance,speaker,My best friend from high school and I pulled out our old year books the other day.
hit:11037_conv:22075,utterance,listener,Thats awesome! I was actually looking for mine the other day.  Were you looking up anyone in particular or just for fun?
hit:11037_conv:22075,utterance,speaker,Just for fun.  We had a blast telling stories about our high school days.
hit:11037_conv:22075,utterance,listener,I still see my high school buddies on a somewhat regular basis but it is a great time telling those stories over and over.
hit:7190_conv:14381,situation,none,I saw these kids walking aruond in their football uniforms and it reminded me of my high school days.
hit:7190_conv:14381,utterance,speaker,I saw a couple of kids walking around in their high school football uniforms after practice the other day.
hit:7190_conv:14381,utterance,listener,oh really?
hit:7190_conv:14381,utterance,speaker,Yeah it really took me back to when I was doing the same thing.
hit:7190_conv:14381,utterance,listener,yea nostalgia is a real kicker
hit:8620_conv:17240,situation,none,I remember when I first found my cat... she was so tiny
hit:8620_conv:17240,utterance,speaker,I remember when I first found my cat... she was so tiny
hit:8620_conv:17240,utterance,listener,Did you nurse her back to health and get some weight on her?
hit:8620_conv:17240,utterance,speaker,"Yes, she was probably just 3 to 4 weeks old"
hit:8620_conv:17240,utterance,listener,I bet she was so tiny!  I'm glad you found her and were able to take care of her.
hit:1376_conv:2752,situation,none,"I get nostalgic thinking about Pokemon when I was younger, I had so much fun with that gamer"
hit:1376_conv:2752,utterance,speaker,"I get nostalgic thinking about Pokemon when I was younger, I had so much fun with that game"
hit:1376_conv:2752,utterance,listener,"that is pretty normal, so do i"
hit:1376_conv:2752,utterance,speaker,"It was so fun, I wish I could go back to those days"
hit:1376_conv:2752,utterance,listener,"those days will not ever come again, we have to live with it"
hit:6112_conv:12225,situation,none,I have a senior and a sophomore this year.  Seeing all the little girls taking their first ballet class this week was a bit hard.  The years go by so very fast.
hit:6112_conv:12225,utterance,speaker,I have a senior and a sophmore in high school this year.
hit:6112_conv:12225,utterance,listener,Are they doing well in school?
hit:6112_conv:12225,utterance,speaker,"They are both amazing students, but after seeing some new little girls going to their first ballet class this week, well the years just go by so fast."
hit:6112_conv:12225,utterance,listener,"They do, just make sure to cherish it"
hit:9253_conv:18507,situation,none,I really like the new SNES Classic system. It reminds me of when I used to play the classic video games as a kid.
hit:9253_conv:18507,utterance,speaker,I love the new SNES Classic system. It reminds me of when I first played SNES as a kid.
hit:9253_conv:18507,utterance,listener,How fun! I remember the good old days with those games you didn't need a monthly subscription to
hit:9253_conv:18507,utterance,speaker,"Yes, a lot of newer games you need to buy a lot of extra things don't you? I prefer to good old day."
hit:9253_conv:18507,utterance,listener,"Yeah they're all pay to play, I think you should be able to play the whole game the first time you buy it..."
hit:5569_conv:11138,situation,none,"I was looking through my old snapchats at videos of my son.  It's fun, but at the same time it is tough to watch."
