Dialog_ID,Type,Actor,Text
hit:2925_conv:5850,situation,none,I am ready for the fall.
hit:2925_conv:5850,utterance,speaker,I am ready for the fall.
hit:2925_conv:5850,utterance,listener,I love the fall.
hit:2925_conv:5850,utterance,speaker,I really love how the leaves turn colors.
hit:2925_conv:5850,utterance,listener,I used to love the piles of leaves when I was younger. Raking is no fun now.
hit:6345_conv:12691,situation,none,"I'm going to have a baby next week,,,, I think im ready!"
hit:6345_conv:12691,utterance,speaker,"I'm going to have a baby next week,,,, I think im ready!"
hit:6345_conv:12691,utterance,listener,That's great! Is it a boy or a girl?
hit:6345_conv:12691,utterance,speaker,"It's a girl, my second girl"
hit:6345_conv:12691,utterance,listener,That's so nice! What are you going to name her?
hit:6345_conv:12691,utterance,speaker,Alessia :)
hit:11914_conv:23829,situation,none,I like to do all of my shopping for Thanksgiving dinner early so I will be ready and I don't have to fight the crowds.
hit:11914_conv:23829,utterance,speaker,I like to do all of my shopping for Thanksgiving dinner early so I will be ready and I don't have to fight the crowds.
hit:11914_conv:23829,utterance,listener,"That's a good idea, what do you need to buy?"
hit:11914_conv:23829,utterance,speaker,I scour the sales ads for the early specials and then make my list accordingly.
hit:11914_conv:23829,utterance,listener,"That's smart, I love a big turkey dinner the family will be pleased I bet."
hit:10649_conv:21299,situation,none,"I read the driving permit booklet probably 10 times cover to cover, before I ended up taking the actual test."
hit:10649_conv:21299,utterance,speaker,"I read the driving permit booklet probably 10 times cover to cover, before I ended up taking the actual test."
hit:10649_conv:21299,utterance,listener,Wow! that is some real dedication you have! Did you manage to pass the test?
hit:10649_conv:21299,utterance,speaker,"I did! I did tremendously, got them all right. I think I went a little overkill, to be honest.."
hit:10649_conv:21299,utterance,listener,"Wow that is great! I am so proud of you. And hey, it never hurts to study more. :)"
hit:4380_conv:8761,situation,none,I have my driving test tomorrow at DPS. The whole weekend I only practiced parallel parking with my friend
hit:4380_conv:8761,utterance,speaker,"Tomorrow, I have my driving test. This whole weekend I practiced parallel parking which is the hardest part of it"
hit:4380_conv:8761,utterance,listener,Just take your time and don't get so nervous you got this.
hit:4380_conv:8761,utterance,speaker,"I am trying to. My friend who got his recently, has been helping me with some insightful tips for the test"
hit:4380_conv:8761,utterance,listener,Great to have some hands on help parallel parking is very hard but once down packed it is easy.
hit:9544_conv:19088,situation,none,"I just got all the curriculum ready to teach both my kids this year.  Folders filled, binders ready, and books organized.  Let's start school!"
hit:9544_conv:19088,utterance,speaker,"I just got all the curriculum ready to teach both my kids this year. Folders filled, binders ready, and books organized. Let's start school!"
hit:9544_conv:19088,utterance,listener,That is great are they home school?
hit:9544_conv:19088,utterance,speaker,"Yes, I homeschool them and really enjoy it.  I'm excited to start schooling 2 kids  instead of one. We'll see how it goes!"
