Dialog_ID,Type,Actor,Text
hit:9958_conv:19916,situation,none,I'm upset that my husband is lazy
hit:9958_conv:19916,utterance,speaker,I'm upset that my husband is lazy
hit:9958_conv:19916,utterance,listener,Could there be a reason that he is?
hit:9958_conv:19916,utterance,speaker,I don't know it. But I want to change him and his behaviours
hit:9958_conv:19916,utterance,listener,It must be frustrating! How are you gonna go about doing it?
hit:6302_conv:12604,situation,none,I need to put my dog up for adoption.  I am so devastated thinking about it.
hit:6302_conv:12604,utterance,speaker,I need to put my dog up for adoption.
hit:6302_conv:12604,utterance,listener,"Aw, why is that? Is it acting up?"
hit:6302_conv:12604,utterance,speaker,I am joining the military.  I am so devastated thinking about it.
hit:6302_conv:12604,utterance,listener,Why is that? The military isn't so bad. The pay is really nice if you stick around for a bit.
hit:9645_conv:19290,situation,none,My dog has cancer. The surgery did not fix it so we have to put her down.
hit:9645_conv:19290,utterance,speaker,My dog has cancer.
hit:9645_conv:19290,utterance,listener,I am sorry to hear that.  Unfortunately a lot of dog breeds have a high risk of cancer.  Is it treatable?
hit:9645_conv:19290,utterance,speaker,I guess not because the surgery didn't work so we have to put her down.
hit:9645_conv:19290,utterance,listener,Oh my.  I have been in that situation before.  You have my sympathies.
hit:4662_conv:9324,situation,none,"I was upset when my parents told me we would be moving, we went all the way to florida"
hit:4662_conv:9324,utterance,speaker,"I was upset when my parents told me we would be moving, we went all the way to florida"
hit:4662_conv:9324,utterance,listener,Oh sorry to hear that.. Don't you like florida?
hit:4662_conv:9324,utterance,speaker,"I do not, it is too hot and rainy all year"
hit:4662_conv:9324,utterance,listener,Thats true.. But why don't you give it a chance? may be you will end up liking it
hit:8847_conv:17694,situation,none,My youngest son is going into kindergarten and I'm a little down.
hit:8847_conv:17694,utterance,speaker,I'm sad. My youngest son starts kindergarten tomorrow!
hit:8847_conv:17694,utterance,listener,I am sure it is a bittersweet moment.  I can relate myself.  It takes some getting used to
hit:8847_conv:17694,utterance,speaker,I mean i'm happy for the up coming peace and quiet but it's still sad all my kids aren't babies anymore.
hit:8847_conv:17694,utterance,listener,You will still have plenty of time before your son becomes an unruly teenager.  Cherish it.
hit:8847_conv:17694,utterance,speaker,I've got a 12 year old that's getting mighty close!
hit:759_conv:1518,situation,none,MY dauhter is growing up too fast. She is going to leave me soon.
hit:759_conv:1518,utterance,speaker,Do you have kids? My daughter will be 14 soon. I don't want her to grow up.
hit:759_conv:1518,utterance,listener,None that I know of!  I feel you.. if I ever had a daughter I'd be overprotective and stressing
hit:759_conv:1518,utterance,speaker,She is so smart and outgoing. I know she is going to want to leave the state for college. Nooooo
