Dialog_ID,Type,Actor,Text
hit:7884_conv:15769,situation,none,I always get sentimental when I look at old familly photographs.
hit:7884_conv:15769,utterance,speaker,Everytime I look at old family photos I get really sentimental.
hit:7884_conv:15769,utterance,listener,It's always nice to look back on old memories
hit:7884_conv:15769,utterance,speaker,Yes it reminds me of a simpler time with no responsibilites.
hit:7884_conv:15769,utterance,listener,Childhood was a lot easier
hit:7884_conv:15769,utterance,speaker,"Yes It was, I wouldn't mind starting over from it."
hit:8754_conv:17509,situation,none,"I get emotional about my brothers, they are very important to me"
hit:8754_conv:17509,utterance,speaker,"I get emotional about my brothers, they are very important to me"
hit:8754_conv:17509,utterance,listener,"I understand, I have a brother as well. Do they live with you?"
hit:8754_conv:17509,utterance,speaker,"Yes, they both live in the same house as me"
hit:8754_conv:17509,utterance,listener,"Oh okay thats good! Mine went across the country to college last year, so I get emotional about that."
hit:10264_conv:20528,situation,none,Lately I was sharing memories with my wife from before we got married and it was heartwarming.
hit:10264_conv:20528,utterance,speaker,Lately I was sharing memories with my wife from before we got married and it was heartwarming.
hit:10264_conv:20528,utterance,listener,"Awwe that is so sweet, how did you two meet?"
hit:10264_conv:20528,utterance,speaker,We met online actually! And we were across the ocean from each other. That was a journey.
hit:10264_conv:20528,utterance,listener,Wow that sounds like a really big journey. It must have been really hard to connect with one another only through online chats.
hit:8590_conv:17180,situation,none,I always look back at the days fb memories. They are so cool
hit:8590_conv:17180,utterance,speaker,I look at my facebook memories every day
hit:8590_conv:17180,utterance,listener,How come? What year did you join?
hit:8590_conv:17180,utterance,speaker,I dont even remember when I joined. The memories are so cute though. I can see my kids gtoeing up all over again
hit:8590_conv:17180,utterance,listener,"Oh that's nice, yeah it's a good feature of Facebook"
hit:8590_conv:17180,utterance,speaker,Its my favorite
hit:6736_conv:13472,situation,none,"My grandma passed away earlier this year. We used to always get together as a family and play cards on sundays. This sunday is the first time we're doing it again without her. It will feel weird, but nice to be with family again."
hit:6736_conv:13472,utterance,speaker,"My grandma passed away earlier this year. We used to always get together as a family and play cards on sundays. This sunday is the first time we're doing it again without her. It will feel weird, but nice to be with family again"
hit:6736_conv:13472,utterance,listener,"Aww, that's so sad. I'm sure she would have wanted ya'll to keep having fun times together."
hit:6736_conv:13472,utterance,speaker,"Yeah, you're right. And we figured the same. We just didn't do it for a little while because it felt weird at first, and then it was easier to not be doing it once we got out of the habit. Glad we didn't let it go too long though."
hit:6736_conv:13472,utterance,listener,"Yes, it's good to keep bonding. I understand not being able to do it at first, though"
hit:9074_conv:18148,situation,none,i held on to my first Nintendo even though it doesnt work anymore. I just like how it reminds me of my childhood.
hit:9074_conv:18148,utterance,speaker,I have held on to my old Nintendo even though it broke many years ago. Its a great reminder of the first video game system I owned.
hit:9074_conv:18148,utterance,listener,Thats awesome. i wish i still had mine.  I sold it a couple years ago
hit:9074_conv:18148,utterance,speaker,Its really cool to have around. I just wish it still worked.
hit:9074_conv:18148,utterance,listener,I wonder if there are any repair shops that could fix it
hit:10811_conv:21622,situation,none,I am feeling wistful about my oldest son starting his senior year in college. I can't believe his childhood is over.
hit:10811_conv:21622,utterance,speaker,My son is starting his senior year.  I am finding myself feeling so emotional about it.
hit:10811_conv:21622,utterance,listener,"You must be having bitter ,sweet emotion.I remember my mom was also emotional when i left boarding school for the first time."
hit:10811_conv:21622,utterance,speaker,"Yes, I have this feeling of excitement for his new adventure, but also worry. And I'm just going to miss him so much, he's a wonderful kid."
hit:10811_conv:21622,utterance,listener,But you can make arrangements such that you see him every weekend.
hit:10811_conv:21622,utterance,speaker,I don't know that he'll appreciate that! Mostly I think I'll look at his childhood pictures for a while and have a good cry.
hit:5118_conv:10236,situation,none,My brother recently sent me a scrapbook of a childhood pics and it made me happy.
hit:5118_conv:10236,utterance,speaker,I recently got a scrapbook from my brother of all of our old pics together. Brought back some good memories.
hit:5118_conv:10236,utterance,listener,oh thats good.. did you get to keep some pictures?
hit:5118_conv:10236,utterance,speaker,"Yep, he made a copy of everything so I have a complete set now."
hit:5118_conv:10236,utterance,listener,wow that was a good idea
hit:6809_conv:13618,situation,none,"My dad gave me an old coin that used to belong to his grandfather.  I don't think it's worth much money, but it means a lot to me."
hit:6809_conv:13618,utterance,speaker,"My dad gave me an old coin that used to belong to his grandfather, who died when I was young."
hit:6809_conv:13618,utterance,listener,Cool. What did it look like?
hit:6809_conv:13618,utterance,speaker,It's pretty old and worn.  I don't think it's worth much $$$ but it was meaningful anyway
hit:6809_conv:13618,utterance,listener,Are you going to display it?
hit:6809_conv:13618,utterance,speaker,I keep it in my jewelry box with my few other precious objects lol
hit:6809_conv:13618,utterance,listener,Well that's nice. Maybe you can pass it don to your kids too
hit:14_conv:28,situation,none,When I spend time with my father outside by the fire when we are camping.
hit:14_conv:28,utterance,speaker,Hello
hit:14_conv:28,utterance,listener,Hello! I am in such a good mood since I got my new home.
hit:14_conv:28,utterance,speaker,Funny - we just built a house where we used to go camping when I was a kid.
hit:14_conv:28,utterance,listener,I have a ton of backyard space that we have plans for. Camping would be a fun one.
hit:14_conv:28,utterance,speaker,That's wonderful. Do you have any plans to have a fire?
hit:14_conv:28,utterance,listener,I want to look in to getting a nice fire pit for the house.
hit:7439_conv:14878,situation,none,I miss being a kid with no responsibility
hit:7439_conv:14878,utterance,speaker,Wh didn't anyone explain adulting to me
hit:7439_conv:14878,utterance,listener,What's your issue?
hit:7439_conv:14878,utterance,speaker,I am tired of paying bills lol
hit:7439_conv:14878,utterance,listener,"That's rough, being an adult has it's perk though!"
hit:7439_conv:14878,utterance,speaker,I don't know  I miss being a kid
hit:7439_conv:14878,utterance,listener,What do you miss most?
hit:7439_conv:14878,utterance,speaker,bring ignorant to responsibility lol
hit:7439_conv:14878,utterance,listener,"That is the best to be fair, maybe some day when we grow old we can be ignorant again."
hit:2995_conv:5990,situation,none,I miss my ex. I sometimes look at our old pics on facebook.
hit:2995_conv:5990,utterance,speaker,I miss my ex boyfriend.
hit:2995_conv:5990,utterance,listener,how long were u together
hit:2995_conv:5990,utterance,speaker,5 years. He s a jerk now though lol
hit:2995_conv:5990,utterance,listener,well then maybe you're better off lol
hit:2995_conv:5990,utterance,speaker,I try to thin of it like that. He was really cute to
hit:4547_conv:9095,situation,none,"I went to my brother's birthday party, and I was remembering the good old days."
hit:4547_conv:9095,utterance,speaker,I was feeling nostalgic when I went to my brother's recent birthday party.
hit:4547_conv:9095,utterance,listener,Oh that's always nice. What made you feel that?
hit:4547_conv:9095,utterance,speaker,"I was remembering when he was very little, and he would always have trouble blowing out the candles on his cake!"
hit:4547_conv:9095,utterance,listener,"Aw that's funny, I always love those kinds of heartwarming moments."
hit:357_conv:715,situation,none,I was flying in to LAX and the Sierra Nevada Mountains below me made me feel like I was coming home.
hit:357_conv:715,utterance,speaker,"I flew back to California a few weeks ago, it was beautiful flying in over the mountains."
hit:357_conv:715,utterance,listener,It sounds beautiful and serene.
hit:357_conv:715,utterance,speaker,"It really is, I miss the Sierra Nevadas very much, have you ever been?"
hit:357_conv:715,utterance,listener,No I haven't. But now I want to see.
hit:4536_conv:9073,situation,none,Romance movies bring me back to my youthful days.
hit:4536_conv:9073,utterance,speaker,Romance movies bring me back to my youthful days
hit:4536_conv:9073,utterance,listener,oh really why is that?
hit:4536_conv:9073,utterance,speaker,I think about about young love and how innocent and youthful I was then. Life always seemed to have more potential and hope.
hit:4536_conv:9073,utterance,listener,oh dang thats a real thinker
hit:2654_conv:5308,situation,none,I recently came across a toy in a thrift tore that looked similar to one that I had when I was a kid. It really made me remember my childhood.
hit:2654_conv:5308,utterance,speaker,I was doing some shopping in a thrift store recently and came across a toy similar to one I had when I was a kid. It really made me remember my childhood.
hit:2654_conv:5308,utterance,listener,Maybe you should buy it for keep sake
hit:2654_conv:5308,utterance,speaker,I thought about it but I'd really have no use for it now.
hit:2654_conv:5308,utterance,listener,"oh ok, I understand"
hit:5660_conv:11320,situation,none,I saved the tickets to the first concert I ever went to. I still have them
hit:5660_conv:11320,utterance,speaker,I saved the tickets from my first concert
hit:5660_conv:11320,utterance,listener,"its funny what one saves , i saved a mickey mouse that was given to me while i was in the hospital things like 20 years old lol"
hit:5660_conv:11320,utterance,speaker,The first thing I made in pottery class was supposed to be a mini cactus pot. I use it as an ashtray now lol
hit:5660_conv:11320,utterance,listener,"good times , you got to hold on to the memories"
hit:5660_conv:11320,utterance,speaker,That's so true. That ashtray is 16 years old
hit:2094_conv:4188,situation,none,I love finding pictures of my kids as babies!
hit:2094_conv:4188,utterance,speaker,You know what's great? Finding pictures of my kids as babies and going through those and remembering all the great times.
hit:2094_conv:4188,utterance,listener,"Aww, did you find a lot?"
hit:2094_conv:4188,utterance,speaker,"Sometimes I do, sometimes I don't! But the few I find always mean so much to me!"
hit:2094_conv:4188,utterance,listener,I love finding old videos too!
hit:5548_conv:11097,situation,none,I wore the same dress my mother wore at my wedding
hit:5548_conv:11097,utterance,speaker,I wore the same dress my mother wore at her wedding to my own.
hit:5548_conv:11097,utterance,listener,did you like that? i find reusing dresses very combinient
hit:5548_conv:11097,utterance,speaker,I loved having such a treasured piece of my mother with me.
hit:5548_conv:11097,utterance,listener,"that is really nice, i still have my wedding dress"
hit:10030_conv:20061,situation,none,I was watching an old movie and when it came to the sad part it made me cry.
hit:10030_conv:20061,utterance,speaker,I was watching an old movie and when it came to the sad part it made me cry.
hit:10030_conv:20061,utterance,listener,"Wow, you are sentimental i guess!!"
hit:10030_conv:20061,utterance,speaker,Yes I am. My family always makes fun of me. I can cry at the drop of a hat.
hit:10030_conv:20061,utterance,listener,you are who you are!!. Sentimental people are so kind hearted!!
hit:11775_conv:23550,situation,none,I found my old high school year book recently. Was such a trip down memory lane.
hit:11775_conv:23550,utterance,speaker,I recently came across my old high school year book.
hit:11775_conv:23550,utterance,listener,Did it help you rewind the old times?
hit:11775_conv:23550,utterance,speaker,"Yes, definitely. Was a great trip down memory lane."
hit:11775_conv:23550,utterance,listener,"I agree, thats why I always keep my old year books around when I feel like I need a break from the present."
hit:8741_conv:17482,situation,none,going through my childrens old clothes
hit:8741_conv:17482,utterance,speaker,I went thru my childrens old clothes the other day and its hard to believe they are grown up now.
hit:8741_conv:17482,utterance,listener,"Oh I understand, mine is only 2 1/2 right now but I feel that way too when going through his preemie clothes. You probably feel it much more if they are grown though."
hit:8741_conv:17482,utterance,speaker,I think we probably feel it about the same! It was a nice memory to come across tho.
hit:8741_conv:17482,utterance,listener,Yes! Do you keep your favorite things of theirs? I always keep my favorite outfits of his and donate the rest!
hit:10150_conv:20301,situation,none,"I saw a dog on the side of the road that had been hit by a car, it was so sad"
hit:10150_conv:20301,utterance,speaker,"I saw a dog on the side of the road that had been hit by a car, it was so sad"
hit:10150_conv:20301,utterance,listener,Oh my goodness. That must have been traumatic to see. Do you know what happened to the dog?
hit:10150_conv:20301,utterance,speaker,No
hit:10150_conv:20301,utterance,listener,"Well, I'm sorry you had to see that!"
hit:9213_conv:18427,situation,none,"When i see old people in roadside, i have tears in my eyes"
hit:9213_conv:18427,utterance,speaker,When i see old people on roadside begging. i  have tears in my eyes.
hit:9213_conv:18427,utterance,listener,"I do feel bad for them as well, its tough to see"
hit:9213_conv:18427,utterance,speaker,"yeah indeed, why there is nobody to look after them?"
hit:9213_conv:18427,utterance,listener,People have to look after themselves
hit:933_conv:1867,situation,none,I found a ring I thought I had lost recently when I was cleaning out my closet. It had belonged to my grandfather and it was very special to me.
hit:933_conv:1867,utterance,speaker,"The other day I was cleaning out my closet and found a ring I thought I had lost! It used to belong to my grandfather and it made me so happy to find it again, I miss him."
hit:933_conv:1867,utterance,listener,Wow that's really nice. Are you going to wear it?
hit:933_conv:1867,utterance,speaker,"I am, it'll remind me of the great memories I have of him."
hit:933_conv:1867,utterance,listener,It must've been a great guy.
hit:5939_conv:11879,situation,none,I saw a homeless man sleeping near Walmart when i came out after shopping. It was so sad to see him in such situation
hit:5939_conv:11879,utterance,speaker,"After shopping at Walmart, upon leaving I saw a homeless man sleeping near the entrance. I was so sad to see the man in that situation"
hit:5939_conv:11879,utterance,listener,"Yes, that always saddens me too. I see them now and then."
hit:5939_conv:11879,utterance,speaker,I think there should be some kind of social services to help them come out of this situation
hit:5939_conv:11879,utterance,listener,"Yeah, there should be, but often there is not really a good option for them."
hit:2972_conv:5944,situation,none,I was just sitting here looking at old family photos.  A little sad.. but yet fun.
hit:2972_conv:5944,utterance,speaker,I was just sitting here going through old photo albums.. looking at family photos.  A bit sad.. but fun..
hit:2972_conv:5944,utterance,listener,I do that a lot.
hit:2972_conv:5944,utterance,speaker,I kind of miss having photo albums.. the internet sure has changed how we do things.
hit:2972_conv:5944,utterance,listener,Aint that the truth!
hit:2198_conv:4397,situation,none,I keep all of my kids elementary artwork. It is beginning to pile up.
hit:2198_conv:4397,utterance,speaker,I keep everything my kids make.
hit:2198_conv:4397,utterance,listener,Hope you've got a lot of storage room. We try to do that too.
hit:2198_conv:4397,utterance,speaker,There is so much of it now. I have so many boxes lol
hit:2198_conv:4397,utterance,listener,how old are they ?
hit:2198_conv:4397,utterance,speaker,4 and 5 and I have a teenager
hit:1324_conv:2649,situation,none,I miss my father so much.
hit:1324_conv:2649,utterance,speaker,I miss my father so much
hit:1324_conv:2649,utterance,listener,What happened to him?
hit:1324_conv:2649,utterance,speaker,He died a year ago and I still miss him.We were really closed.
hit:1324_conv:2649,utterance,listener,So sorry to hear that.  I hope that the pain fades with time.
hit:11540_conv:23080,situation,none,I don't want to sell my grandpa's car.
hit:11540_conv:23080,utterance,speaker,I can't get myself to sell my grandpa's old Cadillac.
hit:11540_conv:23080,utterance,listener,Feeling sentimental much?
hit:11540_conv:23080,utterance,speaker,I suppose so. It holds a special place in my heart even though its so old.
hit:11540_conv:23080,utterance,listener,I know how you feel.  I've got old rifles from both of my grand fathers... along with some WW II bring backs.  I don't think I could sell them.
